1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
308.641975309,617.283950617,-308.641975309,1851.85185185,-617.283950617,1851.85185185,1851.85185185,1851.85185185,-617.283950617,-1234.56790123,1851.85185185,1851.85185185,1851.85185185,3703.7037037,3703.7037037,3703.7037037,-617.283950617,-617.283950617,-617.283950617,-1234.56790123,-1234.56790123,-1234.56790123,-617.283950617,-617.283950617,-617.283950617,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123
308.641975309,-308.641975309,-308.641975309,3.78463285257e-13,308.641975309,1052.92411352,-365.676707069,-687.247406452,-617.283950617,617.283950617,1563.01783101,831.664416873,-542.830396032,542.830396032,-831.664416873,-1563.01783101,-472.866940197,580.057173325,-107.190233128,-214.380466256,-945.733880394,1160.11434665,-617.283950617,-617.283950617,-617.283950617,-945.733880394,-214.380466256,-945.733880394,-214.380466256,617.283950617,1160.11434665,-214.380466256,617.283950617,617.283950617,-945.733880394,1160.11434665,1160.11434665
308.641975309,-308.641975309,-308.641975309,-1.85639217564e-12,308.641975309,-365.676707069,-687.247406452,1052.92411352,-617.283950617,617.283950617,831.664416873,-542.830396032,1563.01783101,-1563.01783101,542.830396032,-831.664416873,-107.190233128,-472.866940197,580.057173325,1160.11434665,-214.380466256,-945.733880394,-617.283950617,-617.283950617,-617.283950617,-214.380466256,1160.11434665,-214.380466256,1160.11434665,617.283950617,-945.733880394,1160.11434665,617.283950617,617.283950617,-214.380466256,-945.733880394,-945.733880394
308.641975309,617.283950617,-308.641975309,1851.85185185,-617.283950617,-925.925925926,-925.925925926,-925.925925926,-617.283950617,-1234.56790123,1.33261282058e-12,-8.83092799516e-13,6.25851084124e-12,1.62572177942e-11,-9.62985553071e-12,6.17203758325e-13,308.641975309,308.641975309,308.641975309,617.283950617,617.283950617,617.283950617,-617.283950617,-617.283950617,-617.283950617,617.283950617,617.283950617,617.283950617,617.283950617,-1234.56790123,617.283950617,617.283950617,-1234.56790123,-1234.56790123,617.283950617,617.283950617,617.283950617
308.641975309,-308.641975309,-308.641975309,3.78463285257e-13,308.641975309,-687.247406452,1052.92411352,-365.676707069,-617.283950617,617.283950617,-542.830396032,1563.01783101,831.664416873,-831.664416873,-1563.01783101,542.830396032,580.057173325,-107.190233128,-472.866940197,-945.733880394,1160.11434665,-214.380466256,-617.283950617,-617.283950617,-617.283950617,1160.11434665,-945.733880394,1160.11434665,-945.733880394,617.283950617,-214.380466256,-945.733880394,617.283950617,617.283950617,1160.11434665,-214.380466256,-214.380466256
308.641975309,-308.641975309,-308.641975309,-1.85639217564e-12,308.641975309,-687.247406452,1052.92411352,-365.676707069,-617.283950617,617.283950617,-542.830396032,1563.01783101,831.664416873,-831.664416873,-1563.01783101,542.830396032,580.057173325,-107.190233128,-472.866940197,-945.733880394,1160.11434665,-214.380466256,-617.283950617,-617.283950617,-617.283950617,1160.11434665,-945.733880394,1160.11434665,-945.733880394,617.283950617,-214.380466256,-945.733880394,617.283950617,617.283950617,1160.11434665,-214.380466256,-214.380466256
308.641975309,617.283950617,-308.641975309,1851.85185185,-617.283950617,-925.925925926,-925.925925926,-925.925925926,-617.283950617,-1234.56790123,-2.81054171097e-12,-1.4009882942e-11,9.08921225117e-12,2.84217094304e-12,-1.05670721512e-12,1.0880988075e-12,308.641975309,308.641975309,308.641975309,617.283950617,617.283950617,617.283950617,-617.283950617,-617.283950617,-617.283950617,617.283950617,617.283950617,617.283950617,617.283950617,-1234.56790123,617.283950617,617.283950617,-1234.56790123,-1234.56790123,617.283950617,617.283950617,617.283950617
308.641975309,-308.641975309,-308.641975309,3.78463285257e-13,308.641975309,-365.676707069,-687.247406452,1052.92411352,-617.283950617,617.283950617,831.664416873,-542.830396032,1563.01783101,-1563.01783101,542.830396032,-831.664416873,-107.190233128,-472.866940197,580.057173325,1160.11434665,-214.380466256,-945.733880394,-617.283950617,-617.283950617,-617.283950617,-214.380466256,1160.11434665,-214.380466256,1160.11434665,617.283950617,-945.733880394,1160.11434665,617.283950617,617.283950617,-214.380466256,-945.733880394,-945.733880394
308.641975309,-308.641975309,-308.641975309,-1.85639217564e-12,308.641975309,1052.92411352,-365.676707069,-687.247406452,-617.283950617,617.283950617,1563.01783101,831.664416873,-542.830396032,542.830396032,-831.664416873,-1563.01783101,-472.866940197,580.057173325,-107.190233128,-214.380466256,-945.733880394,1160.11434665,-617.283950617,-617.283950617,-617.283950617,-945.733880394,-214.380466256,-945.733880394,-214.380466256,617.283950617,1160.11434665,-214.380466256,617.283950617,617.283950617,-945.733880394,1160.11434665,1160.11434665
308.641975309,617.283950617,-308.641975309,1851.85185185,-617.283950617,1851.85185185,1851.85185185,1851.85185185,-617.283950617,-1234.56790123,1851.85185185,1851.85185185,1851.85185185,3703.7037037,3703.7037037,3703.7037037,-617.283950617,-617.283950617,-617.283950617,-1234.56790123,-1234.56790123,-1234.56790123,-617.283950617,-617.283950617,-617.283950617,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123,-1234.56790123
