,naiseki
0,5555.55555556
1,7856.74201318
2,3.99906319615e-11
3,-5555.55555556
4,-5555.55555556
5,5555.55555556
6,7856.74201318
7,-2.6966155064e-11
8,7856.74201318
9,-1.31732125958e-10
10,7856.74201318
11,-4.31563419015e-11
12,7856.74201318
13,1.48291062189e-13
14,-7856.74201318
15,-8.85614949903e-11
16,-7856.74201318
17,-4.85828967274e-11
18,7856.74201318
19,3.66946223094e-11
20,7856.74201318
21,7.70196988748e-12
22,7856.74201318
23,-6.22143501935e-11
24,7856.74201318
25,4.13942930606e-12
26,7856.74201318
27,-7.99884763606e-12
28,7856.74201318
29,-3.48029553163e-11
30,7856.74201318
31,-3.25457575644e-11
32,7856.74201318
33,-2.92998815728e-11
34,7856.74201318
35,4.51916157153e-11
36,-7856.74201318
37,9.40162391906e-11
38,-7856.74201318
39,-5.66248747333e-11
40,7856.74201318
41,5.40630736669e-11
42,-7856.74201318
43,5.40934921828e-11
44,7856.74201318
45,4.50444681035e-11
46,-7856.74201318
47,-1.64249334679e-11
48,-7856.74201318
49,5.19968638207e-11
50,-7856.74201318
51,-2.22888573507e-11
52,7856.74201318
53,-2.84672437606e-11
54,7856.74201318
55,-1.62572037433e-11
56,7856.74201318
57,-1.40436149783e-11
58,7856.74201318
59,-4.63189039281e-11
60,7856.74201318
61,-4.54408758655e-11
62,7856.74201318
63,4.41116442994e-11
64,7856.74201318
65,5.13489050812e-11
66,7856.74201318
67,-1.73320243109e-11
68,7856.74201318
69,-7.74284963967e-11
70,7856.74201318
71,3.25741340354e-12
72,7856.74201318
73,-1.90435987668e-11
74,7856.74201318
75,4.8192887008e-11
76,7856.74201318
77,-5.22353685837e-11
78,7856.74201318
79,1.97438192384e-11
80,7856.74201318
81,4.92935565754e-11
82,7856.74201318
83,-1.87787875298e-11
84,7856.74201318
85,-3.57176744474e-11
86,7856.74201318
87,-3.08960415285e-11
88,7856.74201318
89,1.64728369482e-11
90,7856.74201318
91,4.94033649689e-11
92,7856.74201318
93,3.60271763992e-11
94,7856.74201318
95,5.13035773859e-11
96,7856.74201318
97,-9.62466214918e-12
98,7856.74201318
99,-9.82382889214e-12
100,7856.74201318
101,-1.45831776341e-11
102,7856.74201318
103,-2.09275800259e-11
104,7856.74201318
105,2.01466441643e-12
106,7856.74201318
107,3.22303605069e-12
108,7856.74201318
109,-1.02612454103e-11
110,-7856.74201318
111,-2.48948991563e-11
112,-7856.74201318
113,-7.01824242282e-12
114,7856.74201318
115,-3.85594567124e-11
116,-7856.74201318
117,4.59422993538e-12
118,-7856.74201318
119,-5.32190692407e-11
120,7856.74201318
121,-2.36978108275e-11
122,-7856.74201318
123,3.44526324025e-11
124,-7856.74201318
125,7.85077196478e-13
126,-7856.74201318
127,-5.95054567195e-12
128,7856.74201318
129,1.67056352257e-11
130,-7856.74201318
131,1.79063193709e-11
132,-7856.74201318
133,2.74509309145e-11
134,-7856.74201318
135,1.06369280688e-11
136,7856.74201318
137,-1.86452347308e-11
138,-7856.74201318
139,2.08284141151e-11
140,-7856.74201318
141,-6.04467883184e-11
142,7856.74201318
143,-1.01775275436e-12
144,7856.74201318
145,-1.31816583656e-11
146,-7856.74201318
147,3.9203927323e-11
148,-7856.74201318
149,4.55100765632e-12
150,7856.74201318
151,2.44453178077e-12
152,-7856.74201318
153,2.67478147132e-11
154,-7856.74201318
155,3.91981420529e-12
156,-7856.74201318
157,2.53110170821e-11
158,7856.74201318
159,1.18917324124e-11
160,-7856.74201318
161,3.65690729868e-11
162,-7856.74201318
163,3.39676638286e-11
164,-7856.74201318
165,4.64841085467e-11
166,7856.74201318
167,7.86667488722e-13
168,-7856.74201318
169,1.35477151548e-13
170,-7856.74201318
171,-6.72673126648e-11
172,7856.74201318
173,3.71835588449e-11
174,-7856.74201318
175,3.00003251793e-11
176,-7856.74201318
