,D,norm
0,1,30864197.5309
1,3,61728395.0617
2,4,92592592.5926
3,9,185185185.185
4,12,185185185.185
5,27(Ⅰ),185185185.185
6,27(Ⅱ),185185185.185
7,27(Ⅲ),185185185.185
8,36(Ⅰ),185185185.185
9,36(Ⅱ),370370370.37
10,81(Ⅰ),185185185.185
11,81(Ⅱ),185185185.185
12,81(Ⅲ),185185185.185
13,81(Ⅳ),370370370.37
14,81(Ⅴ),370370370.37
15,81(Ⅵ),370370370.37
16,108(Ⅰ),185185185.185
17,108(Ⅱ),185185185.185
18,108(Ⅲ),185185185.185
19,108(Ⅳ),370370370.37
20,108(Ⅴ),370370370.37
21,108(Ⅵ),370370370.37
22,324(Ⅰ),185185185.185
23,324(Ⅱ),185185185.185
24,324(Ⅲ),185185185.185
25,324(Ⅳ),370370370.37
26,324(Ⅴ),370370370.37
27,324(Ⅵ),370370370.37
28,324(Ⅶ),370370370.37
29,324(Ⅷ),370370370.37
30,324(Ⅸ),370370370.37
31,324(Ⅹ),370370370.37
32,324(ⅩⅠ),370370370.37
33,324(ⅩⅡ),370370370.37
34,324(ⅩⅢ),370370370.37
35,324(ⅩⅣ),370370370.37
36,324(ⅩⅤ),370370370.37
