,naiseki
0,46348252.7778
1,474596.557936
2,1128047.58956
3,2373339.44444
4,-4556751.66667
5,-2383537.22222
6,-6083320.20944
7,-3914100.96528
8,-2854923.31936
9,3911034.88453
10,1122097.18375
11,1745938.65761
12,5037866.3297
13,5181721.50101
14,-2688454.70887
15,-6410224.434
16,7271218.15752
17,3816189.21282
18,-9406356.41424
19,2691411.03622
20,208733.87985
21,-8632643.60972
22,3912729.0111
23,2093646.12365
24,1808958.5947
25,2475688.83182
26,-7008689.8648
27,-4051939.92897
28,-1204585.33198
29,281787.98762
30,57245.15068
31,-153234.292194
32,-2688009.99393
33,3540523.16662
34,9909751.38857
35,-2446054.70884
36,-6994965.64096
37,-3406033.11006
38,-3283541.67307
39,14174957.5678
40,-4428705.89781
41,2369001.48303
42,2353945.15739
43,-2050460.17501
44,-751755.82109
45,-4091994.20527
46,-4521295.63825
47,-6686786.99918
48,-2478970.82869
49,7856971.25562
50,3044921.34012
51,-1782477.28785
52,205246.267804
53,-8042913.24675
54,-2603503.71948
55,1251789.16471
56,-2230982.3841
57,10905478.948
58,-387306.435371
59,-9471253.13176
60,-1230052.15616
61,-9177824.49323
62,-1575467.26752
63,-280327.525152
64,826490.468871
65,2771702.89627
66,-4213634.54604
67,-4162251.01834
68,-5385616.77021
69,-4238953.13357
70,1462823.72419
71,-3489973.0906
72,-884738.617872
73,4269741.79874
74,3289794.89819
75,2748750.31796
76,-2749486.26515
77,-2379734.75608
78,917869.142171
79,-304406.697835
80,4959668.78486
81,2035146.44379
82,2214422.3252
83,-6306630.94973
84,553402.463484
85,8771203.00281
86,-6836286.79028
87,-3169759.34414
88,78656.8486
89,-1257886.60149
90,373948.328855
91,-3751305.64537
92,-6286240.05085
93,-6433380.9521
94,1105886.75292
95,7765000.96695
96,-1461037.38388
97,-659904.01767
98,5377521.44665
99,1532920.93953
100,2978065.14209
101,6186386.00723
102,-849118.574112
103,-7618932.15426
104,1104847.64376
105,7219397.05579
106,2701899.56875
107,-2232866.97779
108,-8217481.75669
109,-13540349.7728
110,11004429.0579
111,-1182843.67264
112,-1337856.87032
113,9267302.53439
114,-771954.690924
115,-3451991.53203
116,-4150728.33923
117,-4557428.33644
118,-1583747.77797
119,-474073.31906
120,-257951.298209
121,6209979.6813
122,1434549.71145
123,1396016.45198
124,2714693.419
125,11445.1454537
126,-3261745.48393
127,2362921.22173
128,7620081.25924
129,-683394.232769
130,1120654.14654
131,-312432.366858
132,-5626027.66194
133,5398354.27646
134,-7131538.03175
135,3392844.22372
136,1855770.99598
137,908055.839192
138,-1344940.48249
139,-3475591.6262
140,3875839.60473
141,473239.880926
142,-2927761.22741
143,9002914.61878
144,-42530.1180408
145,5327687.22
146,3706326.49782
147,6523204.1702
148,-5202777.31496
149,1159910.95855
150,-12430.4140439
151,6352046.34248
152,4188044.34656
153,2859403.02223
154,-1239632.19752
155,8566065.63517
156,3882270.46378
157,4131849.03774
158,-8462224.06647
159,1554728.71895
160,-388908.361575
161,-1851018.8529
162,-7509747.27357
163,-1262470.64676
164,-7396808.58706
165,14460878.6629
166,17071997.345
167,4217365.61267
168,-679081.639671
169,2965031.74279
170,-6028567.48899
171,439832.861683
172,-5510549.42844
173,1628347.60269
174,1619118.07616
175,-804297.207207
176,-310489.696633
177,1898659.97219
178,286530.785142
179,2881182.27948
180,-1730259.70347
181,-2992846.87857
182,-5624349.24747
183,-2775482.97402
184,-1955804.79481
185,-7180025.37954
186,5467294.62115
187,2692133.52581
188,-7337563.70633
189,2950000.38655
190,11806140.8851
191,6013035.29438
192,-3145627.03835
193,-2824035.6855
194,-994870.126453
195,4547007.84059
196,822094.600293
197,-1777868.9292
198,-754664.171996
199,5951496.57746
200,-82413.090723
201,4172025.63152
202,-1389274.64151
203,3740732.48952
204,98883.3161363
205,-196992.068342
206,-5746957.86149
207,1486901.44147
208,-2357221.75861
209,-3144749.77552
210,6694378.91836
211,-3372369.56108
212,208704.420132
213,4594260.27039
214,1326183.14766
215,3303296.83983
216,-9318218.9679
217,-4753695.25135
218,4481263.23475
219,2683509.03274
220,520277.023103
221,-5497255.53461
222,4393799.57976
223,-2620791.40306
224,-1935392.08877
225,-5707825.42196
226,2762846.36246
227,-3776695.52202
228,-3336966.64919
229,700280.508441
230,6033506.41617
231,-1610773.83853
232,1751296.3501
233,-3129105.64111
234,-1096353.42076
235,-6865948.75501
236,7883635.97513
237,-1083796.66723
238,-927775.989561
239,4601700.2092
240,3691403.00139
241,4195300.22403
242,2992948.65069
243,10847841.6302
244,2288396.44105
245,-7983492.73707
246,2259954.48711
247,705532.137305
248,-8430835.66209
249,-5735094.67235
250,5694225.74244
251,2332566.50002
252,3006813.60011
253,4606921.39279
254,5208652.4663
255,-386477.251522
256,1765217.10323
257,-458574.977432
258,577305.914662
259,-3775139.87069
260,1146434.3768
261,4013428.40386
262,1086839.4193
263,5553598.77182
264,3661569.41639
265,1169500.70807
266,-4205137.49176
267,4536179.67629
268,6499529.40423
269,-404416.748537
270,-8441985.98427
271,2979567.84399
272,-198200.440991
273,-350188.224393
274,5236643.56428
275,4907292.68008
276,6359022.80406
277,2123301.43669
278,3217047.28405
279,4070372.87054
280,-4954001.44968
281,-4908171.02688
282,-2174510.22021
283,-7685532.14646
284,2719850.59453
285,1098042.23098
286,-2720543.39652
287,-1843896.54184
288,-2789291.39032
289,-7464317.9708
290,854918.981377
291,-2287776.81775
292,1473413.73963
293,-67072.1714681
294,-822660.127168
295,1496835.80096
296,1369078.12413
297,2101125.39509
298,4955154.34528
299,1715479.4893
300,-1314287.92531
301,1940102.76701
302,320761.205406
303,3970414.35213
304,-1373614.46793
305,-2901085.30314
306,-755404.20231
307,2606235.32979
308,-4360271.34487
309,6094074.75072
310,-1441839.95663
311,4950751.20598
312,-5866783.21853
313,269362.264951
314,5927316.05603
315,3370357.10903
316,409793.228157
317,1507692.29591
318,3148899.83669
319,178988.00627
320,-9480828.57918
321,163568.965729
322,-5851814.19201
323,2976992.62224
