,D,norm
0,1,1.96304020518e+15
1,3,1.17171714655e+13
2,4,1.48377231967e+14
3,9,1.11747645284e+14
4,12,1.29943788217e+14
5,27(Ⅰ),3.20189444462e+12
6,27(Ⅱ),1.09001487187e+14
7,27(Ⅲ),1.12378310793e+14
8,36(Ⅰ),1.54056097465e+14
9,36(Ⅱ),1.97045590578e+14
10,81(Ⅰ),7.01054561098e+13
11,81(Ⅱ),9.46927057832e+13
12,81(Ⅲ),7.90303047676e+13
13,81(Ⅳ),1.00982940552e+14
14,81(Ⅴ),1.25057635092e+14
15,81(Ⅵ),1.91682732291e+14
16,108(Ⅰ),1.705285021e+14
17,108(Ⅱ),4.19568972099e+13
18,108(Ⅲ),6.86300354621e+13
19,108(Ⅳ),1.96533566366e+14
20,108(Ⅴ),6.11879488985e+13
21,108(Ⅵ),2.13931834705e+14
22,324(Ⅰ),5.56461357078e+14
23,324(Ⅱ),1.03352896396e+14
24,324(Ⅲ),8.3497342056e+13
25,324(Ⅳ),2.41692545267e+14
26,324(Ⅴ),2.09936545803e+14
27,324(Ⅵ),1.47820037052e+14
28,324(Ⅶ),1.6016434663e+14
29,324(Ⅷ),8.67936512289e+13
30,324(Ⅸ),1.98303869721e+14
31,324(Ⅹ),8.35725035195e+13
32,324(ⅩⅠ),9.1687404657e+13
33,324(ⅩⅡ),1.76963673334e+14
34,324(ⅩⅢ),1.87167453659e+14
35,324(ⅩⅣ),1.24685205995e+14
36,324(ⅩⅤ),2.45825016607e+14
