1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
121081.299383,-9932.57716049,36464.4660494,-19547.7222222,-33427.9290123,112159.328796,-39025.1525092,-47471.9262867,-32274.1234568,63201.3641975,18852.1800717,47450.4113241,-13679.1006551,61105.7136491,5807.82683187,-26223.2812217,-86530.0285261,42530.4640212,39382.2774679,-23876.4828012,63681.2346787,-59095.159285,5598.65216685,-3738.53356445,92351.4832495,-44293.2452366,-73110.8037794,90442.2576377,-44938.3963989,-125675.851692,-95563.5435497,146586.024793,-22037.973226,-38086.3047118,89573.0337732,-35652.9168213,-79199.9659741
121081.299383,5434.84876543,-41584.8919753,59826.0740741,-13576.8117284,144726.618379,60393.3036433,49361.6057559,-54630.3024691,-43186.882716,23345.4989077,57351.3129006,35304.1881917,142195.715807,123898.039723,128566.244469,-73309.8662836,-43605.7407263,5467.06071365,-20612.116556,-81363.6376767,-17073.2272488,45443.3114441,3099.78472058,1401.95939093,-79419.9727629,-60085.3915272,11712.7158087,-48834.7854607,-30071.7563341,-87374.6306653,-52118.0953471,-32245.194387,-33947.8826123,-59537.9472801,-8243.21317037,-43295.2351506
121081.299383,4497.72839506,36464.4660494,-13440.1944444,-30202.8641975,60970.2903334,-33340.3100656,-33116.9802679,-26591.558642,-63410.2098765,21912.8891667,12601.9741632,-34012.2337003,-45731.141325,18405.3861335,-79828.7077715,-48238.079277,-9257.29528982,16362.8560483,-16077.4027181,75725.8980501,-41427.6434801,86834.5908942,33512.0695637,81059.5988014,-68072.1794719,-39444.4835828,13182.7151342,-18254.5816798,-5474.5001979,-49020.905515,4316.78365167,-27380.0856936,64011.9932989,157269.636436,-68908.3982181,-56980.4200875
121081.299383,-9932.57716049,-41584.8919753,-19547.7222222,30315.4660494,-39622.9879756,13758.007836,6538.39680625,23803.3641975,-53035.6049383,15224.6848681,-12840.2096604,47276.7377552,-75509.399555,22439.1696544,-25120.149729,-17902.2778375,31368.8204496,-20328.2000195,-75073.6387976,65270.3974978,-15107.8512928,124780.091345,16111.6755953,49966.5386152,-22336.3831276,-26525.3034653,92438.64717,49776.7215749,-101779.076941,128345.522664,-51406.5217235,-99879.6807009,-19291.8812469,-116533.243061,61667.6285175,-56805.5685486
121081.299383,5434.84876543,36464.4660494,59826.0740741,63630.7932099,-69011.311525,-29661.9694713,-1064.52455929,46159.5432099,142066.864198,6410.37113444,23073.1513633,-36180.1336089,59424.2767926,17877.9354499,43321.4822019,10734.3308209,9274.12211696,-45794.1288638,-83357.9794503,24326.6276551,-22733.7222788,154703.025427,-8257.51584124,17946.2311552,11898.232717,-10578.3877014,28254.9893497,53654.5724383,-636.825121602,44459.2596595,65364.4488988,23217.0002209,-10377.66584,60816.1603445,-16344.3146112,6704.37223818
121081.299383,4497.72839506,-41584.8919753,-13440.1944444,-16738.654321,-59509.8674406,17595.6748286,-31740.7240547,18120.7993827,-45635.5308642,-405.736678172,60987.9145783,39378.5072851,6959.84791945,-98207.7409223,-16989.458849,32718.9090005,-39643.9115955,59242.8822246,14426.3093117,-35051.0618153,15661.2339851,172994.245673,17606.2094955,98097.2485348,690.666907106,-9515.66895825,-118894.953013,26667.0009331,44284.4907626,-58369.4085809,-71332.6195835,-28954.9898094,-11266.5935458,-76703.6458892,81514.1034523,-58539.4197125
121081.299383,-9932.57716049,36464.4660494,-19547.7222222,-33427.9290123,-72536.3408203,25267.1446732,40933.5294805,-32274.1234568,63201.3641975,-2034.30597159,38242.2126324,-19168.4159201,-45197.1979311,-53251.0512352,-3856.57490782,46407.6977653,3081.79091631,4753.02983686,33396.9746183,-80682.9087969,-8343.69545101,177447.560973,32993.0233872,7319.07304682,-42502.6156051,-45856.5053797,-121239.908132,-41269.9216321,-36522.3180832,49743.4909409,92901.6089426,-96168.5536579,-602.063444134,-40378.3830238,-50496.7438961,82055.5888961
121081.299383,5434.84876543,-41584.8919753,59826.0740741,-13576.8117284,-75715.3068535,-30731.3341721,-48297.0811967,-54630.3024691,-43186.882716,2286.68892609,-7572.04996778,15305.1665973,-35969.9948107,-38193.9366234,55580.1258785,53192.6682725,46282.0441643,-18009.897622,-66638.5029575,66295.0692211,40259.0078105,167525.835778,1785.51366568,66248.2894453,-68033.4822707,-78425.7084467,-42729.8056341,-86630.8219754,53502.3789374,-93355.2235317,-34595.3789669,120224.439202,82017.0985274,-5875.67617574,-25407.9581415,-47685.500413
121081.299383,4497.72839506,36464.4660494,-13440.1944444,-30202.8641975,-1460.42289287,15744.635237,64857.7043226,-26591.558642,-63410.2098765,10535.4064797,-737.474445317,9062.9475952,-67277.8205469,1224.37098789,-75449.6800706,55909.7567539,-32230.2077417,-10035.4286418,-55442.3182915,-88861.8303817,23119.4449695,144425.776574,-2763.04584069,66741.6674145,-38168.7116841,-35015.5172695,-21191.7851733,-14870.9714384,86110.6360695,-23132.8168775,-19898.9884857,-48010.302527,-114328.981691,20930.5969759,-12000.8642239,133815.558176
121081.299383,-9932.57716049,-41584.8919753,-19547.7222222,30315.4660494,112159.328796,-39025.1525092,-47471.9262867,23803.3641975,-53035.6049383,18852.1800717,47450.4113241,-13679.1006551,61105.7136491,5807.82683187,-26223.2812217,56786.9193864,-18224.3923178,-26547.4066982,82514.5103931,-72982.1838617,24686.3030982,110933.591423,30024.1620194,7056.55211271,34737.6896064,70590.1335953,48102.6497543,57209.064891,4837.66602393,-27714.6989418,-83712.7089378,-14615.7191398,-706.669106326,-21106.9776107,-33635.3389051,-29322.4801182
