,naiseki
0,2179463.38889
1,-126421.067967
2,6886.40020496
3,410081.611111
4,-46083.8333333
5,292362.611111
6,-613389.83397
7,431248.999149
8,113864.658584
9,-241329.512977
10,250723.290465
11,-107145.920536
12,-153681.60573
13,-302412.710858
14,-251978.876406
15,-30736.8096646
16,-19807.5930057
17,-356384.223519
18,231640.32641
19,767076.294455
20,888974.649755
21,-49135.5934637
22,306940.219203
23,-476077.94041
24,-118473.80562
25,280427.435065
26,134448.249809
27,-44474.7676194
28,-512683.543758
29,-151378.129552
30,-206250.411019
31,-192751.935706
32,-491246.204315
33,-19535.0297108
34,93277.6374535
35,-40464.6086446
36,-236262.603236
37,-438529.699161
38,-53907.5818262
39,40140.1286217
40,-120612.342895
41,96079.5341259
42,-55242.1280245
43,351678.481558
44,78365.5018621
45,-687471.886051
46,225334.464351
47,79700.0683816
48,119936.623798
49,412289.404208
50,59509.4388816
51,-58502.1841475
52,376518.13681
53,-841.195602549
54,13312.7671325
55,222344.236077
56,135945.064398
57,551204.668071
58,90691.2471091
59,95517.0729791
60,210077.22082
61,308056.896579
62,309086.617048
63,53052.1849884
64,84781.2992448
65,-67320.7117497
66,-3799.50911952
67,55109.3480278
68,61218.0008618
69,430985.720785
70,-231525.01875
71,-433160.819129
72,484012.04322
73,121859.21211
74,108570.680565
75,330374.381423
76,-403326.60069
77,-417882.323059
78,257306.014917
79,431042.587012
80,180725.156882
81,-220.863177707
82,150461.465935
83,-247641.864276
84,-9928.27243256
85,344197.008825
86,280426.479303
87,130820.165622
88,22035.5937081
89,263224.030065
90,-96154.9475882
91,102002.097469
92,254463.525401
93,547566.370399
94,-376920.81113
95,-141044.753137
96,-197780.134166
97,541572.262545
98,-9634.76232537
99,203133.805912
100,-257210.509835
101,-108950.981723
102,-36413.6566189
103,437576.232569
104,124034.427042
105,176587.021093
106,43236.7563204
107,332417.08347
108,140833.512822
109,211082.441023
110,-1052896.98437
111,-110894.400977
112,-189283.987497
113,-54000.2140247
114,137925.896097
115,-575359.673232
116,248715.642069
117,232894.205725
118,154682.893129
119,-15361.2300535
120,101543.477653
121,-187755.590125
122,318030.463145
123,120460.257762
124,81680.6174122
125,426549.773473
126,242707.018781
127,183032.412033
128,-36275.6346051
129,-114477.829104
130,-240535.764165
131,28955.8604763
132,130463.10373
133,223155.083003
134,-229528.147949
135,-366547.616272
136,-170728.587985
137,361259.771324
138,618579.053176
139,-220946.314331
140,-15160.1162657
141,403727.824501
142,40515.9937293
143,399856.948789
144,-32287.556513
145,-358557.541424
146,-44030.7618828
147,166672.092689
148,242913.179518
149,327079.141412
150,3101.01308274
151,-250629.035519
152,-27803.6788424
153,20101.9085226
154,-22005.9811719
155,59296.0497208
156,-95118.7549542
