,D,norm
0,1,4.75006066351e+12
1,3,16029708933.7
2,4,2.55766543842e+11
3,9,7.07770298661e+11
4,12,3.06911644765e+11
5,27(Ⅰ),1.7556160203e+12
6,27(Ⅱ),3.98489679933e+11
7,27(Ⅲ),3.31735093605e+11
8,36(Ⅰ),2.76424186174e+11
9,36(Ⅱ),9.95713755189e+11
10,81(Ⅰ),3.89270249255e+11
11,81(Ⅱ),2.49100508339e+11
12,81(Ⅲ),4.33779941195e+11
13,81(Ⅳ),1.0759810068e+12
14,81(Ⅴ),8.30289272735e+11
15,81(Ⅵ),8.03538194855e+11
16,108(Ⅰ),1.22402395415e+12
17,108(Ⅱ),4.90324252882e+11
18,108(Ⅲ),3.49833721177e+11
19,108(Ⅳ),5.79040562874e+11
20,108(Ⅴ),1.08152229831e+12
21,108(Ⅵ),3.99118121402e+11
22,324(Ⅰ),2.93347930395e+12
23,324(Ⅱ),2.06131021106e+11
24,324(Ⅲ),6.56947425898e+11
25,324(Ⅳ),1.13968573086e+12
26,324(Ⅴ),6.62094852513e+11
27,324(Ⅵ),1.44628143957e+12
28,324(Ⅶ),5.86927547841e+11
29,324(Ⅷ),8.85815886111e+11
30,324(Ⅸ),1.27800717891e+12
31,324(Ⅹ),1.12305281672e+12
32,324(ⅩⅠ),9.82010378086e+11
33,324(ⅩⅡ),1.1433582087e+12
34,324(ⅩⅢ),9.66280985119e+11
35,324(ⅩⅣ),6.07168089112e+11
36,324(ⅩⅤ),9.49057883638e+11
