x,y,pop
25016750.9147,21197578.8062,34779.0
25159053.4752,21573300.9769,41387.0
24827132.233,21494489.2031,64779.0
25140260.9363,21031760.557,28498.0
25116031.1616,21491369.3826,42844.0
25129066.3846,21465966.286,29606.0
25223912.2223,21524589.9856,1130132.0
25124630.1394,21257760.4885,20185.0
25218144.1532,21451409.5201,53004.0
25257295.1882,21451409.5201,30697.0
25207705.7088,21393796.2402,38030.0
25101609.4041,21589633.3493,13424.0
25117400.9452,21152186.926,49387.0
25206944.9622,21683133.5244,34712.0
24888953.5386,21439839.3791,33111.0
25011447.088,21087679.7758,25876.0
25241593.4064,21508417.7749,139756.0
25225004.8048,21478555.1871,63863.0
25300607.2413,21578188.2783,41710.0
25234628.0827,21651154.2336,30112.0
25029829.0297,21571683.7496,29392.0
25115719.0975,21628363.5198,41791.0
25141570.9697,21147185.1981,8498.0
24971130.1697,21213822.2854,407775.0
25079830.7697,21513575.4525,166452.0
25057022.4226,21237691.2239,20927.0
25031796.7389,21673733.7088,18261.0
25358305.652,21372908.0929,21097.0
25152089.0417,21635949.4568,93044.0
25135128.2047,21357809.2809,26000.0
24973181.6733,21488495.0401,86176.0
25142370.7524,21704164.8039,49186.0
25194561.8783,21540258.4301,60941.0
24916372.4883,21462379.8841,33670.0
25239526.7872,21330511.8254,78372.0
25234995.322,21345008.4633,28059.0
25086676.6646,21381006.6209,26184.0
24897876.8678,21496049.5035,26917.0
25254618.2932,21404037.5157,31867.0
25168242.6745,21197994.5982,27357.0
24993292.6989,21289068.7119,36198.0
25098540.6857,21678162.0318,35006.0
25027754.7649,21500911.6934,177155.0
25432819.2455,21474478.709,12412.0
25646662.9956,21667372.7835,16934.0
25904356.1821,21593366.2867,5924.0
25462007.3216,21403045.9476,17187.0
25385589.1886,21711188.5584,29476.0
25553011.7009,21564382.1369,20886.0
25548504.0733,21661903.5699,31832.0
25326446.8749,21711190.2287,23991.0
25597788.2187,21571136.9214,55427.0
25633437.9042,21578655.7215,333606.0
