,lt_x,lt_y,rb_x,rb_y,target
0,22095044.8418,21404963.9555,25128447.7641,21011636.3563,0.101232407105
1,22135048.8565,21427271.9786,24818443.7494,21079328.3332,0.100301745691
2,22095044.8418,21494963.9555,25128447.7641,21101636.3563,0.0929531450215
3,22270048.8565,21472271.9786,24953443.7494,21124328.3332,0.0908468330611
4,22005044.8418,21449963.9555,25038447.7641,21056636.3563,0.0904555447631
5,22140044.8418,21404963.9555,25173447.7641,21011636.3563,0.0888523939071
6,21960044.8418,21404963.9555,24993447.7641,21011636.3563,0.0885867446108
7,22225048.8565,21472271.9786,24908443.7494,21124328.3332,0.0881816576609
8,22135048.8565,21472271.9786,24818443.7494,21124328.3332,0.0876881247894
9,22225048.8565,21517271.9786,24908443.7494,21169328.3332,0.0873964141379
10,21960044.8418,21494963.9555,24993447.7641,21101636.3563,0.0863546588015
11,22135048.8565,21517271.9786,24818443.7494,21169328.3332,0.0861630061872
12,22575056.886,21516888.0249,24558435.7199,21259712.2869,0.0853446057795
13,22656756.8416,21386346.4944,24656735.7643,21390253.8174,0.0851959468127
14,22135048.8565,21382271.9786,24818443.7494,21034328.3332,0.0847396690282
15,22180048.8565,21517271.9786,24863443.7494,21169328.3332,0.0847136624252
16,22315048.8565,21472271.9786,24998443.7494,21124328.3332,0.0845557910545
17,22400052.8713,21539580.0018,24733439.7346,21237020.31,0.0836693020414
18,22050044.8418,21449963.9555,25083447.7641,21056636.3563,0.0836020783329
19,21992350.6561,21340312.203,25051141.9498,21346288.1088,0.0833102835668
20,22310052.8713,21494580.0018,24643439.7346,21192020.31,0.0820489340129
21,22445052.8713,21494580.0018,24778439.7346,21192020.31,0.0818220307406
22,22050044.8418,21539963.9555,25083447.7641,21146636.3563,0.0815274540421
23,22180048.8565,21472271.9786,24863443.7494,21124328.3332,0.0813396614242
24,22225048.8565,21427271.9786,24908443.7494,21079328.3332,0.0809123616642
25,22005044.8418,21404963.9555,25038447.7641,21011636.3563,0.080764121622
26,21960044.8418,21449963.9555,24993447.7641,21056636.3563,0.0802449357089
27,22095044.8418,21449963.9555,25128447.7641,21056636.3563,0.0801896556041
28,22005044.8418,21539963.9555,25038447.7641,21146636.3563,0.0801209146656
29,22140044.8418,21494963.9555,25173447.7641,21101636.3563,0.080048810934
30,22225048.8565,21562271.9786,24908443.7494,21214328.3332,0.0800203429601
31,22566756.8416,21341346.4944,24566735.7643,21345253.8174,0.079995730488
32,22082350.6561,21385312.203,25141141.9498,21391288.1088,0.0799621104706
33,22355052.8713,21494580.0018,24688439.7346,21192020.31,0.0793327044964
34,22480288.1131,21296001.7306,24833204.4928,21300598.5812,0.0792535337862
35,22315048.8565,21427271.9786,24998443.7494,21079328.3332,0.0790176495522
36,22095044.8418,21584963.9555,25128447.7641,21191636.3563,0.0789283112772
37,22005044.8418,21494963.9555,25038447.7641,21101636.3563,0.0789042854711
38,22095044.8418,21539963.9555,25128447.7641,21146636.3563,0.0788671673521
39,22180048.8565,21427271.9786,24863443.7494,21079328.3332,0.0788532210548
40,22270048.8565,21427271.9786,24953443.7494,21079328.3332,0.0786445321918
41,22050044.8418,21404963.9555,25083447.7641,21011636.3563,0.0785405991086
42,22082350.6561,21340312.203,25141141.9498,21346288.1088,0.0780081966512
43,22490052.8713,21539580.0018,24823439.7346,21237020.31,0.0779905071086
44,22180048.8565,21382271.9786,24863443.7494,21034328.3332,0.0779755549233
45,22611756.8416,21296346.4944,24611735.7643,21300253.8174,0.0776063524913
46,22050044.8418,21494963.9555,25083447.7641,21101636.3563,0.0774636839665
47,22445052.8713,21539580.0018,24778439.7346,21237020.31,0.0774521415163
48,22521756.8416,21341346.4944,24521735.7643,21345253.8174,0.0772103058197
49,21960044.8418,21539963.9555,24993447.7641,21146636.3563,0.0761768775504
50,22270048.8565,21562271.9786,24953443.7494,21214328.3332,0.0754439660466
51,21947350.6561,21250312.203,25006141.9498,21256288.1088,0.0753435708305
52,22566756.8416,21386346.4944,24566735.7643,21390253.8174,0.0750775617548
53,22485056.886,21471888.0249,24468435.7199,21214712.2869,0.0748870770643
54,22140044.8418,21449963.9555,25173447.7641,21056636.3563,0.074742500299
55,22315048.8565,21382271.9786,24998443.7494,21034328.3332,0.0747050279392
56,22390288.1131,21251001.7306,24743204.4928,21255598.5812,0.0746983535649
57,22225048.8565,21382271.9786,24908443.7494,21034328.3332,0.0739255654545
58,21947350.6561,21340312.203,25006141.9498,21346288.1088,0.0738678801063
59,22213819.3846,21385656.9668,24919673.2213,21390943.345,0.0734380747431
60,22123819.3846,21340656.9668,24829673.2213,21345943.345,0.0734326955267
61,22530056.886,21516888.0249,24513435.7199,21259712.2869,0.0733284114793
62,22270048.8565,21382271.9786,24953443.7494,21034328.3332,0.0731305179649
63,22123819.3846,21295656.9668,24829673.2213,21300943.345,0.072580780408
64,22082350.6561,21295312.203,25141141.9498,21301288.1088,0.0725240680181
65,22140044.8418,21539963.9555,25173447.7641,21146636.3563,0.0721798977764
66,22037350.6561,21385312.203,25096141.9498,21391288.1088,0.0718809584153
67,21947350.6561,21295312.203,25006141.9498,21301288.1088,0.0718784080534
68,22123819.3846,21385656.9668,24829673.2213,21390943.345,0.0717368010336
69,22037350.6561,21340312.203,25096141.9498,21346288.1088,0.0715246197046
70,22037350.6561,21295312.203,25096141.9498,21301288.1088,0.0713841817011
71,22355052.8713,21404580.0018,24688439.7346,21102020.31,0.0713442547745
72,22135048.8565,21562271.9786,24818443.7494,21214328.3332,0.071214693598
73,22127350.6561,21385312.203,25186141.9498,21391288.1088,0.0711284356258
74,22310052.8713,21539580.0018,24643439.7346,21237020.31,0.0710709235889
75,22490052.8713,21449580.0018,24823439.7346,21147020.31,0.0706739209452
76,22400052.8713,21449580.0018,24733439.7346,21147020.31,0.0706351585682
77,21947350.6561,21385312.203,25006141.9498,21391288.1088,0.0706118175751
78,21947350.6561,21205312.203,25006141.9498,21211288.1088,0.070400285016
79,22270048.8565,21517271.9786,24953443.7494,21169328.3332,0.0703094467148
80,22180048.8565,21562271.9786,24863443.7494,21214328.3332,0.0699955584108
