1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
148326.589506,8729.96604938,-24009.0092593,-22019.7777778,-51748.7685185,46384.6194222,31324.833263,-9050.06379624,16791.8703704,-18637.2037037,61170.4139094,-25335.0751995,-63359.3016728,-75063.9633539,-54802.56736,-21219.9229897,-36059.9468694,-19573.7531134,-50857.6889061,77181.0670301,-18866.8193628,-2512.58100059,-83677.0860723,32454.180526,-60005.2611204,55626.2000179,19721.9153393,23015.177589,62840.8251116,-3556.55756335,-43600.9417962,-30235.2448981,79855.9503388,14258.6350023,-1499.54069807,-13397.5651505,61934.3967073
148326.589506,-36715.1820988,-7666.93518518,19434.7592592,25261.5277778,7528.88634054,43012.4247384,-4937.14441229,30093.7037037,-55133.0185185,47033.9539837,34475.5124523,30374.3391196,62669.4590218,621.114612872,53688.0374764,-66614.3698085,-52952.9271735,45035.4266116,7706.68479301,-92489.1129746,60104.0207742,-66483.7344872,10486.0996747,25508.0329607,108934.292599,64410.1953667,-89399.762085,72461.5763076,4563.92184945,-64862.924462,-42971.1971609,-78655.5419563,-38117.8058191,20630.0245401,-61205.3777261,-114534.549601
148326.589506,27985.2160494,-24009.0092593,-50523.3333333,33401.2777778,6978.04260462,-101401.677902,23097.4130748,-7782.03703701,-52615.2592593,18029.8901301,38078.5843496,-55824.1874427,49911.0432413,-22315.8004025,-30764.5298759,-79467.750206,74444.639563,-3307.29676434,-12291.5664501,71046.1886213,-23430.7703194,-43718.0286639,-116101.68759,-52672.7374496,61416.651325,89793.9987288,-132227.272859,-49552.2357852,6801.708139,46116.8900157,67719.131562,11930.7948435,25328.0618323,-9665.09719052,20506.4685746,46757.6878507
148326.589506,8729.96604938,-7666.93518518,-22019.7777778,-25976.9537037,-2491.07308031,8367.36051502,-18840.1485458,-58959.6111111,4179.5,-12270.4538299,-20480.6695643,12442.4104312,1974.77688551,90699.0085177,-5117.48910692,-64378.7052463,-29044.1690152,-5992.09796078,48310.0227363,42710.6450201,31001.7211324,-18125.8487108,-50170.129592,-18406.1420676,-43671.1152115,55573.3973615,35437.4909153,-21613.6540906,-11298.204181,3998.30633919,-5754.7756956,-4132.82574512,17015.7336298,42072.3265608,-19613.0179064,-84815.4582726
148326.589506,-36715.1820988,-24009.0092593,19434.7592592,18347.4907407,-54585.6516579,26574.8798346,37619.3551567,-72261.4444445,7296.35185189,-29689.2102067,-44421.156917,-29658.299543,77241.1485192,22702.8363272,15647.1818204,-23065.772066,4675.61150191,9454.26241588,29831.5830952,-5819.04088797,-45606.1162812,7206.01076965,53519.8678787,7275.15838872,-102205.709865,-12078.5642082,146124.562183,-40535.6503093,-49616.3519931,41198.9157301,-34408.1246797,-101931.635047,-42316.7722192,-31747.2167041,85384.3353582,22810.0080505
148326.589506,27985.2160494,-7666.93518518,-50523.3333333,715.425925919,-90694.3057204,60355.5666473,-32717.3164824,-34385.7037037,114909.62963,-26075.9493036,5823.65299448,-18801.4444316,-5626.92988398,65183.9976903,-28503.7437323,30952.4155947,-46177.1068124,-43522.4384119,-81555.8103645,53235.0831106,5368.02355017,29222.1536655,-48422.8483256,-66337.4720065,-51524.9666341,-35681.0924932,52003.9193515,42918.3226427,-16623.542833,62325.9125099,-8840.3291801,-1328.84382306,19594.4699894,23871.6455088,-19264.1694509,-28517.7422547
148326.589506,8729.96604938,-24009.0092593,-22019.7777778,-51748.7685185,-43893.5463418,-39692.193778,27890.2123421,16791.8703704,-18637.2037037,-3121.35605417,47213.9797038,2895.05227634,-82496.1466667,-17277.0196844,38672.7404252,77981.6156749,80646.1793458,48093.7327571,-95841.194396,-4922.86205855,-61759.9435454,45267.1082199,-116708.512006,20762.3204524,65545.0084774,10967.0495273,-19488.7789868,50919.7408997,12644.9079169,-85000.8049326,59573.957003,-54556.3610077,23967.5642019,-31250.6998368,-15762.1594294,1296.74283381
148326.589506,-36715.1820988,-7666.93518518,19434.7592592,25261.5277778,47056.7653174,-69587.3045729,-32682.2107445,30093.7037037,-55133.0185185,28433.8602483,11343.8794046,-48737.8785418,9461.90391454,-16021.9288801,-12309.7528122,100693.925081,-38446.1129392,1696.73415409,-9834.56630736,6198.73400472,-17283.4084381,53405.6161154,8949.56631623,-39069.6731723,139561.891628,57928.0164866,-713.444246911,-63500.7573085,-56639.9695785,-56203.9120969,-40257.8069646,-55198.8018316,-35729.5989603,-3891.68670578,-20239.7944619,28016.2714481
148326.589506,27985.2160494,-24009.0092593,-50523.3333333,33401.2777778,83716.2631158,41046.1112543,9619.90340763,-7782.03703701,-52615.2592593,53824.6631988,-42504.0024041,26603.792909,-38071.2916778,-68789.640821,-10092.521205,91671.5126653,-30177.0592892,-30496.8052279,-13393.4993895,-74600.0218051,-42114.8491758,52656.0531879,33594.6373768,-34501.5331573,99250.1059228,29421.7194415,-54906.034538,13258.3902606,-41352.1097706,-31842.5239612,-14927.3240419,-10769.345002,4586.57514298,-8996.1418248,-58782.6571256,-7715.81191104
148326.589506,8729.96604938,-7666.93518518,-22019.7777778,-25976.9537037,46384.6194222,31324.833263,-9050.06379624,-58959.6111111,4179.5,61170.4139094,-25335.0751995,-63359.3016728,-75063.9633539,-54802.56736,-21219.9229897,56490.3904816,35784.5898874,20183.0751866,-92788.0465796,-54167.836513,-47914.3391296,43108.8277891,-100622.584301,18331.6639197,-20276.5962609,-52478.207173,-98280.9532155,7150.98860079,44329.6666324,128851.783586,21873.2905955,-20991.1201864,28162.2961466,4666.8902561,83590.780759,58333.6895188
