,naiseki
0,2669878.61111
1,111114.327475
2,-475448.884854
3,-163142.277778
4,-285083.5
5,16063.6111111
6,316498.559669
7,385901.187292
8,-225319.654393
9,117682.332622
10,-371444.920641
11,-128183.703399
12,-66921.9607013
13,-44057.6792175
14,-97088.86447
15,189556.961691
16,-494643.467304
17,-34876.9916613
18,359491.744156
19,-90040.4678203
20,447674.376298
21,-23765.9870825
22,-216786.299603
23,418051.255643
24,539640.782592
25,-15559.5165248
26,277360.38245
27,-66045.4249403
28,-418301.128686
29,-271559.214385
30,193240.677061
31,-299897.836247
32,-262442.674069
33,-125981.360107
34,-45986.5096413
35,82482.5773392
36,633938.749868
37,372807.575955
38,-268353.858826
39,239892.547035
40,-151859.273704
41,-101017.365241
42,-181754.727036
43,-309621.763295
44,-71719.3266583
45,-480103.527738
46,-3739.1020915
47,-24102.5708203
48,89746.4640727
49,-95025.5050811
50,197857.512629
51,-364802.37131
52,-267603.697098
53,336377.131507
54,-32080.3991664
55,-113589.143465
56,194222.168037
57,753623.916909
58,616430.491829
59,-46357.2799925
60,-507525.064505
61,431812.682866
62,5932.20844639
63,33086.3701293
64,179129.993501
65,-65639.3642047
66,-185728.173312
67,191747.763253
68,-203739.407864
69,170324.317994
70,-416964.672378
71,121589.29564
72,-66923.2804521
73,420416.367489
74,197138.956207
75,630295.679344
76,-375916.367879
77,172393.648232
78,-22071.758063
79,-458248.97582
80,-403459.5282
81,-47396.3052611
82,-284176.296799
83,-523061.839918
84,-160232.054841
85,391229.782674
86,-423448.903026
87,-178444.227354
88,34013.1626775
89,-33732.6533819
90,239227.569954
91,-309849.244484
92,-235511.171715
93,510497.868327
94,-151571.409171
95,-427672.226288
96,73429.9273308
97,405306.630648
98,29685.482883
99,220573.27228
100,-379886.325681
101,79087.3048075
102,-21095.5614752
103,-95724.7799697
104,-29118.0407687
105,-33774.1402322
106,56898.9917498
107,-214079.326979
108,-350102.481579
109,552529.520692
110,-238884.258699
111,-377502.708888
112,130018.546988
113,706078.784579
114,-419445.680851
115,-353673.056048
116,67147.3432707
117,-85085.1465876
118,103165.133504
119,-602656.609541
120,-70728.5102625
121,31704.5962825
122,-381372.144013
123,164972.243977
124,-195212.046342
125,136427.628274
126,-309519.398246
127,-164312.766733
128,197135.655652
129,-584799.262548
130,238363.716496
131,-308942.976633
132,210197.188586
133,-270471.616028
134,476773.887388
135,268713.76612
136,169403.555894
137,218403.416249
138,-133006.890334
139,101194.223361
140,-318523.80269
141,-3969.34946263
142,456206.991806
143,211521.278411
144,-7735.29556018
145,-539448.220316
146,-146265.901193
147,224298.49134
148,-90810.5084242
149,217396.818897
150,-385753.77803
151,-75961.162024
152,363415.35134
153,-249256.838667
154,-279089.565045
155,-207388.379934
156,266789.774314
157,-78324.2315135
158,44483.6718343
159,-7763.95414545
160,-41825.3895611
161,-307451.14726
162,-161279.497772
163,225594.449278
164,-258174.814796
165,656133.489329
166,-645581.117281
167,-271966.858685
168,379061.522085
169,320363.137565
170,-433821.06515
171,233727.867695
172,467833.823366
173,-405006.007595
174,-628536.110864
175,217344.421003
176,-265209.148594
177,-43443.4305341
178,130002.972645
179,-106207.030019
180,-455166.608686
181,-107824.218234
182,-526237.216366
183,-656406.177946
184,237122.823471
185,-1017582.79388
186,680130.109445
187,-194920.584184
188,559690.531245
189,947028.547236
190,212466.299288
191,-198486.216021
192,616819.043611
193,296363.306461
194,69959.8156603
195,60304.1331787
196,66844.4613075
197,302103.719789
198,-548047.289283
199,289378.365061
200,320747.196091
201,308311.991937
202,-275304.226047
203,-120479.362002
204,117423.672919
205,-257527.093795
206,269095.51648
207,-40487.5452056
208,685625.559293
209,361415.908314
210,-150130.443597
211,-560410.458317
212,-748083.979511
213,-58208.6815237
214,119005.060997
215,-520761.407546
216,-191066.422758
217,824463.104385
218,-138279.053799
219,-19579.6616614
220,-90773.7115327
221,-202618.400411
222,636491.597691
223,-394733.254231
224,316043.525014
225,209459.161143
226,267417.189677
227,-269902.821359
228,-219983.358921
229,-500770.121735
230,-182211.680554
231,-361223.970358
232,321920.362019
233,286505.312933
234,-211279.95398
235,496784.672448
236,308728.928767
237,67514.794697
238,-62441.8848046
239,-400165.284749
240,-96857.9840795
241,-184424.53529
242,-258194.869096
243,-252354.877015
244,202742.180517
245,-205337.973224
246,-336260.052028
247,466437.309831
248,-406169.518764
249,-190292.395056
250,339790.854466
251,68411.8442965
252,-227509.767801
253,-206099.949611
254,203764.391098
255,-129358.573819
256,-161519.150961
257,88818.5002897
258,-309580.496096
259,-158664.86618
260,-256979.54242
261,62075.1000708
262,366992.725611
263,81510.5125885
264,137579.978351
265,75530.7315766
266,30887.545086
267,-380160.818933
268,257558.905092
269,-180721.364149
270,237033.506817
271,-328413.620808
272,132452.475257
273,-196621.078459
274,220887.901446
275,467781.542654
276,52610.7434691
277,57222.1359828
278,-276967.341593
279,-287973.973182
280,-230142.829316
281,25880.6041632
282,217354.409248
283,-364761.448629
284,153378.484652
285,243971.51256
286,265249.32855
287,-80447.4689785
288,-7645.3247059
289,-20394.8259217
290,121936.600848
291,96656.4746336
292,416536.886433
293,-79649.3932995
294,198594.254109
295,111554.802285
296,-101779.71169
297,66108.4530859
298,-646728.742127
299,77455.1131776
300,-209613.791029
301,23305.416178
302,-134664.296723
303,-131776.368205
304,272029.240498
305,78212.1209925
306,-84524.4979694
307,-25352.475809
308,-188427.468077
309,-263727.256594
310,174677.648252
311,-309763.450442
312,442520.294982
313,205876.895238
314,197077.435405
315,-1073.00151461
316,422812.474026
317,-3332.66990155
318,322861.118995
319,-234347.396061
320,-530706.605342
321,-170768.543486
322,-66268.5438584
323,-101950.875035
