,D,norm
0,1,7.12825179807e+12
1,3,2.38398035879e+11
2,4,1.08146044373e+11
3,9,4.68111533579e+11
4,12,2.97666281545e+11
5,27(Ⅰ),5.60081921338e+11
6,27(Ⅱ),6.21465293877e+11
7,27(Ⅲ),2.20946266357e+11
8,36(Ⅰ),7.03691802034e+11
9,36(Ⅱ),7.39212344222e+11
10,81(Ⅰ),1.00173845288e+12
11,81(Ⅱ),4.81569863875e+11
12,81(Ⅲ),3.30425773517e+11
13,81(Ⅳ),1.5182528876e+12
14,81(Ⅴ),1.06736855246e+12
15,81(Ⅵ),4.30431900197e+11
16,108(Ⅰ),1.14288667571e+12
17,108(Ⅱ),6.86605591431e+11
18,108(Ⅲ),2.35388497895e+11
19,108(Ⅳ),1.1491724095e+12
20,108(Ⅴ),8.00546012502e+11
21,108(Ⅵ),6.45302806189e+11
22,324(Ⅰ),1.06481027397e+12
23,324(Ⅱ),8.72047962614e+11
24,324(Ⅲ),5.42700170277e+11
25,324(Ⅳ),3.81352562409e+12
26,324(Ⅴ),1.24490115696e+12
27,324(Ⅵ),1.93983559867e+12
28,324(Ⅶ),1.63409636329e+12
29,324(Ⅷ),1.20390253293e+12
30,324(Ⅸ),9.08966993087e+11
31,324(Ⅹ),5.18702664403e+11
32,324(ⅩⅠ),7.56961164637e+11
33,324(ⅩⅡ),5.59487621953e+11
34,324(ⅩⅢ),6.95403361651e+11
35,324(ⅩⅣ),3.9940740281e+11
36,324(ⅩⅤ),9.40586570645e+11
