,lt_x,lt_y,rb_x,rb_y,target
0,19391543.4109,20894986.2772,20211900.2407,20240629.0137,0.109180652376
1,19342573.9266,20915434.9417,20214203.0583,20220180.3492,0.108784632668
2,19368576.2498,20839855.346,20188200.7351,20295759.9449,0.108285812462
3,19364588.7669,20834658.526,20238854.8847,20254290.0982,0.10824790748
4,19397863.3811,20928762.5238,20205580.2704,20160186.1005,0.106632805513
5,19387922.1002,20834658.526,20262188.218,20254290.0982,0.1055048049
6,19346425.1897,20686435.9653,20210351.7952,20215845.9923,0.1050930132
7,19438210.0775,20848319.6106,20258566.9074,20193962.347,0.10417338394
8,19368210.0775,20894986.2772,20188566.9074,20240629.0137,0.102884270768
9,19457922.1002,20834658.526,20332188.218,20254290.0982,0.101401870382
10,19484876.7442,20848319.6106,20305233.574,20193962.347,0.101345760392
11,19341255.4336,20834658.526,20215521.5513,20254290.0982,0.100619751991
12,19368210.0775,20871652.9439,20188566.9074,20217295.6804,0.100173658794
13,19337267.9507,20876128.3727,20266175.7008,20259486.9182,0.100039457416
14,19342573.9266,20892101.6084,20214203.0583,20196847.0159,0.0998614520251
15,19504848.5453,20992210.9384,20051928.4396,20096737.6859,0.0997257166689
16,19508210.0775,20871652.9439,20328566.9074,20217295.6804,0.0996411851707
17,19414876.7442,20918319.6106,20235233.574,20263962.347,0.0994230186133
18,19508210.0775,20848319.6106,20328566.9074,20193962.347,0.0989207702412
19,19438210.0775,20918319.6106,20258566.9074,20263962.347,0.098671060054
20,19481255.4336,20857991.8594,20355521.5513,20277623.4316,0.0981466331864
21,19364588.7669,20857991.8594,20238854.8847,20277623.4316,0.098128895758
22,19313934.6174,20852795.0394,20242842.3675,20236153.5849,0.0977663834442
23,19435907.2599,20892101.6084,20307536.3916,20196847.0159,0.0975558320357
24,19491619.7602,20906157.3349,20251823.8913,20182791.2894,0.0974936713298
25,19504848.5453,20922210.9384,20051928.4396,20026737.6859,0.0969806070308
26,19482573.9266,20868768.2751,20354203.0583,20173513.6825,0.0968920842654
27,19434588.7669,20834658.526,20308854.8847,20254290.0982,0.0968747154224
28,19391543.4109,20871652.9439,20211900.2407,20217295.6804,0.0965860180594
29,19461543.4109,20848319.6106,20281900.2407,20193962.347,0.0965821254559
30,19435907.2599,20868768.2751,20307536.3916,20173513.6825,0.0965039870856
31,19461909.5831,20793188.6793,20281534.0685,20249093.2783,0.0961641046215
32,19341255.4336,20857991.8594,20215521.5513,20277623.4316,0.0954517823346
33,19414876.7442,20894986.2772,20235233.574,20240629.0137,0.095360088317
34,19313934.6174,20876128.3727,20242842.3675,20259486.9182,0.0951892984941
35,19368576.2498,20863188.6793,20188200.7351,20319093.2783,0.0949638163477
36,19312163.416,20741141.9635,20291280.2356,20207806.6608,0.0947822355617
37,19365907.2599,20892101.6084,20237536.3916,20196847.0159,0.0944464030017
38,19374107.002,20951367.7127,20229336.6495,20137580.9116,0.0942990783584
39,19411255.4336,20834658.526,20285521.5513,20254290.0982,0.0941203233478
40,19421889.4098,20694082.9662,20228220.9084,20254865.6581,0.0939182063238
41,19365907.2599,20915434.9417,20237536.3916,20220180.3492,0.0938522437916
42,19393091.8563,20686435.9653,20257018.4619,20215845.9923,0.0933648534442
43,19444953.0936,20952824.0015,20205157.2247,20229457.9561,0.0933562551538
44,19368210.0775,20918319.6106,20188566.9074,20263962.347,0.0927585470693
45,19312163.416,20717808.6302,20291280.2356,20184473.3274,0.0927282897886
46,19341255.4336,20787991.8594,20215521.5513,20207623.4316,0.0926621834409
