1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
140688.080247,-5055.60802469,-264.598765432,-35520.7777778,-37834.5401235,16524.916848,38503.3059553,-11725.1672477,8852.52469136,33345.9197531,-84768.4105277,4292.14920164,-10719.2849703,28332.865376,85931.4989353,-9779.068015,-25536.8170629,23400.8220278,39572.8839239,-10708.5163684,25559.2447954,4296.66046184,-3315.26941609,-16534.3752557,10297.3020792,42991.8670288,37491.8912925,-8681.21127551,13287.2528264,-1248.53781428,-26299.3976329,-70365.8666212,38378.0261361,-24594.1179514,21834.1175993,-13691.2911281,5264.52679973
140688.080247,1166.25308641,-26055.154321,-6118.44444444,19439.6728395,18213.3132993,-49041.3860415,-6843.06614666,-9003.49382716,2612.19753088,-79213.3970902,8805.19717504,5696.51472999,10983.8761771,67021.1882386,-10888.3792305,-509.801282338,-41919.5429637,-12789.7020503,24075.4012224,10198.3098727,-10876.637021,29616.9897494,-22105.0589233,-17628.7826778,-68058.9412808,45809.7812174,1517.57045983,23019.8290324,-1124.02226088,2735.66780389,16019.5541035,-28844.7627241,74198.7479479,44645.2841798,34921.9261006,-30656.7827277
140688.080247,3889.35493828,-264.598765432,-17367.3796296,38654.0154321,-4564.73581078,-4335.20420452,5212.46779307,-31503.6697531,-13237.8024691,-43828.7003587,-11409.8335294,-1948.68833402,-28307.5649108,34122.2104184,34665.9933813,22669.9947645,2198.39239515,-718.637159624,45273.5762342,-17600.6214491,-1164.89922956,60653.5792259,2486.46670639,5051.86147511,-114341.174782,44584.5981629,-24149.1190144,-1360.37125887,38814.7184133,61801.7404852,15463.9769942,-50669.5093299,-24664.8109352,55573.2473473,-22850.5624818,8599.6089919
140688.080247,-5055.60802469,-26055.154321,-35520.7777778,5179.7191358,-13991.6748235,-8765.02036651,15784.8340789,-36147.8271605,67003.6790123,4828.78680899,-22943.4879895,-3996.20622693,-43797.3589998,16686.3277144,-10266.1446405,32926.1382924,44162.4856171,22709.144609,44421.5605943,-15520.0300715,-12245.8823747,86051.0282714,-483.39684933,-1770.81660726,-82395.3194774,41850.8376427,-8728.67134164,-21231.7039244,-25167.7416477,34323.458587,55841.0172396,22866.9059733,-67633.2291404,47048.5791067,-56821.0644492,-49228.4667167
140688.080247,1166.25308641,-264.598765432,-6118.44444444,-819.475308614,2967.48501368,55902.0516802,13203.4910839,-18291.808642,-47388.0061729,43991.6853995,-6734.05344264,7497.07174687,32080.5510173,-25285.2048128,15604.0334252,25508.6742107,-34226.8246763,-50270.4699048,21870.0164812,-88292.752861,-15633.6710276,102746.029705,-24043.4996903,-13998.5114958,-33873.4026186,27766.1300472,20531.746053,-2791.62138575,-45637.4441014,-46738.2445142,-83394.4631392,-58185.5060413,64561.7371797,-11894.4785987,15833.0776035,21964.3676639
140688.080247,3889.35493828,-26055.154321,-17367.3796296,-24619.3919753,14213.0014461,-18154.52788,14328.2208784,4208.36728395,-42335.9876543,55335.2399151,10429.0785575,-12055.7073615,23153.864927,-80400.0891221,-61080.136916,4210.77075761,-3913.32285239,39866.2095022,5770.43563427,-42639.2340006,-2446.77570771,108724.919961,-12891.2982867,11558.0820296,-33818.9008697,-700.636323893,1882.92681308,12653.1887764,37562.6682196,-52229.9082771,3731.22184357,-31369.8867637,31089.931507,-18944.7368751,16546.644696,-58819.1331166
140688.080247,-5055.60802469,-264.598765432,-35520.7777778,-37834.5401235,-2533.24202442,-29738.2855888,-4059.66683127,8852.52469136,33345.9197531,33551.6751284,180.337200462,13198.2191527,-58273.681836,-68957.578942,42281.7792965,-20445.0388293,-1026.83985029,372.406457401,30368.972233,52952.4165982,-21567.0554978,103266.556636,6795.6856529,-15369.1959923,-79600.0438861,-19921.9977329,-4172.45917243,4592.21314721,-17010.9546473,3727.33073885,16568.7866368,12240.8721693,-69002.6027071,-69064.9036704,17330.0124609,39105.2837003
140688.080247,1166.25308641,-26055.154321,-6118.44444444,19439.6728395,-21180.798313,-6860.66563866,-6360.42493727,-9003.49382716,2612.19753088,-11166.2368996,-20542.1453198,-14710.8585214,-13651.947319,5052.23688034,23992.7011794,-36197.6498865,44717.0862008,-22110.3437217,50810.8369711,4835.49509123,1189.35312286,87029.2989035,-11193.7335205,329.193876254,-104175.603348,-10861.3326381,40401.6300003,-10092.6647984,-75732.953785,26575.6848132,61844.1391162,-39582.8986545,-12889.8790421,-44267.2699189,47011.8415266,-54941.2025306
140688.080247,3889.35493828,-264.598765432,-17367.3796296,38654.0154321,-9648.26563532,22489.7320845,-19540.6886715,-31503.6697531,-13237.8024691,-57894.4881466,-17490.2466154,12487.123651,49479.3955681,-34170.5893102,-24530.7784802,-34871.8640612,-53906.2624429,28686.7931707,3670.304704,39235.1668801,-7432.91602854,61971.599683,-24633.0577465,3205.14324876,-50205.8471164,4311.22302387,40818.0601548,-6570.54279455,23059.2325647,18877.1954665,-72442.2295585,1789.78557149,84971.1022341,-21452.2579848,-67497.7554009,52001.9319876
140688.080247,-5055.60802469,-26055.154321,-35520.7777778,5179.7191358,16524.916848,38503.3059553,-11725.1672477,-36147.8271605,67003.6790123,-84768.4105277,4292.14920164,-10719.2849703,28332.865376,85931.4989353,-9779.068015,-16300.6751631,7610.67324577,-41839.3128975,-52074.8298724,63619.0319885,-3707.38730126,31115.7873124,-1976.21025129,-16899.4566908,62063.1570749,-11937.2105781,-27699.4811856,15535.6270813,15065.0361864,29725.0121401,4737.37544547,17125.958528,-27332.8650848,12931.6226289,-9129.56749553,-39409.2017781
140688.080247,1166.25308641,-264.598765432,-6118.44444444,-819.475308614,18213.3132993,-49041.3860415,-6843.06614666,-18291.808642,-47388.0061729,-79213.3970902,8805.19717504,5696.51472999,10983.8761771,67021.1882386,-10888.3792305,11501.6200151,27506.9197359,33285.0065453,-27437.6107125,21418.6058272,12423.5974778,-1816.47185304,3594.4734163,11026.6280663,145382.834098,-53944.035318,-55749.9808757,9221.26320883,-61315.041628,-5743.72693638,-5119.48915976,8360.45204951,-80704.4844955,52253.8654015,-1280.11343589,54619.827462
140688.080247,3889.35493828,-26055.154321,-17367.3796296,-24619.3919753,-4564.73581078,-4335.20420452,5212.46779307,4208.36728395,-42335.9876543,-43828.7003587,-11409.8335294,-1948.68833402,-28307.5649108,34122.2104184,34665.9933813,36007.9407815,-6123.01628209,10103.0106858,16342.0869048,-23137.7301738,-2331.7085828,-32853.0613296,-20997.0522134,-11654.0160866,127753.227504,-72964.2756797,-22559.0617966,-16265.2948214,9807.84710348,-59574.053053,53950.0670095,15649.8353404,83097.5305191,58119.1225837,-17554.5051163,-19490.7266303
140688.080247,-5055.60802469,-264.598765432,-35520.7777778,-37834.5401235,-13991.6748235,-8765.02036651,15784.8340789,8852.52469136,33345.9197531,4828.78680899,-22943.4879895,-3996.20622693,-43797.3589998,16686.3277144,-10266.1446405,45981.8558922,-22373.9821775,-39945.2903813,-19660.4558647,-78511.6613936,17270.395036,-58250.5103751,-18027.1886577,-4831.33800425,25619.8835776,-43572.7421092,-8600.00295936,-17130.7179068,38984.2400198,-35502.0823374,-42633.8376919,32637.0786908,15706.2461042,30239.0877335,99115.939513,45734.0277362
140688.080247,1166.25308641,-26055.154321,-6118.44444444,19439.6728395,2967.48501368,55902.0516802,13203.4910839,-9003.49382716,2612.19753088,43991.6853995,-6734.05344264,7497.07174687,32080.5510173,-25285.2048128,15604.0334252,36707.4511689,-2797.54323714,34900.045772,-74886.2381935,-15033.8049639,9687.28389817,-74945.5118083,5532.91418328,7396.35688432,-66523.6644572,15.5363241803,-372.63455186,7094.15818223,-16801.6197875,46725.6451638,18567.2244567,37701.1953666,-71067.4737273,16613.6840769,-54916.3739946,-4505.85297803
140688.080247,3889.35493828,-264.598765432,-17367.3796296,38654.0154321,14213.0014461,-18154.52788,14328.2208784,-31503.6697531,-13237.8024691,55335.2399151,10429.0785575,-12055.7073615,23153.864927,-80400.0891221,-61080.136916,12201.8692967,51707.8700478,-27968.1560111,-48943.8809382,-21634.545431,8597.81525809,-80924.4020644,-5619.28722039,-18160.2366411,-63222.893908,12071.0122663,46331.2981753,27203.4884029,11059.8972971,53432.2110606,-39452.665112,-3649.7872258,27342.7880768,-51112.6877002,14611.0506695,29502.2972567
140688.080247,-5055.60802469,-26055.154321,-35520.7777778,5179.7191358,-2533.24202442,-29738.2855888,-4059.66683127,-36147.8271605,67003.6790123,33551.6751284,180.337200462,13198.2191527,-58273.681836,-68957.578942,42281.7792965,-16625.4631293,-51773.1588629,19130.1682885,7653.26927806,-48099.001917,15953.269676,-75466.0387393,-25306.2711599,8767.04138075,31320.4556823,-3910.7785149,57881.8259345,4947.3287764,30827.4530195,-5974.32149572,35852.5249913,43263.1124948,17075.6196709,-42988.5033979,-36804.0289011,-1466.16974148
140688.080247,1166.25308641,-264.598765432,-6118.44444444,-819.475308614,-21180.798313,-6860.66563866,-6360.42493727,-18291.808642,-47388.0061729,-11166.2368996,-20542.1453198,-14710.8585214,-13651.947319,5052.23688034,23992.7011794,-37010.2942258,6719.9049404,16985.4633595,5567.59423128,66874.1470337,3210.07354978,-59228.7810072,-7316.85198655,-6931.34848776,127248.777607,-8786.07963267,-6328.33108562,-26450.9642393,13293.8898961,-23555.0263303,-7916.96537743,19098.5879798,6384.1424945,-57351.0851404,-41570.3578002,13519.6431104
