,naiseki
0,2532385.44444
1,-64347.384911
2,-20010.6301641
3,47343.6666667
4,-236877.777778
5,184771.333333
6,116584.151981
7,134218.701794
8,-250343.809825
9,124495.792467
10,-318346.03327
11,51556.2477336
12,-208006.184139
13,-94299.4354972
14,-65734.8855506
15,401217.642529
16,-207814.008229
17,-16848.4749888
18,-55784.3936127
19,214984.383679
20,86143.4321458
21,-156992.526115
22,179968.815178
23,-142193.798393
24,465275.910293
25,-17814.0392384
26,-203416.535738
27,-365004.162684
28,228207.702748
29,228696.807818
30,388905.224831
31,-62806.0801335
32,-357491.824326
33,105790.861386
34,-180650.41539
35,102841.923038
36,212047.417244
37,-49152.9580892
38,-173706.241234
39,363514.007747
40,74333.0683075
41,47933.9967351
42,287544.461881
43,225826.828477
44,6314.22785373
45,4588.03037104
46,-156450.321616
47,142145.454726
48,351076.474106
49,-186152.511155
50,-104772.12962
51,286038.00801
52,40711.5550757
53,264409.830078
54,-724049.331966
55,88256.0563694
56,-196807.398081
57,31979.423296
58,-158068.992414
59,299325.317334
60,-150279.749409
61,-202559.418727
62,-78365.8228664
63,19239.6178499
64,283275.712789
65,-372484.136577
66,94623.0577081
67,-41277.1776608
68,-6437.24010956
69,-23092.1655957
70,-224620.041254
71,85075.5281403
72,192252.116314
73,-189713.558985
74,236348.161174
75,-57550.7982968
76,22196.1870158
77,3916.28882508
78,293130.823664
79,16619.39399
80,-48268.0154722
81,-9164.55379621
82,-335040.770415
83,32613.4800862
84,-135854.035976
85,72001.9582846
86,66184.8690597
87,316893.686633
88,-34058.7130288
89,-36441.7681329
90,278662.372439
91,239663.004661
92,622102.705057
93,211154.864371
94,296692.223513
95,-64861.2935233
96,-113635.056661
97,-57731.8958409
98,-185587.988888
99,-131516.332445
100,218053.344852
101,-263095.871784
102,207976.819034
103,252841.781785
104,-159183.74736
105,169139.572172
106,-92090.5865042
107,-85427.6905534
108,482831.440784
109,-110543.05098
110,-541609.887908
111,48539.2642133
112,-266252.170148
113,-426132.205029
114,150828.848227
115,-403155.444815
116,-50340.9567099
117,-27769.0301191
118,197355.947424
119,274055.656429
120,-30097.3929659
121,-64436.912943
122,548201.440959
123,225723.588912
124,-14423.4656664
125,134986.678609
126,-230229.663457
127,-208136.658519
128,-147046.800823
129,376035.992687
130,-11289.3273306
131,234555.483998
132,-169321.105395
133,256861.186305
134,261644.645134
135,46041.3562809
136,159945.090142
137,-337717.647863
138,-180893.224425
139,-50404.5451675
140,192397.34072
141,-105572.407983
142,-30234.820519
143,-306521.63509
144,-50019.22692
145,-261458.794568
146,375129.737516
147,-257754.671846
148,18936.2693315
149,15652.3228984
150,-212864.397259
151,-169567.332822
152,42979.4286584
153,-177184.064173
154,205756.064349
155,17273.8773136
156,261611.651519
157,73962.0380949
158,-40789.2348659
159,26481.1532666
160,-202005.952919
161,-56361.4818365
162,-142126.563487
163,988022.914469
164,176921.412525
165,-33261.7748507
166,-76991.3397787
167,-198880.282313
168,101344.385303
169,57952.067051
170,-117800.644822
171,147811.90323
172,-193991.98007
173,240362.195082
174,21416.2912138
175,75901.3177079
176,-42015.8546662
177,15146.0594009
178,151662.821759
179,153338.442866
180,50328.7987778
181,495144.184013
182,-451917.136869
183,-189840.222853
184,250002.452302
185,476431.544544
186,618237.280695
187,-526359.921695
188,377167.570362
189,-614580.914005
190,-296621.832453
191,666324.3121
192,-177988.058473
193,229535.055401
194,-63190.9735945
195,-38041.3671288
196,65706.792135
197,-28253.8686246
198,67667.3152354
199,5446.50017978
200,488076.594918
201,293078.664854
202,96922.2000825
203,109494.399073
204,-143785.671084
205,218938.399314
206,-83433.9165054
207,-230412.124063
208,311830.357014
209,-71130.0537217
210,52765.4433978
211,37147.9277228
212,-148091.392586
213,-30598.3053343
214,-99778.6007498
215,-157344.7064
216,227139.254328
217,-152083.075112
218,347554.048131
219,194314.027067
220,-72279.1336488
221,-118234.935703
222,-43711.569804
223,328086.128427
224,-344377.379119
225,-98064.0299857
226,54793.898496
227,134607.698618
228,-58080.9792493
229,29506.3408503
230,129502.081447
231,-427599.070386
