,D,norm
0,1,6.41297603923e+12
1,3,4541011264.45
2,4,92492950000.2
3,9,2.13779993443e+11
4,12,2.60926161156e+11
5,27(Ⅰ),1.34005378692e+11
6,27(Ⅱ),4.95786323981e+11
7,27(Ⅲ),3.3739502213e+11
8,36(Ⅰ),2.17519485608e+11
9,36(Ⅱ),5.00694905157e+11
10,81(Ⅰ),6.8637385402e+11
11,81(Ⅱ),2.89115247744e+11
12,81(Ⅲ),68924023038.9
13,81(Ⅳ),3.34564297727e+11
14,81(Ⅴ),7.898531339e+11
15,81(Ⅵ),3.61661594776e+11
16,108(Ⅰ),7.93522171452e+11
17,108(Ⅱ),3.02644857903e+11
18,108(Ⅲ),3.74963367037e+11
19,108(Ⅳ),6.19356794085e+11
20,108(Ⅴ),4.56920896664e+11
21,108(Ⅵ),2.70198774818e+11
22,324(Ⅰ),1.07427780453e+12
23,324(Ⅱ),1.44761350321e+11
24,324(Ⅲ),54728692282.2
25,324(Ⅳ),2.48866718134e+12
26,324(Ⅴ),4.45027331511e+11
27,324(Ⅵ),2.92701566538e+11
28,324(Ⅶ),5.11362179328e+11
29,324(Ⅷ),5.50452746861e+11
30,324(Ⅸ),5.87786630216e+11
31,324(Ⅹ),3.37530950041e+11
32,324(ⅩⅠ),2.4083904689e+11
33,324(ⅩⅡ),6.74044048539e+11
34,324(ⅩⅢ),6.68531328489e+11
35,324(ⅩⅣ),5.13920771374e+11
36,324(ⅩⅤ),1.91183147139e+11
