1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
117496.188272,19679.9135802,164.824074074,8578.62037037,10925.6666667,-32690.807709,35098.2214057,-33368.2192523,12951.4351852,-64041.3148148,-46853.1826767,17406.5019867,16697.1621715,-41425.8265045,-46446.4826207,38984.1609771,24530.1093979,-2030.25131228,-17500.0154931,3242.295157,21744.5202159,-30871.1857432,-25957.4274871,10348.8188409,8164.29383143,-59589.7712888,15219.8167268,-56287.0731457,6564.3761374,37710.1685279,42068.5062625,2086.71041727,-12924.2779782,-4427.02017936,73315.1552084,-17904.13247,-30660.4767368
117496.188272,-27527.3271605,4643.65123457,3325.47222221,-24323.2901234,-9211.02949919,-16292.2731373,19627.8859699,1638.21913576,24730.0864197,-42161.2041244,-14723.1285777,19618.6289984,-9038.29340232,25438.8980389,-23741.3175995,21636.8175433,-50550.5701275,31285.9470287,24936.9872055,48646.0062483,18571.2287684,-10718.6926966,-59297.7177332,-18071.6266072,-70040.6232409,25937.5555477,-13061.9143879,2747.40766245,-11786.2975301,474.076689546,-8595.32766197,-16642.2386561,-19413.6767768,39735.6194367,16147.8310624,-1441.95844134
117496.188272,7847.41358028,164.824074074,12942.1203704,2429.57407406,31386.2214444,-19982.7164397,-34053.6438936,-14343.8981482,11610.8888889,-19243.7629861,-27976.532412,-1375.47312045,-17356.4182115,76706.5703155,964.283081217,6677.45361381,22812.4772111,21459.9488048,-11952.7178039,-29330.0479868,-44184.7527279,5602.17585342,-49819.3922805,-9776.8483877,-29040.9512861,22171.4228012,44798.837544,19193.6337151,-32136.5878681,7895.97497838,5641.71298007,-24356.7951464,-5604.44105962,87.3635716477,-23654.7140489,-23699.3913665
117496.188272,19679.9135802,4643.65123457,8578.62037037,-14182.5679012,69292.3650626,926.254735511,32691.6579797,-19012.7993827,23358.1049383,11175.8153306,-449.760694991,35159.0657348,18651.7095891,-22347.956237,6049.62627758,-12021.5905276,31866.380053,-19438.7895254,-35709.6186481,-16156.3746579,24002.6044171,21036.6405453,16535.3564092,3750.734527,19002.4121316,19068.6311822,1624.36905727,-20270.5699463,16632.114635,10693.0004072,-2102.59177576,-6479.32841287,70224.4267408,29977.7224968,38079.5645753,-10504.9825729
117496.188272,-27527.3271605,164.824074074,3325.47222221,-13355.2407407,66134.0805604,15366.5256423,-14748.4395359,-7699.58333329,-3827.88888887,34863.8720553,22363.5906307,-12509.3052786,26993.6967251,47024.7324016,-11361.0865341,-24309.8798155,-16880.7479373,-28037.7055806,-15605.3249572,32543.6789995,-12174.2984867,33723.0771489,-15987.7314225,-25269.5031338,31941.7245435,26427.5538016,-29208.6942775,-24722.4823745,-7385.5583174,21949.1374606,13060.5634725,-26242.4181624,-75664.6438906,-84706.6247183,-10976.5910056,-5177.64245793
117496.188272,7847.41358028,4643.65123457,12942.1203704,38505.8580247,17034.8183644,22116.7481255,26069.4612878,8282.53395066,8170.1234568,40736.5021831,2759.81268205,40543.3888385,-9981.48388194,4401.88294253,11053.6472357,-23131.4119402,-47189.5647931,5041.74525181,-28742.3113873,-60620.3920693,-3244.31506192,42131.3141779,-71047.3302441,5664.49754761,8913.94428758,26313.0128461,25223.2112445,-283.506266706,-38346.9073079,-70540.7806134,-13203.3183873,-4450.823909,-16430.8335979,-17902.6551124,5852.82220565,-15124.0635373
117496.188272,19679.9135802,164.824074074,8578.62037037,10925.6666667,-36601.5573536,-36024.4761412,676.561272573,12951.4351852,-64041.3148148,26045.8368103,-26861.8592759,-11494.6904973,31652.2586424,-55782.879891,6787.58421154,-7983.74325151,56086.9978336,36754.4213438,-57173.2908096,-21632.1055639,33742.1926698,45247.1941543,-19402.2444155,-12708.9034425,-14647.1038145,3146.99264264,32144.3205987,18351.926577,-3611.37234394,-17933.2116515,-4437.31721517,5023.56624937,105650.73202,-40927.4761688,-23692.9243525,16238.2378284
117496.188272,-27527.3271605,4643.65123457,3325.47222221,-24323.2901234,-56923.0510611,925.747495052,-4879.44643391,1638.21913576,24730.0864197,-2334.19846672,-17545.5800372,33252.2136891,40393.201872,-36542.3234294,-12118.1469611,14719.8009791,6013.71533596,1710.45590721,-24388.8463153,23090.6873893,-20103.7299629,42694.8959674,17721.2043269,-15493.2206646,-8262.33004253,-23263.294819,-28987.7553998,38979.3886574,-2212.86145795,57659.7469407,1166.48749092,-14521.5443635,-83765.1404748,-24773.4388083,10942.2446633,-13137.8820159
117496.188272,7847.41358028,164.824074074,12942.1203704,2429.57407406,-48421.0398089,-2134.03168585,7984.18260582,-14343.8981482,11610.8888889,-31124.2697328,15311.6017457,1193.62169088,-39888.8448283,7547.55847971,-16618.7506884,34569.6456423,-40215.9294112,-33914.4754903,7041.82323587,12488.0487527,42071.9983818,34782.2644464,-46816.7199473,7146.00179727,20052.6053413,-22604.3906476,-18511.155922,-14221.0749333,-17063.4003181,29550.0992217,21029.0910156,26248.7194105,-14311.5042775,59070.850852,-20374.1571341,30527.5210954
117496.188272,19679.9135802,4643.65123457,8578.62037037,-14182.5679012,-32690.807709,35098.2214057,-33368.2192523,-19012.7993827,23358.1049383,-46853.1826767,17406.5019867,16697.1621715,-41425.8265045,-46446.4826207,38984.1609771,42004.9504546,-4102.85577599,-10917.2891231,-29340.5738052,22403.6435762,-3028.84754873,22463.6797308,-61526.3828085,-24754.9821075,32909.8790289,-2300.22809191,31222.1301716,-38731.811403,-2776.80543007,-23205.9194778,-14739.1869893,10081.5113463,66425.5903801,20720.740665,42121.9127351,-5475.79441648
117496.188272,-27527.3271605,164.824074074,3325.47222221,-13355.2407407,-9211.02949919,-16292.2731373,19627.8859699,-7699.58333329,-3827.88888887,-42161.2041244,-14723.1285777,19618.6289984,-9038.29340232,25438.8980389,-23741.3175995,32820.1464208,46339.0688727,23937.2013732,-35350.5574095,-10517.704646,14935.8176111,7224.94494024,8120.1537656,1480.93833117,5652.69381545,141.067657971,-8508.25618058,-8514.85009953,-1440.90381119,-27343.2974196,-9334.22008149,6799.50894174,-35614.6699454,50020.7568163,-17226.5429589,31004.0928948
117496.188272,7847.41358028,4643.65123457,12942.1203704,38505.8580247,31386.2214444,-19982.7164397,-34053.6438936,8282.53395066,8170.1234568,-19243.7629861,-27976.532412,-1375.47312045,-17356.4182115,76706.5703155,964.283081217,10220.3958012,-8764.33681964,26136.1539814,34434.4014742,43597.8313307,15112.1375655,-9095.92360976,-1358.17168708,-6813.83988838,-42927.1875346,-26034.0006446,-52781.3131721,10970.7898125,10430.4261115,23739.0551296,783.897007877,37042.2914926,-1365.78241893,43391.487081,1464.24900187,4277.02331854
117496.188272,19679.9135802,164.824074074,8578.62037037,10925.6666667,69292.3650626,926.254735511,32691.6579797,12951.4351852,-64041.3148148,11175.8153306,-449.760694991,35159.0657348,18651.7095891,-22347.956237,6049.62627758,-16546.3661464,-54056.7465213,-19254.4058508,53930.9956526,-112.414651969,-2871.00692657,-24530.3883017,-67712.9203768,-20341.4228031,-64876.0683566,-46488.7135951,7715.93931665,36514.0067352,18301.2484628,-43278.1883786,22263.7304488,3636.56178102,-8225.85654009,-53120.6348785,4703.57983401,17444.9599852
117496.188272,-27527.3271605,4643.65123457,3325.47222221,-24323.2901234,66134.0805604,15366.5256423,-14748.4395359,1638.21913576,24730.0864197,34863.8720553,22363.5906307,-12509.3052786,26993.6967251,47024.7324016,-11361.0865341,-36356.6185223,44536.8547916,-32996.402936,-548.140890302,-71736.6936375,1532.50119449,-37216.8249053,-35189.8325451,8678.81485775,-30256.1045962,-32087.8706432,51501.3525594,199.345241807,-5841.64302391,7655.95379878,-12484.2834799,16399.6884481,20636.2971684,5770.77521055,-47238.9541384,11557.1193804
117496.188272,7847.41358028,164.824074074,12942.1203704,2429.57407406,17034.8183644,22116.7481255,26069.4612878,-14343.8981482,11610.8888889,40736.5021831,2759.81268205,40543.3888385,-9981.48388194,4401.88294253,11053.6472357,-41247.0992561,17403.4522002,12454.5266855,4910.89456794,16841.9992341,2112.75434612,-45625.0619343,19869.7662765,-22255.1858237,39542.2315251,-858.737842313,-409.18562009,-24476.7266698,16640.7455514,47486.5969965,-6757.68034472,17136.3202552,9460.61011939,-79891.1702624,60773.4697587,-3805.4086521
117496.188272,19679.9135802,4643.65123457,8578.62037037,-14182.5679012,-36601.5573536,-36024.4761412,676.561272573,-19012.7993827,23358.1049383,26045.8368103,-26861.8592759,-11494.6904973,31652.2586424,-55782.879891,6787.58421154,-29983.359927,-27763.524277,30356.0786484,65050.1924534,-6247.2689183,-20973.7568684,-48740.9419106,-31775.3195521,-3881.7848336,87200.6522993,11353.5011354,-16419.6859986,-2427.92810042,38544.7354418,31655.8128382,-3071.34488586,-7866.33288122,-43652.1618198,-29965.5073231,-43308.000322,12958.0559126
