1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
145719.790123,-3213.65123457,-8597.13580247,19630.6666667,40591.2191358,27552.4046435,24967.7644836,-21766.558016,63484.3765432,-87378.0432099,-104286.033644,17054.9332071,4498.42451124,21981.6058825,-2767.50805116,23544.661428,-5197.60940448,39357.7798254,-6105.94819866,-47108.9420689,-23785.8374625,-22669.6093574,-28310.5158528,-9418.22595906,-2254.52670664,13622.1415279,-17682.0378847,53657.3437817,8846.4396725,28786.1909324,-28021.5441634,30107.0416885,14007.1346362,96056.0262832,95858.7353937,-7642.37997108,63323.4266215
145719.790123,23316.1450617,-11107.5185185,14314.4814815,82286.9907407,15270.7422714,-28212.9046844,10816.912413,76173.6296296,128031.037037,-106824.525243,14337.2419609,-36247.1796813,-21925.8412269,18997.7333727,-35423.3458494,41553.287015,6554.80201752,32136.1054119,25794.2486149,9553.69786257,17914.8868559,10765.4415593,-28984.9805938,18871.483479,-86956.5140263,-71096.1643047,46639.5673786,38775.9644902,-557.797264656,-57486.6449083,-46595.3063277,-78619.7459212,-107940.040147,-67082.310083,19854.7913705,-12618.1613671
145719.790123,-20102.4938272,-8597.13580247,-7186.82407409,-7125.27160494,-11847.3329565,2167.3538145,-19862.4097469,44245.0154321,-77676.4135802,-74327.8038002,-20575.2106448,-10161.5318513,-1870.44149729,5724.56941455,12322.3350457,82150.4783852,-49847.9498939,-23974.0099728,47770.5008666,-23951.5665562,-71881.7306067,46894.3407911,-9227.96619788,1122.24577718,-106687.59359,-72902.4312714,-21484.1398734,-15932.5797833,-23397.3444172,40092.247447,47821.8437142,38426.8450197,10523.1845827,81557.8847964,5221.42299662,66860.1233412
145719.790123,-3213.65123457,-11107.5185185,19630.6666667,-53592.212963,-8893.32523077,-17474.9314527,-17463.7988721,-372.851851852,5550.22222222,-22001.4464408,-29982.4869444,-18440.9092073,-27715.2770464,47590.7069214,16422.6627176,100047.630749,23354.963226,-5243.39027117,-26306.8336561,70840.9424962,16220.6319006,75718.5033896,3477.24934488,7189.64541372,-34163.8477447,-16115.7006301,-9086.27248352,-93690.911104,24198.4092103,25884.3514412,-39140.3830918,-5309.9798338,87663.5335865,-67738.6287072,27367.3990396,-19872.9511639
145719.790123,23316.1450617,-8597.13580247,14314.4814815,-33465.9475309,14431.7189327,42109.9936033,6608.28746406,-13062.1049382,-26016.5617285,25670.4626843,1662.85288886,-28966.417425,-113246.875246,-15123.3916759,-12261.5478933,87421.6450091,26274.5347017,9435.37584475,-59593.4114652,-38528.8347257,-65242.3093646,93761.3099461,-20692.2401028,15643.0875641,57445.1715599,21379.9188711,35715.9446689,75197.740573,29776.7981938,364.865644941,73106.0029384,-26498.9556269,-82519.7499743,-12012.2289831,-35977.2524288,41910.8371558
145719.790123,-20102.4938272,-11107.5185185,-7186.82407409,-28694.7777777,12105.0045693,-16080.0157506,-21571.2110409,18866.5092593,57489.7592592,46381.7074814,22060.4403758,-905.555264625,-65500.6854562,-16692.1000349,-8605.05710143,48766.6918122,-16018.1083036,-7214.00943457,-18442.825725,27041.615524,-14061.9194286,98846.5317064,-25003.4800501,-3375.73684149,82969.673374,-2962.7518118,-1069.05792194,29337.6447515,-28283.0177591,-12620.4570144,-72933.5472682,45832.9816146,8775.91577411,-11964.8190544,17597.2819559,-20627.5781218
145719.790123,-3213.65123457,-8597.13580247,19630.6666667,40591.2191358,-18659.0794127,-7492.83303091,39230.3568881,63484.3765432,-87378.0432099,30441.26633,-2500.89166562,-43117.217257,57393.7854696,12853.3572304,15255.1998925,-1038.1515719,-36187.4439062,24883.1510336,2049.73725393,60402.0673039,-18121.0267801,90360.8158762,663.287318234,17309.3505092,26497.6923141,-32881.0506469,-40948.3362434,-12998.9013275,-7786.84734658,9718.99605036,7872.52522127,1738.9477535,27604.2792227,-30207.9378695,-59959.9371838,149.616351974
145719.790123,23316.1450617,-11107.5185185,14314.4814815,82286.9907407,-29702.4612041,-13897.0889189,-17425.1998771,76173.6296296,128031.037037,-14692.1511969,-31428.5402527,8153.89515328,85892.7536773,-61280.1976167,-10641.426431,-43304.0541267,41209.223549,-24827.4194222,-13800.5459014,-90748.2723844,-32017.070603,69327.6650208,-3939.44749466,4636.7824739,-48004.6676943,-6136.74583931,-8887.36142609,-18660.614575,38418.0702792,-23187.4955085,-16878.096485,19880.4334281,-4603.05926287,8061.54038526,71100.9405987,-14528.9439003
145719.790123,-20102.4938272,-8597.13580247,-7186.82407409,-7125.27160494,-257.67161282,13912.6619361,41433.6207879,44245.0154321,-77676.4135802,-67900.1174363,-16913.6751339,-45992.6148372,64990.975443,10696.8304397,-613.481808616,-63720.4564172,13627.4369169,-7999.18420345,-22599.0115896,19850.1889702,18719.0818786,38283.9875492,-28007.7018379,3367.19577021,-64759.2417303,47666.9437859,-2774.65115771,-69567.1738732,-9770.08253811,-35055.0936557,105187.201275,18590.4312375,-7720.69129195,57042.8725309,-40112.246332,-38882.9997319
145719.790123,-3213.65123457,-11107.5185185,19630.6666667,-53592.212963,27552.4046435,24967.7644836,-21766.558016,-372.851851852,5550.22222222,-104286.033644,17054.9332071,4498.42451124,21981.6058825,-2767.50805116,23544.661428,-58391.8449136,-43063.7968096,23654.456538,-28083.4506281,-15486.9690241,-11996.4507182,974.109120562,-15046.1500123,17984.8834844,-12872.1018358,58752.450269,-39715.0699847,90671.2992841,-35184.3221812,50231.8395887,-88434.7192202,28104.9898108,-24062.4824444,-40757.1876235,53757.0456416,-4430.6672304
145719.790123,23316.1450617,-8597.13580247,14314.4814815,-33465.9475309,15270.7422714,-28212.9046844,10816.912413,-13062.1049382,-26016.5617285,-106824.525243,14337.2419609,-36247.1796813,-21925.8412269,18997.7333727,-35423.3458494,-34978.1222804,4167.43647878,-11751.3419762,-17422.8632134,-28810.5730052,30330.7139963,-38101.8482915,4520.60462241,-3141.12670131,45504.4958041,28095.5864278,781.097253539,25393.3583479,16724.746906,31380.5625146,-12471.0869717,14139.032189,47893.3412754,105540.469869,-27311.7670146,-56923.216231
145719.790123,-20102.4938272,-11107.5185185,-7186.82407409,-28694.7777777,-11847.3329565,2167.3538145,-19862.4097469,18866.5092593,57489.7592592,-74327.8038002,-20575.2106448,-10161.5318513,-1870.44149729,5724.56941455,12322.3350457,-8487.28725216,33402.7500916,13505.0556791,30329.2434695,33721.1286532,15875.7204699,-74230.7475234,-15236.4097735,14608.1110006,42429.3774672,16898.0749131,80194.5393374,-61299.3872274,13628.5260247,-13239.1569064,-10007.7092981,-16058.2557345,-22470.0295494,-77738.1133727,-37321.5586949,4942.15600414
145719.790123,-3213.65123457,-8597.13580247,19630.6666667,40591.2191358,-8893.32523077,-17474.9314527,-17463.7988721,63484.3765432,-87378.0432099,-22001.4464408,-29982.4869444,-18440.9092073,-27715.2770464,47590.7069214,16422.6627176,6235.76097639,-3170.33591918,-18777.202835,45059.204815,-36616.2298414,40790.6361375,-103054.910122,-27941.6253163,8540.71136402,-22833.4328039,39666.169661,51615.1583767,2699.20760782,-30596.5404591,-50245.5711002,111339.487454,47422.1042809,-15669.9897477,35132.698267,40418.0978883,-45529.8153507
145719.790123,23316.1450617,-11107.5185185,14314.4814815,82286.9907407,14431.7189327,42109.9936033,6608.28746406,76173.6296296,128031.037037,25670.4626843,1662.85288886,-28966.417425,-113246.875246,-15123.3916759,-12261.5478933,1750.76711179,-47764.0255665,-7308.6859897,-11993.7027135,81194.5745219,14102.1837472,-121097.716678,-3772.13586862,87.2692136638,-80511.8555117,42803.429548,-29268.3107118,-29566.8605521,-13609.8485525,18566.1605082,-85845.6515511,-37981.7581053,22473.0511022,-41762.7260935,-59317.6743917,9203.87764457
145719.790123,-20102.4938272,-8597.13580247,-7186.82407409,-7125.27160494,12105.0045693,-16080.0157506,-21571.2110409,44245.0154321,-77676.4135802,46381.7074814,22060.4403758,-905.555264625,-65500.6854562,-16692.1000349,-8605.05710143,-18430.0219681,36220.5129769,31973.1941763,-25171.489277,4101.37758598,53162.648728,-126182.938439,539.104078698,19106.0936192,-61312.6029503,1702.92575994,-31581.4796431,77501.4970666,18514.1993666,1402.98551336,-3689.99062554,-23464.3923295,-20722.7607408,-37817.2615361,93713.1001794,-10033.8959865
145719.790123,-3213.65123457,-11107.5185185,19630.6666667,-53592.212963,-18659.0794127,-7492.83303091,39230.3568881,-372.851851852,5550.22222222,30441.26633,-2500.89166562,-43117.217257,57393.7854696,12853.3572304,15255.1998925,-41655.7858353,19708.8335836,-18411.0662669,54390.2842842,-55353.9734721,-4224.18118244,-117697.222608,-25127.6632896,-1578.99373149,29749.5485423,-31739.8307683,-15522.8234467,4472.86586699,1388.71609777,-7568.07181667,-21743.9520518,40373.1766936,44389.2646161,7712.32053947,-53940.2254146,6360.39077159
145719.790123,23316.1450617,-8597.13580247,14314.4814815,-33465.9475309,-29702.4612041,-13897.0889189,-17425.1998771,-13062.1049382,-26016.5617285,-14692.1511969,-31428.5402527,8153.89515328,85892.7536773,-61280.1976167,-10641.426431,-52443.5227287,-30441.9711805,2315.96613138,77016.2746786,67339.4077308,34911.5953683,-96664.0717531,-20524.9284767,11093.5743038,112523.369868,-15046.0247028,-44980.9371631,-91139.588284,-22251.1206379,30362.551749,88684.1383972,-84361.1471603,-55443.6396092,7255.25490485,31650.961866,32955.606698
145719.790123,-20102.4938272,-11107.5185185,-7186.82407409,-28694.7777777,-257.67161282,13912.6619361,41433.6207879,18866.5092593,57489.7592592,-67900.1174363,-16913.6751339,-45992.6148372,64990.975443,10696.8304397,-613.481808616,-40279.4045601,-17384.641788,-6291.04624451,-11886.4177444,-60762.7441772,-1813.80104129,-65620.3942815,3543.3258665,12363.1610075,107360.387429,9597.23862415,-23285.2107412,39959.9990658,1.26414559856,19419.4746162,-66377.7977975,3778.15804766,-4226.15367474,-11080.5633641,-39098.0001052,-2257.8055051
145719.790123,23316.1450617,39514.9012346,-33668.962963,-4951.57716045,34051.1271161,21590.7171752,-13384.2331802,2698.72839507,35129.3086419,-107732.583464,-5725.4717526,26586.9811422,29503.417282,-19701.3409151,-25699.3356262,-28278.9318513,-171.144813707,21569.1692576,-67249.5096306,-26045.0746635,-163.119409657,-39242.8254916,28317.6370263,-29536.7189421,147084.217239,10803.045735,-21621.6746383,3705.7705516,-8382.85408409,-6717.48779038,7807.37351601,112573.466422,-92539.3160415,-26533.6776935,89277.2400144,-73459.1958225
145719.790123,-20102.4938272,-19810.2469136,-45603.962963,30561.4691358,27752.6383527,-33716.6362552,11019.5812358,51248.6172839,-59929.617284,-118728.795262,48076.0650524,13518.9894689,30305.8901168,-10040.1024493,-7721.71359337,-937.792550565,-34666.0645847,-30704.5039759,-37459.189295,73520.2463417,-25723.5014911,-760.919887628,-51946.0611083,9584.66618116,35570.2570567,16379.9106156,40339.8965065,-21768.6555312,-20150.9842703,-18625.4904144,1982.99135357,60708.084845,6081.3253512,15663.2057601,-47935.0848999,-11701.8082247
145719.790123,-3213.65123457,39514.9012346,-18211.6666666,-307.003086421,-14304.9217807,6901.30937547,-2027.77648368,42288.9320987,3071.80864194,-97172.8707042,48351.2552522,14150.9673038,32376.8100981,16832.2354767,38564.51924,31784.365807,27686.4825354,2206.83684278,30327.0958906,-59077.3481428,65612.5115114,36052.7997819,7898.97411327,9229.39277157,-75251.7137039,15410.7505532,2337.24209413,85175.7751657,-28556.124061,32215.9107604,39398.727453,-21803.5967229,100689.748562,-45104.2792518,21073.590686,-54889.7815345
145719.790123,23316.1450617,-19810.2469136,-33668.962963,-43869.4660494,-38679.1384705,8738.56478165,27523.9347999,-15220.6419753,20761.8271605,-53151.0664581,-5354.70899936,26031.2291612,59670.1432818,-40362.7667118,-9535.41360708,53259.1361328,12427.3022402,21241.6634788,4073.95858042,-8699.12743519,-21241.7385526,66758.055612,67378.7096306,-29347.6819092,-113465.084365,23710.2598835,-35226.184357,-55982.1704949,-28028.0799872,50399.5881934,-37791.2881695,112715.299002,-107347.77457,45130.1020466,-45531.1866376,-26542.9805437
145719.790123,-20102.4938272,39514.9012346,-45603.962963,5258.58024687,-18364.8967201,7379.79956048,-1784.9861737,-63770.5308642,18244.9382716,-7261.67397844,-24281.7848434,3071.66252557,533.265677113,44624.3496272,-25167.319008,51683.6763829,-23754.2454655,-13597.1068434,-66727.9825335,5606.04326286,53407.809641,87651.3405885,-13123.4209524,30111.0988824,-82496.9218514,16465.8764049,20409.6578622,-31749.7166781,-49842.5705635,-19481.4355445,-20423.391604,-14741.6899786,16680.0198014,2647.68812917,9197.33610328,-15931.7039326
145719.790123,-3213.65123457,-19810.2469136,-18211.6666666,13307.9969136,8787.20356245,63.2714900953,14508.7193919,-54810.845679,-17278.265432,19023.1499898,22850.8749503,34341.2713561,-58925.3175339,-39949.8743834,-1408.02104574,25815.0161551,-7055.72527943,13018.7369022,-48944.4251342,-79375.6184407,27479.7102416,96212.6161911,-44645.0599216,-22407.9636769,-41816.1513839,-13300.5217523,35490.4781838,22719.9558385,-22824.7976726,-21983.0174176,7612.02906835,-16156.3344734,55962.4006645,8231.75196681,4642.05282777,-23669.5217759
145719.790123,23316.1450617,39514.9012346,-33668.962963,-4951.57716045,4628.01135436,-30329.2819569,-14139.7016197,2698.72839507,35129.3086419,13404.4441886,58146.951758,-1466.80335409,-35865.2549063,50837.6975062,38908.9648076,-14209.5088713,23365.6994224,-22838.9590696,24065.5914582,61930.2964787,10941.1861371,91409.2662311,46804.4209895,-1402.87240579,-36823.6873406,-19795.1169591,-30972.721248,-21955.8675071,1306.22987199,-52380.9451523,60414.0621342,27474.6952947,-45942.1844259,37802.3739189,28909.5604294,25186.1195025
