,lt_x,lt_y,rb_x,rb_y,target
0,19463701.0,20869765.6667,20263272.0,20246911.6667,0.111745482948
1,19430367.6667,20869765.6667,20229938.6667,20246911.6667,0.109737153991
2,19397034.3333,20869765.6667,20196605.3333,20246911.6667,0.108513267642
3,19503715.3,20857194.1333,20356591.0333,20192816.5333,0.10219126405
4,19315695.909,20662279.0339,20211277.091,20187731.6328,0.102042378206
5,19361171.2137,20609192.3956,20232468.453,20240818.2711,0.101859597006
6,19370381.9667,20923860.8,20223257.7,20259483.2,0.100913668153
7,19470381.9667,20857194.1333,20323257.7,20192816.5333,0.100729815607
8,19434290.1864,20926429.897,20226016.1469,20190247.4363,0.0999753652042
9,19400956.8531,20926429.897,20192682.8136,20190247.4363,0.0997224757338
10,19345548.6151,20646460.7872,20181424.3849,20203549.8795,0.0983396604089
11,19349029.2424,20662279.0339,20244610.4243,20187731.6328,0.0978007028178
12,19338079.653,20667070.3241,20188893.347,20116273.6759,0.0971654948483
13,19497034.3333,20869765.6667,20296605.3333,20246911.6667,0.0968203586619
14,19315695.909,20695612.3672,20211277.091,20221064.9661,0.0963619283462
15,19504746.3197,20833736.9907,20355560.0136,20282940.3426,0.0961337986607
16,19370381.9667,20890527.4667,20223257.7,20226149.8667,0.0956658021849
17,19403715.3,20890527.4667,20256591.0333,20226149.8667,0.0953359582417
18,19394504.547,20609192.3956,20265801.7863,20240818.2711,0.0952651610865
19,19342882.0835,20949435.5989,20184090.9165,20167241.7344,0.0952125889615
20,19430367.6667,20836432.3333,20229938.6667,20213578.3333,0.0949456173038
21,19504222.606,20922911.9826,20156083.7274,20060432.0174,0.0945550354306
22,19265602.3633,20635504.833,20261370.6367,20214505.8337,0.0940354996978
23,19459031.6227,20903424.1951,20201274.7106,20213253.1382,0.0937455596355
24,19371412.9864,20667070.3241,20222226.6803,20116273.6759,0.09370205201
25,19504746.3197,20800403.6574,20355560.0136,20249607.0093,0.0935948886046
26,19490353.3667,20782337.2,20236619.6333,20201006.8,0.0934465177868
27,19403715.3,20823860.8,20256591.0333,20159483.2,0.0933576529014
28,19497034.3333,20803099.0,20296605.3333,20180245.0,0.0932362062884
29,19371412.9864,20833736.9907,20222226.6803,20282940.3426,0.0931969887609
30,19437048.6333,20890527.4667,20289924.3667,20226149.8667,0.0929556707882
31,19438079.653,20833736.9907,20288893.347,20282940.3426,0.0926009105535
32,19483851.9459,21049864.4815,20176454.3874,20133479.5185,0.0925230839447
33,19382362.5757,20662279.0339,20277943.7576,20187731.6328,0.0914777589268
34,19377062.9333,20877955.9333,20283243.4,20172054.7333,0.0913025282512
35,19338079.653,20700403.6574,20188893.347,20149607.0093,0.0912547298694
36,19403715.3,20857194.1333,20256591.0333,20192816.5333,0.0909422504747
37,19394504.547,20642525.7289,20265801.7863,20274151.6044,0.0908601210729
38,19403715.3,20923860.8,20256591.0333,20259483.2,0.0907497623328
39,19430367.6667,20803099.0,20229938.6667,20180245.0,0.0906773242938
40,19319176.5363,20711430.6139,20274463.1304,20205246.7194,0.0906742972298
41,19378881.9484,20613127.4539,20214757.7182,20170216.5461,0.0906439388102
42,19503715.3,20823860.8,20356591.0333,20159483.2,0.0906096427789
43,19404746.3197,20833736.9907,20255560.0136,20282940.3426,0.0904442029112
44,19471412.9864,20833736.9907,20322226.6803,20282940.3426,0.0904148650833
45,19330053.4551,20622348.6143,20263586.2115,20227662.0524,0.0903528401852
46,19463701.0,20836432.3333,20263272.0,20213578.3333,0.0902819248955
47,19298935.6966,20802171.4997,20294703.9701,20381172.5003,0.090274575108
48,19315695.909,20628945.7006,20211277.091,20154398.2994,0.0902416869243
49,19371412.9864,20700403.6574,20222226.6803,20149607.0093,0.0901442016597
50,19296720.1218,20622348.6143,20230252.8782,20227662.0524,0.0900366327505
51,19404746.3197,20667070.3241,20255560.0136,20116273.6759,0.0900286283922
52,19504222.606,21022911.9826,20156083.7274,20160432.0174,0.0899179278134
53,19437048.6333,20857194.1333,20289924.3667,20192816.5333,0.0893208576513
54,19397034.3333,20836432.3333,20196605.3333,20213578.3333,0.0889117476033
55,19342882.0835,20982768.9322,20184090.9165,20200575.0678,0.0885833296824
56,19349029.2424,20628945.7006,20244610.4243,20154398.2994,0.0885403266192
57,19343729.6,20944622.6,20249910.0667,20238721.4,0.0885305954046
58,19399773.4428,20682043.7691,20193866.2238,20167966.8976,0.0881318423216
59,19367623.5198,20926429.897,20159349.4802,20190247.4363,0.0881264485689
60,19437048.6333,20823860.8,20289924.3667,20159483.2,0.0880926865234
61,19419176.5363,20678097.2806,20374463.1304,20171913.3861,0.0877804708515
62,19337048.6333,20923860.8,20189924.3667,20259483.2,0.087698387971
63,19345548.6151,20679794.1205,20181424.3849,20236883.2128,0.0876395916284
64,19442882.0835,20916102.2656,20284090.9165,20133908.4011,0.0875967105854
65,19350410.5667,20932051.0667,20309895.7667,20184626.2667,0.0872545365587
66,19415695.909,20662279.0339,20311277.091,20187731.6328,0.0872007211976
67,19342882.0835,20916102.2656,20184090.9165,20133908.4011,0.0871990961932
68,19363701.0,20869765.6667,20163272.0,20246911.6667,0.0871835969682
69,19400956.8531,20959763.2303,20192682.8136,20223580.7697,0.0871159751254
70,19296720.1218,20655681.9476,20230252.8782,20260995.3857,0.0868589120486
71,19427837.8804,20609192.3956,20299135.1196,20240818.2711,0.0866955160484
72,19343729.6,20911289.2667,20249910.0667,20205388.0667,0.0866868328991
73,19470381.9667,20790527.4667,20323257.7,20126149.8667,0.086405059659
74,19377062.9333,20911289.2667,20283243.4,20205388.0667,0.0863177943478
75,19285843.203,20711430.6139,20241129.797,20205246.7194,0.0862012431912
76,19400956.8531,20893096.5637,20192682.8136,20156914.103,0.0861796223514
77,19504222.606,20989578.6492,20156083.7274,20127098.6841,0.0860747970114
78,19314692.0734,20837123.4339,20278947.5932,20212887.2327,0.086062944358
79,19478568.9539,21017938.7806,20248404.0461,20165405.2194,0.0858971679332
80,19412215.2818,20613127.4539,20248091.0516,20170216.5461,0.0858701963681
81,19348025.4068,20837123.4339,20312280.9266,20212887.2327,0.0858601753194
82,19443052.5299,20818763.5457,20350587.1368,20231247.121,0.0856849860257
83,19478568.9539,20951272.114,20248404.0461,20098738.5527,0.0856786240446
84,19285843.203,20644763.9473,20241129.797,20138580.0527,0.0856711831282
85,19434290.1864,20959763.2303,20226016.1469,20223580.7697,0.0855175659858
86,19338079.653,20833736.9907,20188893.347,20282940.3426,0.0855044984368
87,19476385.8632,20818763.5457,20383920.4701,20231247.121,0.0854547566777
88,19492364.956,20903424.1951,20234608.044,20213253.1382,0.0852910037899
89,19430367.6667,20903099.0,20229938.6667,20280245.0,0.0852901785631
90,19285843.203,20678097.2806,20241129.797,20171913.3861,0.085274571072
91,19370381.9667,20857194.1333,20223257.7,20192816.5333,0.0852270317302
92,19399773.4428,20715377.1024,20193866.2238,20201300.2309,0.0851459616651
93,19366440.1095,20682043.7691,20160532.8905,20167966.8976,0.0850573715655
94,19470381.9667,20823860.8,20323257.7,20159483.2,0.0850019511139
95,19338079.653,20733736.9907,20188893.347,20182940.3426,0.0849599987852
96,19566440.1095,20682043.7691,20360532.8905,20167966.8976,0.0847618762205
97,19417185.2792,21049864.4815,20109787.7208,20133479.5185,0.0846770912396
98,19366440.1095,20715377.1024,20160532.8905,20201300.2309,0.0846269129571
99,19310396.2667,20944622.6,20216576.7333,20238721.4,0.084572406773
100,19538079.653,20800403.6574,20388893.347,20249607.0093,0.0844914347141
101,19476215.4168,20949435.5989,20317424.2498,20167241.7344,0.0844556616477
102,19478568.9539,20984605.4473,20248404.0461,20132071.886,0.0844110161074
103,19281358.7401,20837123.4339,20245614.2599,20212887.2327,0.0844093650265
104,19315695.909,20728945.7006,20211277.091,20254398.2994,0.0842915036439
105,19438079.653,20667070.3241,20288893.347,20116273.6759,0.084282283173
106,19496720.1218,20722348.6143,20430252.8782,20327662.0524,0.0842294061252
107,19463701.0,20803099.0,20263272.0,20180245.0,0.0841803658182
