,D,norm
0,1,4.07716796693e+12
1,3,65271896943.6
2,4,19182042388.3
3,9,2.05373262329e+11
4,12,2.26001818673e+11
5,27(Ⅰ),2.51425928761e+11
6,27(Ⅱ),99106856231.5
7,27(Ⅲ),1.17056412505e+11
8,36(Ⅰ),82462879657.5
9,36(Ⅱ),3.07125419914e+11
10,81(Ⅰ),2.29469232161e+11
11,81(Ⅱ),3.14293086642e+11
12,81(Ⅲ),2.01384375667e+11
13,81(Ⅳ),3.93272869507e+11
14,81(Ⅴ),4.80097270407e+11
15,81(Ⅵ),1.95785190409e+11
16,108(Ⅰ),2.15466526993e+11
17,108(Ⅱ),1.0932127753e+11
18,108(Ⅲ),1.27811256172e+11
19,108(Ⅳ),3.98756494473e+11
20,108(Ⅴ),2.55218130219e+11
21,108(Ⅵ),2.68576262546e+11
22,324(Ⅰ),7.80585775041e+11
23,324(Ⅱ),2.00200319393e+11
24,324(Ⅲ),3.05977148841e+11
25,324(Ⅳ),1.08248626515e+12
26,324(Ⅴ),3.13784590156e+11
27,324(Ⅵ),3.39011571604e+11
28,324(Ⅶ),2.55365447429e+11
29,324(Ⅷ),4.14514422239e+11
30,324(Ⅸ),3.59103900881e+11
31,324(Ⅹ),3.93552812311e+11
32,324(ⅩⅠ),3.72558939566e+11
33,324(ⅩⅡ),3.12109142131e+11
34,324(ⅩⅢ),3.19679382296e+11
35,324(ⅩⅣ),2.22026074006e+11
36,324(ⅩⅤ),2.51901778769e+11
