,naiseki
0,2038942.05556
1,-97095.9355378
2,59649.906175
3,86320.8333333
4,138451.166667
5,-188144.055556
6,-132766.879924
7,-32583.8610135
8,124.52936091
9,-103254.021541
10,23176.4461299
11,157433.604748
12,-158373.023521
13,-199918.303302
14,-309060.699856
15,-7485.16436395
16,257101.786468
17,295909.723839
18,-74342.7512714
19,73741.4915526
20,126443.339989
21,-99508.1257232
22,45315.5912393
23,-359130.164811
24,-4671.55854224
25,92280.0525894
26,-40093.5744346
27,39680.666586
28,35454.1402852
29,-152768.442188
30,121666.873004
31,134940.150731
32,-157855.7031
33,-51139.8266914
34,-128077.414357
35,-71075.8547344
36,-52069.5755996
37,-229372.873128
38,130451.065932
39,135319.475267
40,-59313.3738846
41,222495.318303
42,-197829.385493
43,-23169.587394
44,-36851.3020223
45,-283345.610534
46,-334204.120633
47,-232424.188893
48,211786.848396
49,163618.770473
50,33452.5147112
51,-28225.3342232
52,57127.3139869
53,58440.4706143
54,-69614.2840369
55,-23438.5454476
56,340958.391781
57,-265207.130708
58,105912.60816
59,318484.497706
60,9836.93214918
61,11128.0562944
62,-335389.252027
63,-150764.587418
64,-91209.4052453
65,-182505.516725
66,-66206.684805
67,-152784.254228
68,-15452.1355327
69,7012.41390197
70,241316.474476
71,-1714.80676626
72,-440097.864859
73,-103707.485535
74,137462.730497
75,104335.509531
76,117937.163304
77,-34291.5815425
78,-58442.1625743
79,36069.4748369
80,14807.0897599
81,75400.4135791
82,-220527.817764
83,-51736.3494127
84,198593.872483
85,151667.719415
86,-7924.73652878
87,141099.029431
88,92899.8088015
89,87204.8617847
90,-118610.149066
91,9221.6351155
92,-200715.548193
93,86464.7953885
94,-140937.268126
95,107373.816169
96,-7234.87225086
97,123254.054461
98,-32720.2993669
99,-6719.77571411
100,-160350.593437
101,-78679.9868598
102,-120637.826512
103,-35555.5276467
104,61329.3788404
105,276976.602144
106,-88279.354823
107,-155492.607592
108,-80277.1010368
109,-175196.870205
110,-204840.668455
111,271822.675568
112,117968.612667
113,90083.0450781
114,22802.1109488
115,298977.452786
116,28899.6269894
117,138594.750596
118,-186604.675346
119,957.111006359
120,15750.6223995
121,-169756.31793
122,-100684.081082
123,-181577.994756
124,-7174.62309854
125,-56233.1651849
126,-160881.724129
127,41337.9224695
128,-160604.280319
129,-204498.37736
130,3987.1633029
131,-34509.8027593
132,68764.1687089
133,-64589.5159471
134,42128.0251116
135,-212084.795342
136,-413749.967042
137,43902.3743083
138,45013.9055894
139,120375.467456
140,-4064.91475429
141,-375955.069684
142,84048.8231406
143,110869.466153
144,30567.1653812
145,48706.2895305
146,-90665.1793934
147,158297.765524
148,132475.726981
149,37070.3830461
150,297488.368153
151,-133523.427314
152,113923.974488
153,-200931.46768
154,-46585.578882
155,278269.76532
156,-8723.43511401
157,-175788.65054
158,184885.20371
159,-137245.235018
160,-161223.925781
161,-17019.9651816
162,-240797.959902
163,212309.708726
164,-432007.60619
165,237278.553656
166,505643.703615
167,413035.783241
168,122234.233829
169,44588.0064964
170,159070.160147
171,160859.172111
172,315016.101761
173,67999.7871858
174,-115041.962716
175,359281.116951
176,15397.6069234
177,302577.918908
178,34884.12768
179,120404.001544
180,124760.454484
181,-630426.169067
182,358817.790902
183,-136266.715729
184,164091.033614
185,476642.999138
186,-65196.4610503
187,453205.347841
188,5980.93850741
189,-60461.8944153
190,-83355.5414542
191,-282454.530478
192,-106411.683316
193,95087.845908
194,58190.2612253
195,-66946.8701983
196,137407.629862
197,128133.674359
198,51581.2093079
199,159119.80983
200,-64315.0193576
201,124552.645096
202,-59751.2727344
203,40467.8607967
204,41549.827124
205,107516.176046
206,41646.4580941
207,143051.984785
208,271695.432569
209,-234782.611834
210,-44713.2640344
211,167103.482541
212,-44010.671465
213,-36739.3679242
214,-6024.46160992
215,187437.083701
216,116814.233326
217,277331.58214
218,121154.048519
219,-21574.6107088
220,135991.741048
221,201464.780032
222,-4733.42614034
223,63257.127132
224,-42161.2051154
225,121078.920108
226,78601.6377079
227,115832.762957
228,-185930.287667
229,-102248.09018
230,76085.5244817
231,-180853.350169
232,-98711.2872624
233,56994.545796
234,222226.914427
235,58430.8474347
236,70664.5518247
237,129186.596961
238,299959.420796
239,-21212.6823935
240,199104.425083
241,228734.541326
242,-386783.626609
243,7221.12208781
244,-232397.020327
245,221191.937145
246,156036.177013
247,158280.637314
248,-365673.432751
249,141588.595522
250,44647.0378087
251,284160.400002
252,-24851.0114364
253,-48044.5501186
254,-67778.5393018
255,213293.119578
256,108930.604026
257,-71711.2559206
258,-270837.41672
259,-273617.68499
260,10036.9811649
261,15747.1894359
262,-225941.155716
263,-111336.678067
264,-78837.1218855
265,27854.3831619
266,-256251.333312
267,59071.0794825
268,50241.9526841
269,284317.771085
270,162447.29897
271,26592.0607654
272,-142182.220085
273,156811.535413
274,-38132.6880521
275,-133413.920036
276,-103.01680172
277,-250784.772557
278,-285848.036236
279,-152515.122085
280,307839.908989
281,-260292.368225
282,100115.384712
283,84887.4873177
284,168091.044721
285,24024.6402435
286,81013.986715
287,-52687.76968
288,-103107.566906
289,87466.523443
290,-222317.074798
291,-206604.428105
292,93517.6307143
293,-11065.5277632
294,-181907.702053
295,8078.34995023
296,-105374.860823
297,260909.868207
298,-40845.5467818
299,-23510.6955032
300,137171.979462
301,-77250.7121889
302,43682.2227635
303,-127190.821427
304,-107952.643307
305,-80236.9064534
306,174744.177212
307,-238026.325197
308,-178488.046803
309,24562.8831449
310,30705.2314484
311,-78235.2392886
312,-78017.2437758
313,-39121.6036915
314,182169.766142
315,-121955.419103
316,-79154.2121918
317,182936.53112
318,19507.0621432
319,-76013.4899439
320,-128743.692794
321,93386.5985566
322,158747.094539
323,149231.860232
