x,y,pop
0,0,0.0
1,0,0.0
2,0,0.0
3,0,484725.0
4,0,0.0
5,0,65624.0
6,0,135894.0
7,0,0.0
8,0,131190.0
9,0,123340.0
10,0,96773.0
11,0,312739.0
12,0,0.0
13,0,102976.0
14,0,346002.0
15,0,0.0
16,0,0.0
17,0,0.0
0,1,0.0
1,1,0.0
2,1,134607.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,180913.0
7,1,42014.0
8,1,0.0
9,1,131873.0
10,1,0.0
11,1,0.0
12,1,0.0
13,1,171978.0
14,1,0.0
15,1,0.0
16,1,229719.0
17,1,0.0
0,2,206116.0
1,2,135912.0
2,2,0.0
3,2,127716.0
4,2,0.0
5,2,0.0
6,2,0.0
7,2,0.0
8,2,116118.0
9,2,210278.0
10,2,1762384.0
11,2,134873.0
12,2,0.0
13,2,110296.0
14,2,107465.0
15,2,0.0
16,2,58553.0
17,2,130500.0
0,3,415639.0
1,3,0.0
2,3,186360.0
3,3,0.0
4,3,0.0
5,3,0.0
6,3,477690.0
7,3,0.0
8,3,0.0
9,3,523808.0
10,3,146279.0
11,3,170357.0
12,3,131839.0
13,3,0.0
14,3,0.0
15,3,215990.0
16,3,0.0
17,3,0.0
0,4,559209.0
1,4,190438.0
2,4,115147.0
3,4,0.0
4,4,496386.0
5,4,0.0
6,4,0.0
7,4,121828.0
8,4,93478.0
9,4,0.0
10,4,129294.0
11,4,121594.0
12,4,0.0
13,4,375175.0
14,4,0.0
15,4,0.0
16,4,0.0
17,4,292662.0
0,5,0.0
1,5,0.0
2,5,53342.0
3,5,152766.0
4,5,374279.0
5,5,1129220.0
6,5,250117.0
7,5,128894.0
8,5,0.0
9,5,0.0
10,5,0.0
11,5,224507.0
12,5,0.0
13,5,0.0
14,5,0.0
15,5,93450.0
16,5,0.0
17,5,0.0
0,6,0.0
1,6,130835.0
2,6,224687.0
3,6,0.0
4,6,313019.0
5,6,526377.0
6,6,414016.0
7,6,0.0
8,6,308205.0
9,6,130203.0
10,6,0.0
11,6,127189.0
12,6,0.0
13,6,116495.0
14,6,0.0
15,6,46027.0
16,6,213666.0
17,6,76265.0
0,7,0.0
1,7,0.0
2,7,68299.0
3,7,731366.0
4,7,0.0
5,7,0.0
6,7,449091.0
7,7,188974.0
8,7,0.0
9,7,0.0
10,7,0.0
11,7,92518.0
12,7,0.0
13,7,0.0
14,7,329497.0
15,7,0.0
16,7,0.0
17,7,0.0
0,8,310564.0
1,8,136456.0
2,8,109735.0
3,8,223295.0
4,8,49855.0
5,8,0.0
6,8,0.0
7,8,108816.0
8,8,0.0
9,8,0.0
10,8,219429.0
11,8,0.0
12,8,163831.0
13,8,128975.0
14,8,0.0
15,8,143614.0
16,8,125844.0
17,8,0.0
0,9,88259.0
1,9,70883.0
2,9,201670.0
3,9,0.0
4,9,792981.0
5,9,689444.0
6,9,0.0
7,9,141651.0
8,9,0.0
9,9,0.0
10,9,0.0
11,9,0.0
12,9,736438.0
13,9,165918.0
14,9,103045.0
15,9,41535.0
16,9,0.0
17,9,0.0
0,10,0.0
1,10,80591.0
2,10,0.0
3,10,74962.0
4,10,81010.0
5,10,263822.0
6,10,0.0
7,10,224023.0
8,10,130299.0
9,10,0.0
10,10,88492.0
11,10,97808.0
12,10,239253.0
13,10,113900.0
14,10,0.0
15,10,0.0
16,10,137001.0
17,10,0.0
0,11,108472.0
1,11,0.0
2,11,0.0
3,11,0.0
4,11,281942.0
5,11,204514.0
6,11,412672.0
7,11,287966.0
8,11,0.0
9,11,0.0
10,11,283472.0
11,11,0.0
12,11,0.0
13,11,216647.0
14,11,0.0
15,11,0.0
16,11,0.0
17,11,73250.0
0,12,96408.0
1,12,110981.0
2,12,0.0
3,12,101945.0
4,12,0.0
5,12,482107.0
6,12,229976.0
7,12,462657.0
8,12,240943.0
9,12,125915.0
10,12,0.0
11,12,165357.0
12,12,84152.0
13,12,0.0
14,12,0.0
15,12,248757.0
16,12,0.0
17,12,73403.0
0,13,0.0
1,13,60775.0
2,13,62041.0
3,13,0.0
4,13,0.0
5,13,303604.0
6,13,0.0
7,13,948422.0
8,13,0.0
9,13,407619.0
10,13,0.0
11,13,102901.0
12,13,0.0
13,13,0.0
14,13,194317.0
15,13,67998.0
16,13,0.0
17,13,0.0
0,14,0.0
1,14,0.0
2,14,0.0
3,14,337084.0
4,14,290751.0
5,14,0.0
6,14,170385.0
7,14,0.0
8,14,297369.0
9,14,0.0
10,14,0.0
11,14,0.0
12,14,79676.0
13,14,0.0
14,14,64673.0
15,14,56809.0
16,14,0.0
17,14,96608.0
0,15,280203.0
1,15,0.0
2,15,0.0
3,15,0.0
4,15,0.0
5,15,0.0
6,15,199131.0
7,15,251440.0
8,15,259834.0
9,15,0.0
10,15,105763.0
11,15,217326.0
12,15,0.0
13,15,0.0
14,15,36208.0
15,15,0.0
16,15,109646.0
17,15,82887.0
0,16,0.0
1,16,547661.0
2,16,259073.0
3,16,188158.0
4,16,313958.0
5,16,758334.0
6,16,0.0
7,16,0.0
8,16,0.0
9,16,241598.0
10,16,0.0
11,16,0.0
12,16,0.0
13,16,0.0
14,16,125056.0
15,16,108899.0
16,16,0.0
17,16,0.0
0,17,0.0
1,17,0.0
2,17,0.0
3,17,459448.0
4,17,1046680.0
5,17,0.0
6,17,270618.0
7,17,275909.0
8,17,0.0
9,17,0.0
10,17,0.0
11,17,0.0
12,17,119394.0
13,17,0.0
14,17,167719.0
15,17,135381.0
16,17,206219.0
17,17,145118.0
