,name,pop,lat,lon
0,Haguenau,130835,48.8172236,7.7885978
1,Molsheim,99024,48.5436171,7.4930563
2,Saverne,93471,48.7420277,7.3625104
3,Sélestat-Erstein,153829,48.304258,7.48658002901
4,Strasbourg-Campagne,284815,48.6032392,7.7569783
5,Strasbourg-Ville,274394,48.585401,7.7335399
6,Wissembourg,68299,49.0383877,7.9490308
7,Boulay-Moselle,79847,49.1842243,6.4935123
8,Château-Salins,29818,48.8230783,6.5113122
9,Forbach,167518,49.1861533,6.8957413
10,Metz-Campagne,222352,49.2554222,6.1409355
11,Metz-Ville,119551,49.1095423,6.17680428343
12,Sarrebourg,64374,48.7356751,7.0533301
13,Sarreguemines,100236,49.1094836,7.0708865
14,Thionville-Est,140845,49.3591614,6.1529769
15,Thionville-Ouest,121927,49.2997572,6.152212
