,naiseki
0,2137482.38889
1,268857.515273
2,-260777.508955
3,-845.722222217
4,43843.9444444
5,-17072.8333333
6,-9472.79527787
7,168442.836397
8,102080.016969
9,125763.675574
10,12214.7589568
11,253708.009392
12,-264412.563479
13,-127644.339366
14,459688.036413
15,-58989.2243581
16,-18559.8638066
17,282518.091249
18,-182341.445303
19,616772.609074
20,-330506.660506
21,22669.1176729
22,108370.453095
23,158227.012557
24,-3610.50791965
25,-356199.62244
26,240963.139758
27,216311.149891
28,197949.313125
29,-141322.284349
30,-250987.947351
31,152317.640845
32,-85211.4384097
33,108929.083078
34,-111766.288593
35,-31892.9403396
36,103764.54174
37,-306079.93721
38,-30221.7045442
39,174090.611289
40,108187.455373
41,-252186.195847
42,-98369.3562833
43,10746.523874
44,-157997.1177
45,2040.83320369
46,61970.1704801
47,-322157.36726
48,-198221.908324
49,-7902.18999291
50,-183802.233289
51,125177.97536
52,-327189.503512
53,97700.5520048
54,-365119.8183
55,1060.63890483
56,-44508.681394
57,5342.89818042
58,-199759.177627
59,103872.550773
60,198219.288921
61,118163.153954
62,-57165.5418353
63,227194.258947
64,91922.3587497
65,323209.808897
66,64841.0970745
67,134878.666236
68,196213.103512
69,115473.899596
70,-39701.8359748
71,-224145.921669
72,-205084.484846
73,-61461.8811486
74,-78769.3707961
75,-104819.003099
76,-176737.007307
77,-126686.645923
78,-71536.9219348
79,63917.0527062
80,-293710.392333
81,215.370939461
82,220027.598906
83,-165025.579733
84,-159462.217719
85,151448.623753
86,-109051.148982
87,512416.063623
88,176460.444192
89,324627.898247
90,-403729.779877
91,-285653.841652
92,62937.5175369
93,-31645.5244771
94,-166907.540384
95,-97443.4635753
96,51259.4309394
97,-284233.200727
98,114881.136186
99,97423.2752512
100,10619.7263229
101,163792.909844
102,196860.769664
103,179729.068521
104,9219.34712951
105,-55676.1996324
106,183119.589578
107,-120603.950352
108,93480.7814537
109,-40243.6861504
110,-208618.81295
111,147106.470052
112,461493.032304
113,-45366.4070772
114,146175.704668
115,-366540.874658
116,-141055.898735
117,-288356.530043
118,-23747.8660322
119,-192259.350514
120,170033.876128
121,-56642.6606831
122,-235277.13388
123,69593.8198585
124,-176595.664886
125,375225.389072
126,-79639.9863345
127,248783.053239
128,85570.1105397
129,-300488.015464
130,109296.893485
131,-480823.943851
132,-94668.6912084
133,-280077.507837
134,132309.130453
135,-104294.022871
136,-69651.8237279
137,78993.7012832
138,167703.926825
139,-55885.451425
140,139953.359516
141,12459.821355
142,-69943.7092914
143,-170763.469066
144,203885.579043
145,197127.712602
146,120787.551845
147,22361.3078318
148,-296875.73887
149,123998.638094
150,-145692.984941
151,315663.343365
152,75782.1991501
153,-10405.1422951
154,-22616.3002443
155,-88292.7734461
156,176158.423878
157,-39064.9526343
158,-282303.145659
159,24473.6166867
160,-201371.654889
161,64956.8701831
162,-313379.781508
163,721066.370118
164,-4983.01606318
165,-149327.049308
166,-63763.7179312
167,189195.356594
168,169084.532069
169,-57281.6865088
170,-333270.797074
171,144389.069519
172,302841.702831
173,293453.073821
174,101316.238618
175,-92710.3621033
176,-98302.9534123
177,103899.647307
178,134980.205986
179,-146574.319041
180,42643.8382952
181,150087.288663
182,-360254.680013
183,391941.088582
184,-173128.94051
185,129372.789759
186,-222148.282843
187,-588727.619163
188,381918.046667
189,-449435.584715
190,-482251.272002
191,82955.7509973
192,-61176.6000878
193,-64758.2293108
194,47630.7958945
195,167989.207917
196,-106668.890883
197,-204627.613134
198,-41581.9783235
199,-34187.5519949
200,209706.690839
201,38877.316551
202,232308.249963
203,42333.7178324
204,-93859.5882405
205,48963.855976
206,86508.5358336
207,-92764.805951
208,-330193.450127
209,134520.097721
210,32535.5918814
211,40371.6728498
212,-284717.79517
213,78723.0163108
214,-216717.923786
215,19805.9569005
216,-234212.364144
217,-198139.299304
218,89695.6399123
219,-8867.06344063
220,3394.29737435
221,274651.481124
222,-13439.9311796
223,195205.602126
224,197995.412739
225,67527.2794631
226,-8674.16732363
227,-132094.081305
228,221793.466471
229,-322600.180142
230,-120970.740189
231,-135735.743348
232,227466.20022
233,-36028.7219333
234,2654.39308766
235,304002.069657
236,195100.530878
237,-45995.3484213
238,-16799.9751135
239,6522.0089419
240,337310.92117
241,-50556.1318919
242,-54279.5216014
243,-24426.3349417
244,-24751.7271189
245,294710.421258
246,206471.21369
247,32055.3125712
248,-34692.6629414
249,419584.954437
250,191837.774851
