,D,norm
0,1,4.56883096281e+12
1,3,1.40289272695e+11
2,4,2214488348.55
3,9,1.19216509308e+11
4,12,3.81160840937e+11
5,27(Ⅰ),5.60185338121e+11
6,27(Ⅱ),2.90900873703e+11
7,27(Ⅲ),1.18831010713e+11
8,36(Ⅰ),2.10975303325e+11
9,36(Ⅱ),3.47790468636e+11
10,81(Ⅰ),1.86016411801e+11
11,81(Ⅱ),2.21052848529e+11
12,81(Ⅲ),1.26048055934e+11
13,81(Ⅳ),2.81428669974e+11
14,81(Ⅴ),7.46260598929e+11
15,81(Ⅵ),2.55365540769e+11
16,108(Ⅰ),2.9055426318e+11
17,108(Ⅱ),2.96293423418e+11
18,108(Ⅲ),2.64298660991e+11
19,108(Ⅳ),5.35868204253e+11
20,108(Ⅴ),2.84071457343e+11
21,108(Ⅵ),2.92649934946e+11
22,324(Ⅰ),6.80327690358e+11
23,324(Ⅱ),3.41616201682e+11
24,324(Ⅲ),79022485819.4
25,324(Ⅳ),1.33770864561e+12
26,324(Ⅴ),1.95821441919e+11
27,324(Ⅵ),2.91728396e+11
28,324(Ⅶ),2.77255566702e+11
29,324(Ⅷ),3.72289140196e+11
30,324(Ⅸ),4.82995103385e+11
31,324(Ⅹ),2.00977856517e+11
32,324(ⅩⅠ),1.57117468617e+11
33,324(ⅩⅡ),7.70024035269e+11
34,324(ⅩⅢ),6.21422640916e+11
35,324(ⅩⅣ),4.25916963663e+11
36,324(ⅩⅤ),4.20465732356e+11
