,name,pop,lat,lon
0,"Bezirk Aarau, Aargau",70594,47.3880882,8.0678391554
1,"Bezirk Baden, Aargau",131565,47.45924115,8.3077569421
2,"Bezirk Bremgarten, Aargau",69329,47.3492537,8.3150465551
3,"Bezirk Brugg, Aargau",46672,47.48771115,8.1589312191
4,"Bezirk Kulm, Aargau",37887,47.28028695,8.1473296145
5,"Bezirk Laufenburg, Aargau",29282,47.51210225,8.0311862584
6,"Bezirk Lenzburg, Aargau",53169,47.3576674,8.1825563501
7,"Bezirk Muri, Aargau",32339,47.24199895,8.360492829
8,"Bezirk Rheinfelden, Aargau",43805,47.5351021,7.7887942769
9,"Bezirk Zofingen, Aargau",64710,47.2912077,7.9579406645
10,"Bezirk Zurzach, Aargau",32114,47.5637534,8.3009890625
11,Bezirk Hinterland,23577,47.1381964,7.9633186
12,Bezirk Mittelland,16195,47.5776619,9.3180596
13,Bezirk Vorderland,13245,47.4327128,9.5063006
14,"Bezirk Arlesheim, Basel-Landschaft",148996,47.5041641,7.5901352111
15,"Bezirk Laufen, Basel-Landschaft",18901,47.425029,7.5110146173
16,"Bezirk Liestal, Basel-Landschaft",57229,47.47621105,7.7410142677
17,"Bezirk Sissach, Basel-Landschaft",33688,47.4545839,7.8689214811
18,"Bezirk Waldenburg, Basel-Landschaft",15590,47.39163955,7.7379653089
19,Basel-Stadt,184950,47.5579097,7.5927728
20,"Bezirk Oberklettgau, Schaffhausen",4045,47.6989763,8.5266798275
21,Reiat,7946,47.6991569,8.6449727
22,"Bezirk Schaffhausen, Schaffhausen",51457,47.6989763,8.5266798275
23,"Schleitheim, Schaffhausen",2947,47.7488818,8.4845902
24,"Stein, Schaffhausen",5222,47.6597323,8.8596823
25,"Unterklettgau, Schaffhausen",4739,47.68411735,8.4430274738
26,"Bezirk Bucheggberg, Solothurn",7543,47.1392592,7.4721702367
27,"Bezirk Dorneck, Solothurn",19517,47.4761883,7.4873668797
28,"Bezirk Gäu, Solothurn",18135,47.298329,7.7684956805
29,"Bezirk Gösgen, Solothurn",23155,47.40744065,7.9703660685
30,"Bezirk Lebern, Solothurn",43228,47.21796905,7.428940401
31,"Bezirk Olten, Solothurn",51240,47.32972365,7.8566308323
32,"Bezirk Solothurn, Solothurn",16066,47.207927,7.5297544592
33,"Bezirk Thal, Solothurn",14216,47.3074873,7.6364917671
34,"Bezirk Thierstein, Solothurn",13947,47.3830734,7.5355734251
35,"Bezirk Wasseramt, Solothurn",48237,47.1886542,7.5936991305
36,"Wahlkreis Rheintal, St. Gallen",67509,47.37796495,9.5869503563
37,"Wahlkreis Rorschach, St. Gallen",41047,47.4735417,9.4945446185
38,"Wahlkreis Sarganserland, St. Gallen",37775,47.01370285,9.3757272809
39,"Wahlkreis See-Gaster, St. Gallen",62499,47.22219535,8.9570080891
40,"Wahlkreis St. Gallen, St. Gallen",117823,47.46359015,9.3233306952
41,"Wahlkreis Toggenburg, St. Gallen",45056,47.2944731,9.1234431632
42,"Wahlkreis Werdenberg, St. Gallen",35644,47.17369445,9.4094113842
43,"Wahlkreis Wil, St. Gallen",71554,47.43278365,9.140025015
44,"Bezirk Arbon, Thurgau",51893,47.53809555,9.3276448579
45,"Bezirk Frauenfeld, Thurgau",61778,47.6014273,8.9092208504
46,"Bezirk Kreuzlingen, Thurgau",42559,47.62267555,9.1611520426
47,"Bezirk Münchwilen, Thurgau",42024,47.4580936,8.9626864491
48,"Bezirk Weinfelden, Thurgau",50190,47.549771,9.1262722702
49,Appenzell Innerrhoden,15688,47.3007262,9.3991527
50,"Bezirk Affoltern, Zürich",48096,47.28158555,8.4523351822
51,"Bezirk Andelfingen, Zürich",29511,47.6107375,8.6715582601
52,"Bezirk Bülach, Zürich",131879,47.51895135,8.5573315418
53,"Bezirk Dielsdorf, Zürich",80090,47.49540475,8.4383953278
54,"Bezirk Dietikon, Zürich",80547,47.3809244,8.4257971567
55,"Bezirk Hinwil, Zürich",87822,47.30950625,8.854078663
56,"Bezirk Horgen, Zürich",115301,47.2503042,8.6067529133
57,"Bezirk Meilen, Zürich",97034,47.28302055,8.6385487194
58,"Bezirk Pfäffikon, Zürich",55768,47.4029782,8.7957294613
59,"Bezirk Uster, Zürich",120607,47.35293385,8.6901668553
60,"Bezirk Winterthur, Zürich",153556,47.49723355,8.7757845368
61,"Bezirk Zürich, Zürich",372857,47.3774435,8.5285090616
