1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
55230.0092593,21865.3611111,57149.9537037,141380.546296,157055.898148,-90256.840407,-134602.7695,6383.69324029,249920.62037,191301.277778,93482.7962135,-36614.2505216,120320.769123,-129828.843864,31555.1096225,-78915.5805737,-154033.232708,55839.0048994,-128821.818488,-230640.560919,-20096.7548655,-177674.387919,-36260.7949842,161035.646319,52414.4634805,-20784.3434939,-147712.031982,177995.075756,-51011.6767238,-53897.4414278,203146.668366,-83249.2167747,-153010.549525,29718.6761379,-68518.8740763,101067.604374,-110933.205445
55230.0092593,-43770.3425927,-55230.0092593,-11459.6666665,43770.3425927,-87699.0277806,30492.3942835,57206.6334972,209460.37037,-198000.703704,6771.51519523,-50786.1817689,-97405.500093,71888.4712197,37208.8542955,32322.8411514,-143640.692651,58471.602124,62249.7571937,-88963.9964075,25449.2705869,86434.0591539,-11232.6966225,-40840.6623644,-89346.8076797,32846.5643483,-16205.4563248,7218.49907306,-72782.4389753,85366.9072131,-101484.29204,91626.8441333,62377.7907711,-6324.53131748,82575.2924845,-132433.209415,108638.196716
55230.0092593,21904.9814816,57149.9537037,-77134.9907409,-134284.944444,71138.8473795,-10873.7686989,-60265.0786807,31405.0833332,45729.9074072,-87318.8713388,-103233.803793,101997.638095,161146.387166,-68521.2605669,-4070.08956214,-113665.709771,-71019.9209878,30415.6492771,18975.6607046,195678.325849,-60384.0050725,6342.0479216,-81013.2571267,-13883.8278319,140768.299899,37138.6923582,-91553.3683561,-101264.845449,158850.191039,40511.4529575,14734.8431094,-37164.4049273,-33130.7490744,-131227.547622,134429.583405,-43537.1103026
55230.0092593,21865.3611111,-55230.0092593,141380.546296,-21865.3611111,228839.510374,106681.947853,101430.375107,-106189.953704,-35190.5925926,-144762.425831,-107276.74052,-55031.4077225,-148877.293304,-120707.250887,-78772.6317345,-92116.1010871,-8927.20182462,-53147.437829,-97754.7460284,-175692.072545,-9314.27401961,14343.6650805,134814.847301,12261.4505811,222182.776405,-313.918161617,-86875.5780236,178754.2088,68588.951768,10497.5981282,-27538.106781,-68531.6605921,56998.6625279,132500.97525,-32943.8649259,40687.742642
55230.0092593,-43770.3425927,57149.9537037,-11459.6666665,-22770.9537041,175384.295551,-60910.3266277,-114473.968923,-65729.7037036,31350.703704,-138680.670721,-56233.2156867,40683.5252967,-54260.85277,95327.5720333,113163.641848,-95626.1828566,22236.1939725,73389.9888842,-76369.7047887,82481.2432351,-6111.53844613,11807.0417336,100031.128017,-103258.419751,213896.343604,4623.56777355,-162800.926844,120851.277001,77741.3908775,-17707.1483824,-122495.12887,-60936.7716706,-25384.369207,-37950.477138,-13212.5020406,14794.9948967
55230.0092593,21904.9814816,-55230.0092593,-77134.9907409,-21904.9814816,-28430.9966389,-64244.9791474,92675.9757862,112325.583333,-35190.5925926,-71919.3268155,-34463.0488211,17827.3385996,245316.686661,-137292.015539,-19469.6340855,-120883.240052,73835.4458663,-107222.187296,-9590.46671895,135653.183935,28207.2642658,-961.867906965,-103716.717479,47583.0113114,130559.22749,28457.2542533,-169665.486877,-49824.3665383,97383.3518955,-106370.972063,138179.7663,-14460.9445755,-25826.833246,24336.3155041,21193.7326238,-16865.4706926
55230.0092593,21865.3611111,57149.9537037,141380.546296,157055.898148,-138582.669967,27920.8216469,-107814.068347,249920.62037,191301.277778,24283.2311023,-77945.8740473,-34932.0144624,49499.2301022,68437.7993066,-29342.3720014,-146379.046427,-132496.104302,51859.1044327,-134600.131105,-238600.361853,-55211.2107455,-22422.9448895,1827.88595341,-67999.5984714,46562.3872709,-60522.4564254,62788.1213203,-112641.228854,76024.6952649,403.517508604,37428.7952851,-8370.0047997,20939.9669422,57152.9830223,-67940.9889689,36768.8698407
55230.0092593,-43770.3425927,-55230.0092593,-11459.6666665,43770.3425927,-87685.2677704,30417.9323442,57267.3354263,209460.37037,-198000.703704,104912.75701,-114817.467634,87079.3217343,-112596.350608,101240.14016,-65818.4006638,-143642.579947,58577.3586758,62145.887938,-88995.2910201,25539.3798324,86375.2445209,-49987.666598,168920.475352,-41758.1976431,19367.9102621,-191856.638091,242255.952679,-162090.040729,37778.2971764,219896.741578,-54103.0077185,-147383.346945,32430.438658,-63154.5593674,26775.2965231,-37091.6551363
55230.0092593,21904.9814816,57149.9537037,-77134.9907409,-134284.944444,-42707.8507408,75118.7478462,-32410.8971056,31405.0833332,45729.9074072,132241.799639,-84140.0124753,-89467.6297562,-82287.4346037,-7248.94842561,130902.225622,-92557.0493945,34395.5497437,-96108.4818308,203638.126782,-25269.5491926,-24098.5961087,-80331.3207826,5345.22461872,33620.2535714,32788.4860311,-126341.637963,145253.732585,132576.299598,-60408.9547243,-106918.683777,-125899.895567,139621.138588,-37846.3412713,-3095.00236777,39534.0072298,12102.6942309
55230.0092593,21865.3611111,-55230.0092593,141380.546296,-21865.3611111,-90256.840407,-134602.7695,6383.69324028,-106189.953704,-35190.5925926,93482.7962135,-36614.2505216,120320.769123,-129828.843864,31555.1096225,-78915.5805737,6646.41561099,-10785.1192404,68423.8795554,145387.88874,21832.9608516,-13030.1088513,-109794.014924,-104938.276377,-108107.634624,17997.5990102,138179.7663,24336.3155041,147891.243393,-39025.954434,-20238.231292,141552.526899,-32687.2379401,-42398.7150333,14624.8384109,-16865.4706926,-10526.7541988
55230.0092593,-43770.3425927,57149.9537037,-11459.6666665,-22770.9537041,-87699.0277806,30492.3942835,57206.6334972,-65729.7037036,31350.703704,6771.51519523,-50786.1817689,-97405.500093,71888.4712197,37208.8542955,32322.8411514,130641.677004,-65163.1958896,-65478.4811145,-181540.88862,38133.6714512,143407.217169,-134822.113286,96938.0323054,33653.6365359,-69129.8066427,268360.944856,15027.8926161,-18399.9961317,5440.71981069,-71049.8638924,21133.7113905,-110515.359779,109305.084412,-119122.36827,20841.4403055,-47661.9542312
55230.0092593,21904.9814816,-55230.0092593,-77134.9907409,-21904.9814816,71138.8473795,-10873.7686989,-60265.0786807,112325.583333,-35190.5925926,-87318.8713388,-103233.803793,101997.638095,161146.387166,-68521.2605669,-4070.08956214,241136.879463,38542.1178947,28860.965605,-27668.3491958,-99999.8129845,-180871.800783,-152396.85783,137110.627068,-41809.343312,-193570.707692,59966.2554687,-76694.5734381,-27282.048603,-156734.422201,100838.256294,-33876.8232749,270999.7614,-57169.7651251,129128.214651,-8907.79314157,50399.2197352
55230.0092593,21865.3611111,57149.9537037,141380.546296,157055.898148,228839.510374,106681.947853,101430.375107,249920.62037,191301.277778,-144762.425831,-107276.74052,-55031.4077225,-148877.293304,-120707.250887,-78772.6317345,300412.279136,76657.0994021,76962.7140548,365240.692025,258697.116718,232885.598664,-160398.474989,-78717.4773604,-67954.6217249,-266797.516256,-218117.375905,-193141.615421,-132215.641487,-161512.34763,-103613.999665,-91870.3886882,-117166.126873,-69678.7014233,-99170.2641772,-91368.166082,-114560.53232
