,naiseki
0,994140.166667
1,278300.612066
2,-482613.098022
3,942899.388889
4,17279.5
5,68520.2777778
6,1351577.45444
7,31378.4398947
8,223951.559906
9,513991.537917
10,223951.559906
11,-451234.658127
12,932812.7123
13,-651035.113753
14,205835.209186
15,482613.098022
16,860347.30942
17,-651035.113753
18,-138944.112044
19,1273605.24806
20,-925242.858277
21,184158.529823
22,-84595.059884
23,1242226.80816
24,-925242.858277
25,-246915.409613
26,82923.104955
27,-116321.332985
28,-870893.806117
29,-215536.969718
30,82923.104955
31,179078.212775
32,-138944.112044
33,1210848.36827
34,137272.157115
35,147699.77288
36,1387810.15588
37,31378.4398947
38,914696.36158
39,682413.553647
40,878463.66014
41,-682413.553647
42,914696.36158
43,-619656.673858
44,42553.253971
45,-31378.4398947
46,260184.261346
47,-451234.658127
48,78785.9554109
49,-31378.4398947
50,260184.261346
51,-513991.537917
52,878463.66014
53,-619656.673858
54,1397449.66476
55,23289.9315511
56,-114536.018747
57,-1277909.05345
58,-93071.9017267
59,1265516.73971
60,1375985.54774
61,35682.2452906
62,-941174.109731
63,203144.655978
64,-900834.76498
65,-179854.724427
66,1335646.20299
67,12392.3137395
68,128795.315272
69,-124409.841329
70,66991.8535007
71,160092.08662
72,-154875.363498
73,1254619.1219
74,208020.308451
75,495005.41176
76,-879370.647959
77,-192247.038167
78,208020.308451
79,470220.784281
80,-941174.109731
81,-227929.283458
82,-93071.9017267
83,1218936.87661
84,-154875.363498
85,1229834.49442
86,107331.198252
87,-112017.527589
88,248359.653203
89,-446930.85273
90,66991.8535007
91,-135307.459141
92,248359.653203
93,-518295.343311
94,-114536.018747
95,1206544.56287
96,-900834.76498
97,-251219.215009
98,128795.315272
99,170989.704431
100,269823.770223
101,-459323.166469
102,107331.198252
103,183382.018171
104,269823.770223
105,-505903.029571
106,-879370.647959
107,-238826.901269
108,-919847.609722
109,-1020502.74962
110,-102711.410604
111,-1273605.24806
112,-937963.960442
113,-989124.309721
114,304837.523334
115,694628.054274
116,119155.806395
117,179078.212775
118,286721.172614
119,663249.614379
120,-366253.778977
121,15531.9334444
122,-889010.156837
123,-246915.409613
124,-384370.129697
125,46910.3733391
126,-883614.908282
127,-1020502.74962
128,359186.575494
129,-663249.614379
130,-889010.156837
131,-184158.529823
132,341070.224774
133,-631871.174484
134,-943359.208997
135,-215536.969718
136,-919847.609722
137,-957745.869827
138,-157060.462764
139,1242226.80816
140,-330021.077537
141,-78288.8132339
142,304837.523334
143,631871.174484
144,-311904.726817
145,-46910.3733391
146,341070.224774
147,694628.054274
148,-102711.410604
149,1210848.36827
150,-865498.557563
151,-989124.309721
152,119155.806395
153,-116321.332985
154,-330021.077537
155,15531.9334444
156,64806.754235
157,-147699.77288
158,-366253.778977
159,78288.8132339
160,-883614.908282
161,-957745.869826
162,1403741.40733
163,12392.3137396
164,-929487.1186
165,1012414.24127
166,-935778.861177
167,-1001516.62346
168,1363402.06258
169,35682.2452906
170,357001.476228
171,-675641.928119
172,329245.616631
173,627567.369088
174,1341937.94556
175,23289.9315511
176,-354429.170834
177,-82592.6186298
178,-320381.56866
179,23620.4417881
180,-908023.001579
181,-1024806.55501
182,902871.753437
183,686717.359045
184,-86780.1591497
185,1254619.1219
186,890288.268283
187,686717.359045
188,-127119.503901
189,1277909.05345
190,-935778.861177
191,-976731.995982
192,-895439.516425
193,-1024806.55501
194,-934882.367154
195,192247.038167
196,868824.151263
197,-674325.045306
198,-913418.250134
199,179854.724427
200,924335.870457
201,-674325.045306
202,-929487.1186
203,-965834.37817
204,-148583.620921
205,1265516.73971
206,357001.476228
207,-650857.300639
208,862532.408686
209,-663427.427494
210,350709.733651
211,-639959.682828
212,930627.613034
213,-663427.427494
214,-86780.1591497
215,1229834.49442
216,930627.613034
217,-638642.800015
218,-320381.56866
219,-70200.3048902
220,-873078.905382
221,-203144.655978
222,-314089.826083
223,-59302.6870787
224,-934882.367154
225,-238826.901269
226,862532.408686
227,-638642.800015
228,-873975.399405
229,-1012414.24127
230,214312.051028
231,505903.029571
232,316662.131477
233,627567.369088
234,214312.051028
235,459323.166469
236,350709.733651
237,686539.54593
238,-908023.001579
239,-953442.064431
240,924335.870457
241,-627745.182204
242,94747.713098
243,-112017.527589
244,295198.014457
245,639959.682828
246,73283.5960777
247,-124409.841329
248,329245.616631
249,698931.85967
250,868824.151263
251,-627745.182204
252,-913418.250134
253,-251219.215009
254,54377.862114
255,-35682.2452906
256,288906.27188
257,650857.300639
258,66961.347268
259,-35682.2452906
260,316662.131477
261,698931.85967
262,-873078.905382
263,-227929.283458
264,-867683.656828
265,-1001516.62346
266,-341845.68568
267,-82592.6186298
268,235776.168049
269,-446930.85273
270,-314089.826083
271,-34518.0595996
272,235776.168049
273,-518295.343311
274,-895439.516425
275,-953442.064431
276,295198.014457
277,686539.54593
278,-382185.030432
279,34518.0595996
280,276115.5128
281,-470220.784281
282,-375893.287855
283,23620.4417881
284,276115.5128
285,-495005.41176
286,288906.27188
287,675641.928119
288,-148583.620921
289,1218936.87661
290,32913.7450937
291,-23289.9315511
292,-341845.68568
293,11228.1280485
294,88425.4642882
295,-23289.9315511
296,-375893.287855
297,70200.3048902
298,-127119.503901
299,1206544.56287
300,902871.753437
301,-615352.868464
302,135087.057849
303,160092.08662
304,-354429.170834
305,11228.1280485
306,94747.713098
307,183382.018171
308,-382185.030432
309,59302.6870787
310,890288.268283
311,-615352.868464
312,-867683.656828
313,-976731.995982
314,26622.0025167
315,-12392.3137396
316,73283.5960777
317,170989.704431
318,94717.2068652
319,-12392.3137396
320,135087.057849
321,135307.459141
322,-873975.399405
323,-965834.37817
