,D,norm
0,1,9.8831467098e+11
1,3,3.10366633059e+11
2,4,8.94052867154e+11
3,9,2.39585484195e+12
4,12,2.73331402346e+12
5,27(Ⅰ),4.08164827213e+12
6,27(Ⅱ),1.74236066699e+12
7,27(Ⅲ),1.56506335286e+12
8,36(Ⅰ),4.46674598773e+12
9,36(Ⅱ),2.98949555961e+12
10,81(Ⅰ),5.20977303232e+12
11,81(Ⅱ),3.66553690199e+12
12,81(Ⅲ),1.84628777548e+12
13,81(Ⅳ),5.39321997168e+12
14,81(Ⅴ),3.64395375792e+12
15,81(Ⅵ),2.40844543655e+12
16,108(Ⅰ),5.37830874e+12
17,108(Ⅱ),1.1438102437e+12
18,108(Ⅲ),1.13563032977e+12
19,108(Ⅳ),6.43073927634e+12
20,108(Ⅴ),4.35005115711e+12
21,108(Ⅵ),3.72867712901e+12
22,324(Ⅰ),5.73829003177e+12
23,324(Ⅱ),2.94632395476e+12
24,324(Ⅲ),2.03698372325e+12
25,324(Ⅳ),9.48618463605e+12
26,324(Ⅴ),7.94514807883e+12
27,324(Ⅵ),6.71754619663e+12
28,324(Ⅶ),4.37007867755e+12
29,324(Ⅷ),5.169597667e+12
30,324(Ⅸ),3.53335226841e+12
31,324(Ⅹ),2.81751245582e+12
32,324(ⅩⅠ),4.26985615481e+12
33,324(ⅩⅡ),2.00616534434e+12
34,324(ⅩⅢ),3.25298896155e+12
35,324(ⅩⅣ),2.72692130655e+12
36,324(ⅩⅤ),3.48470117047e+12
