,name,pop,
0,"Autauga, Alabama",55395,
1,"Baldwin, Alabama",200111,
2,"Barbour, Alabama",26887,
3,"Bibb, Alabama",22506,
4,"Blount, Alabama",57719,
5,"Bullock, Alabama",10764,
6,"Butler, Alabama",20296,
7,"Calhoun, Alabama",115916,
8,"Chambers, Alabama",34076,
9,"Cherokee, Alabama",26037,
10,"Chilton, Alabama",43931,
11,"Choctaw, Alabama",13323,
12,"Clarke, Alabama",24945,
13,"Clay, Alabama",13552,
14,"Cleburne, Alabama",15080,
15,"Coffee, Alabama",50909,
16,"Colbert, Alabama",54543,
17,"Conecuh, Alabama",12670,
18,"Coosa, Alabama",10886,
19,"Covington, Alabama",37914,
20,"Crenshaw, Alabama",13977,
21,"Cullman, Alabama",81289,
22,"Dale, Alabama",49484,
23,"Dallas, Alabama",41711,
24,"DeKalb, Alabama",71065,
25,"Elmore, Alabama",80977,
26,"Escambia, Alabama",37733,
27,"Etowah, Alabama",103531,
28,"Fayette, Alabama",16874,
29,"Franklin, Alabama",31601,
30,"Geneva, Alabama",26712,
31,"Greene, Alabama",8553,
32,"Hale, Alabama",15184,
33,"Henry, Alabama",17190,
34,"Houston, Alabama",104193,
35,"Jackson, Alabama",52665,
36,"Jefferson, Alabama",660793,
37,"Lamar, Alabama",14086,
38,"Lauderdale, Alabama",93096,
39,"Lawrence, Alabama",33477,
40,"Lee, Alabama",154255,
41,"Limestone, Alabama",90787,
42,"Lowndes, Alabama",10580,
43,"Macon, Alabama",19425,
44,"Madison, Alabama",350299,
45,"Marengo, Alabama",20110,
46,"Marion, Alabama",30271,
47,"Marshall, Alabama",94636,
48,"Mobile, Alabama",415123,
49,"Monroe, Alabama",21947,
50,"Montgomery, Alabama",226189,
51,"Morgan, Alabama",119607,
52,"Perry, Alabama",9826,
53,"Pickens, Alabama",20365,
54,"Pike, Alabama",33389,
55,"Randolph, Alabama",22539,
56,"Russell, Alabama",59608,
57,"Shelby, Alabama",206655,
58,"St. Clair, Alabama",86697,
59,"Sumter, Alabama",13166,
60,"Talladega, Alabama",81322,
61,"Tallapoosa, Alabama",41165,
62,"Tuscaloosa, Alabama",202212,
63,"Walker, Alabama",65471,
64,"Washington, Alabama",16834,
65,"Wilcox, Alabama",11098,
66,"Winston, Alabama",24150,
67,"Aleutians East, Alaska",3360,
68,"Aleutians West, Alaska",5750,
69,"Anchorage, Alaska",301010,
70,"Bethel, Alaska",17868,
71,"Bristol Bay, Alaska",957,
72,"Denali, Alaska",1921,
73,"Dillingham, Alaska",4988,
