,name,pop,lat,lon
2938,"Staunton, Virginia",24538,38.14935,-79.0716456
2939,"Suffolk, Virginia",86806,36.7282096,-76.5835703
2940,"Surry, Virginia",6790,37.1118778,-76.895924
2941,"Sussex, Virginia",11767,36.9096897,-77.2741121
2942,"Tazewell, Virginia",43452,37.1236041,-81.5684129
2943,"Virginia Beach, Virginia",450980,36.7183708,-76.2466798
2944,"Warren, Virginia",38987,38.9131907,-78.2096656
2945,"Washington, Virginia",54729,36.7403876,-81.9425745
2946,"Waynesboro, Virginia",21366,38.065698,-78.9055212867
2947,"Westmoreland, Virginia",17477,38.1153203,-76.7567355
2948,"Williamsburg, Virginia",14691,37.2707028,-76.7074502
2949,"Winchester, Virginia",27543,39.1857762,-78.1631434
2950,"Wise, Virginia",39935,37.0170633,-82.6103804
2951,"Wythe, Virginia",29121,36.9118401,-81.0639347
2952,"York, Virginia",66342,37.1443109,-76.3831789
2953,"Adams, Washington",19179,46.9723633,-118.5934644
2954,"Asotin, Washington",22189,46.1678079,-117.2045179
2955,"Benton, Washington",186486,46.1691702,-119.5286424
2956,"Chelan, Washington",74588,47.8012197,-120.6276904
2957,"Clallam, Washington",72715,47.9998383,-123.7373472
2958,"Clark, Washington",451008,45.7669047,-122.4940866
2959,"Columbia, Washington",3985,46.2947665,-117.9174697
2960,"Cowlitz, Washington",102133,46.1998625,-122.6931507
2961,"Douglas, Washington",39804,47.7652709,-119.6075365
2962,"Ferry, Washington",7667,48.4736934,-118.4834362
2963,"Franklin, Washington",87809,46.5654696,-118.8935483
2964,"Garfield, Washington",2215,46.4604687,-117.5294769
2965,"Grant, Washington",93147,47.119015,-119.4904332
2966,"Grays Harbor, Washington",70818,47.1744169,-123.8658829
2967,"Island, Washington",79275,48.2162669,-122.6842402
2968,"Jefferson, Washington",30228,47.7325289,-123.6328565
2969,"King, Washington",2079967,47.4873376,-121.8622122
2970,"Kitsap, Washington",254183,47.594502,-122.6474421
2971,"Kittitas, Washington",42522,47.1057471,-120.5849305
2972,"Klickitat, Washington",20861,45.8767731,-120.7976033
2973,"Lewis, Washington",75128,46.5612011,-122.4225561
2974,"Lincoln, Washington",10250,47.5664588,-118.3588615
