,name,pop,lat,lon
867,"Poweshiek, Iowa",18668,41.6816512,-92.5435034
868,"Ringgold, Iowa",5051,40.7399875,-94.2547473
869,"Sac, Iowa",10035,42.3797854,-95.0825306
870,"Scott, Iowa",171387,41.6251843,-90.6164201
871,"Shelby, Iowa",11948,41.668243,-95.3163623
872,"Sioux, Iowa",34681,43.0574079,-96.1602368
873,"Story, Iowa",94073,42.0161612,-93.489194
874,"Tama, Iowa",17451,42.0568108,-92.5433918
875,"Taylor, Iowa",6143,40.738254,-94.6847413
876,"Union, Iowa",12516,41.015699,-94.2472694
877,"Van Buren, Iowa",7468,40.749202,-91.9689529
878,"Wapello, Iowa",35212,41.0137597,-92.4140217
879,"Warren, Iowa",47956,41.3138645,-93.5685324
880,"Washington, Iowa",22070,41.3160082,-91.7340327
881,"Wayne, Iowa",6395,40.7436612,-93.343458
882,"Webster, Iowa",36955,42.4326072,-94.184316
883,"Winnebago, Iowa",10559,43.3747879,-93.7316088
884,"Winneshiek, Iowa",20768,43.2677179,-91.8563139
885,"Woodbury, Iowa",102271,42.3775361,-96.0607187
886,"Worth, Iowa",7624,43.3696764,-93.2658698
887,"Wright, Iowa",12840,42.7404452,-93.7325849
888,"Allen, Kansas",12909,37.8882168,-95.3170208
889,"Anderson, Kansas",7883,38.198077,-95.3067461
890,"Atchison, Kansas",16513,39.545816,-95.3326052
891,"Barber, Kansas",4897,37.2113342,-98.7033263
892,"Barton, Kansas",27385,38.4683432,-98.776234
893,"Bourbon, Kansas",14772,37.8485797,-94.8679591
894,"Brown, Kansas",9815,39.824223,-95.5819952
895,"Butler, Kansas",66227,37.77924,-96.8456342
896,"Chase, Kansas",2692,38.2928083,-96.6152916
897,"Chautauqua, Kansas",3481,37.146335,-96.2656966
898,"Cherokee, Kansas",20787,37.1718068,-94.8482069
899,"Cheyenne, Kansas",2693,39.7955799,-101.7575491
900,"Clark, Kansas",2144,37.2045719,-99.8133765
901,"Clay, Kansas",8317,39.3615169,-97.1718432
902,"Cloud, Kansas",9385,39.4850226,-97.6705137
903,"Coffey, Kansas",8433,38.235413,-95.7498925
904,"Comanche, Kansas",1954,37.1960944,-99.2958383
905,"Cowley, Kansas",35963,37.2413155,-96.8675685
906,"Crawford, Kansas",39290,37.503889,-94.8652466
907,"Decatur, Kansas",2908,39.7940527,-100.472769
908,"Dickinson, Kansas",19394,38.8790615,-97.1893341
