,name,pop,lat,lon
0,"Autauga, Alabama",55395,32.5165255,-86.6319403
1,"Baldwin, Alabama",200111,30.5677527,-87.7324392
2,"Barbour, Alabama",26887,31.8589311,-85.4032078
3,"Bibb, Alabama",22506,32.971079,-87.1227088
4,"Blount, Alabama",57719,33.9510169,-86.5702002
5,"Bullock, Alabama",10764,32.09929,-85.7091657
6,"Butler, Alabama",20296,31.7340713,-86.6754793
7,"Calhoun, Alabama",115916,33.7514505,-85.8315666
8,"Chambers, Alabama",34076,32.8901658,-85.3866953
9,"Cherokee, Alabama",26037,34.1142554,-85.6004514
10,"Chilton, Alabama",43931,32.8522565,-86.7032845
11,"Choctaw, Alabama",13323,31.9908095,-88.2821326
12,"Clarke, Alabama",24945,31.659134,-87.8192486
13,"Clay, Alabama",13552,33.2423393,-85.819651
14,"Cleburne, Alabama",15080,33.6506958,-85.5017359
15,"Coffee, Alabama",50909,31.3629619,-85.9870669
16,"Colbert, Alabama",54543,34.6473396,-87.7921769
17,"Conecuh, Alabama",12670,31.3966783,-86.9437104
18,"Coosa, Alabama",10886,32.9181762,-86.2327497
19,"Covington, Alabama",37914,31.196549,-86.4597236
20,"Crenshaw, Alabama",13977,31.6809362,-86.3244009
21,"Cullman, Alabama",81289,34.1335332,-86.8779268
22,"Dale, Alabama",49484,31.3940969,-85.623763
23,"Dallas, Alabama",41711,32.3117968,-87.1046643
24,"DeKalb, Alabama",71065,34.4524349,-85.7662118
25,"Elmore, Alabama",80977,32.5801231,-86.125195
26,"Escambia, Alabama",37733,31.1168422,-87.1070947
27,"Etowah, Alabama",103531,34.0371404,-86.022147
28,"Fayette, Alabama",16874,33.7303493,-87.7419088
29,"Franklin, Alabama",31601,34.440962,-87.8339064
30,"Geneva, Alabama",26712,31.0862933,-85.803014
31,"Greene, Alabama",8553,32.8620514,-87.9915392
32,"Hale, Alabama",15184,32.7412417,-87.6561668
33,"Henry, Alabama",17190,31.4838041,-85.2447377
34,"Houston, Alabama",104193,31.1355603,-85.2654592
35,"Jackson, Alabama",52665,34.7692447,-85.9867941
36,"Jefferson, Alabama",660793,33.5228184,-86.9164513
37,"Lamar, Alabama",14086,33.7490016,-88.1003689
38,"Lauderdale, Alabama",93096,34.9049555,-87.6747398
39,"Lawrence, Alabama",33477,34.4776367,-87.3017331
40,"Lee, Alabama",154255,32.5814796,-85.3077038
41,"Limestone, Alabama",90787,34.8342463,-86.9901321
42,"Lowndes, Alabama",10580,32.1088066,-86.6402541
43,"Macon, Alabama",19425,32.366606,-85.6660307
44,"Madison, Alabama",350299,34.7736807,-86.5675095
45,"Marengo, Alabama",20110,32.201002,-87.7569365
46,"Marion, Alabama",30271,34.1128132,-87.8544031
47,"Marshall, Alabama",94636,34.3396046,-86.3301801
48,"Mobile, Alabama",415123,30.6943566,-88.0430541
49,"Monroe, Alabama",21947,31.5593935,-87.3781004
50,"Montgomery, Alabama",226189,32.3669656,-86.3006485
51,"Morgan, Alabama",119607,34.4296848,-86.8529584
52,"Perry, Alabama",9826,32.6421387,-87.2876639
53,"Pickens, Alabama",20365,33.2948421,-88.1244034
54,"Pike, Alabama",33389,31.7615793,-85.9259465
55,"Randolph, Alabama",22539,33.2651763,-85.4693961
56,"Russell, Alabama",59608,32.2698458,-85.1959487
57,"Shelby, Alabama",206655,33.2503347,-86.6639746
58,"St. Clair, Alabama",86697,33.7086407,-86.3364
59,"Sumter, Alabama",13166,32.5234698,-88.1837986
60,"Talladega, Alabama",81322,33.4359416,-86.1058048
61,"Tallapoosa, Alabama",41165,32.8595687,-85.8023774
62,"Tuscaloosa, Alabama",202212,33.2668398,-87.4862182
63,"Walker, Alabama",65471,33.7804491,-87.2767248
64,"Washington, Alabama",16834,31.3991238,-88.2019828
65,"Wilcox, Alabama",11098,31.9523021,-87.3005169
66,"Winston, Alabama",24150,34.1328863,-87.361354
67,"Aleutians East, Alaska",3360,55.0512443,-162.8916892
68,"Aleutians West, Alaska",5750,51.5672222,178.8776
69,"Anchorage, Alaska",301010,61.2163129,-149.8948522
70,"Bethel, Alaska",17868,60.7922222,-161.7558333
71,"Bristol Bay, Alaska",957,58.7370341,-156.8753867
72,"Denali, Alaska",1921,63.0686667,-151.0029999
73,"Dillingham, Alaska",4988,59.9011107,-158.2016852
74,"Fairbanks North Star, Alaska",99357,64.8649039,-146.7751619
75,"Haines, Alaska",2566,59.0831232,-135.3430573
76,"Hoonah-Angoon, Alaska",2082,57.57666,-134.1311512
77,"Juneau, Alaska",32406,58.3019496,-134.4197339
78,"Kenai Peninsula, Alaska",57477,60.0968272,-151.788033
79,"Ketchikan Gateway, Alaska",13787,55.4895146,-131.0109264
80,"Kodiak Island, Alaska",13986,57.37122705,-153.19013546
81,"Lake and Peninsula, Alaska",1631,58.3277109,-156.154765
82,"Matanuska-Susitna, Alaska",97882,62.3402481,-149.4793288
83,"Nome, Alaska",9817,64.51282,-165.424253714
84,"North Slope, Alaska",9703,69.5335129,-153.8220681
85,"Northwest Arctic, Alaska",7717,67.2385127,-159.9816347
86,"Petersburg, Alaska",3160,56.8127965,-132.95547
87,"Prince of Wales-Hyder, Alaska",6396,55.4028302,-132.9467059
88,"Sitka, Alaska",8900,57.0524973,-135.3376124
89,"Skagway, Alaska",1036,59.4583333,-135.3138891
90,"Southeast Fairbanks, Alaska",6931,63.9412119,-143.7303712
91,"Valdez-Cordova, Alaska",9488,61.2620896,-144.7914471
92,"Wade Hampton, Alaska",8010,62.2002165,-163.764702
93,"Wrangell, Alaska",2364,56.4156225,-132.300945236
94,"Yakutat, Alaska",635,59.6391781,-139.3429439
95,"Yukon-Koyukuk, Alaska",5547,65.7963587,-152.4239927
96,"Apache, Arizona",71828,35.214632,-109.4786676
97,"Cochise, Arizona",127448,31.8514532,-109.8181858
98,"Coconino, Arizona",137682,35.9363252,-111.6948197
99,"Gila, Arizona",53119,33.7517565,-110.8052705
100,"Graham, Arizona",37957,32.8397096,-109.8685752
101,"Greenlee, Arizona",9346,33.2312681,-109.2751297
102,"La Paz, Arizona",20231,33.7923828,-114.0184443
103,"Maricopa, Arizona",4087191,33.34883,-112.49123
104,"Mohave, Arizona",203361,35.7218038,-113.8271174
105,"Navajo, Arizona",108101,35.1819775,-110.3549451
106,"Pima, Arizona",1004516,32.1112624,-111.6546163
107,"Pinal, Arizona",401918,32.8085851,-111.4426212
108,"Santa Cruz, Arizona",46695,31.5094579,-110.8476281
109,"Yavapai, Arizona",218844,34.5668857,-112.5515965
110,"Yuma, Arizona",203247,32.665167,-114.475904895
111,"Arkansas, Arkansas",18594,34.2902454,-91.3598511
112,"Ashley, Arkansas",20948,33.1742582,-91.7295595
113,"Baxter, Arkansas",40857,36.2820691,-92.3445222
114,"Benton, Arkansas",242321,36.3456186,-94.2670404
115,"Boone, Arkansas",37196,36.2829183,-93.0784759
116,"Bradley, Arkansas",11148,33.4494147,-92.16876
117,"Calhoun, Arkansas",5202,33.5556787,-92.5143633
118,"Carroll, Arkansas",27744,36.3386737,-93.5093048
119,"Chicot, Arkansas",11180,33.2536665,-91.3026986
120,"Clark, Arkansas",22576,34.0541966,-93.198963
121,"Clay, Arkansas",15118,36.3609902,-90.4087659
122,"Cleburne, Arkansas",25634,35.5298937,-92.0312818
123,"Cleveland, Arkansas",8449,33.8847138,-92.1724506
124,"Columbia, Arkansas",23933,33.1938586,-93.2344337
125,"Conway, Arkansas",21083,35.0886963,-92.4421011
126,"Craighead, Arkansas",102518,35.8348413,-90.6441144
127,"Crawford, Arkansas",61697,35.5803044,-94.2684622
128,"Crittenden, Arkansas",49548,35.2505701,-90.3192299
129,"Cross, Arkansas",17227,35.3001216,-90.7750181
130,"Dallas, Arkansas",7755,33.9630776,-92.6853662
131,"Desha, Arkansas",12264,33.7740219,-91.3110517
132,"Drew, Arkansas",18622,33.5716907,-91.7160969
133,"Faulkner, Arkansas",120768,35.1470851,-92.3219053
134,"Franklin, Arkansas",17805,35.5110075,-93.8864847
135,"Fulton, Arkansas",12125,36.3783981,-91.8110982
136,"Garland, Arkansas",97322,34.5488944,-93.1838539
137,"Grant, Arkansas",18144,34.2773864,-92.420578
