,naiseki
0,830521.388889
1,-103617.109976
2,59304.8002866
3,-42661.8333333
4,168307.944444
5,77980.0555556
6,-53122.2611783
7,-56430.2560323
8,39016.9343909
9,11598.8102218
10,46432.3632052
11,-10723.3898043
12,-16894.4702021
13,-118826.176291
14,47398.4282031
15,32686.059169
16,23517.9394215
17,68697.5047881
18,41256.5333804
19,-144300.684377
20,33030.6949475
21,192371.726631
22,220151.883147
23,58654.1786573
24,-213830.427771
25,21080.7002753
26,33663.4679144
27,57220.4095704
28,-141079.94506
29,40315.3207104
30,-100601.725576
31,89161.0205748
32,-150226.572542
33,42697.5599487
34,282668.924075
35,107033.579682
36,60965.0967581
37,-259757.092353
38,89873.782577
39,153952.403534
40,208235.836708
41,-187024.461462
42,-139510.950133
43,75184.4340408
44,75703.8733703
45,25382.8374597
46,2789.18269839
47,125866.009812
48,-23908.5373506
49,63766.4778118
50,-41053.087651
51,80320.8779487
52,-57330.135782
53,-109384.20983
54,2086.38776817
55,281634.370523
56,-305651.709889
57,-128748.966908
58,131384.993264
59,119975.026496
60,-113926.210061
61,160628.567684
62,236886.316993
63,25504.7450149
64,-194591.727048
65,-129367.33423
66,-78945.4832974
67,18609.1928994
68,174421.17029
69,106970.599046
70,-220599.175979
71,175378.544135
72,114173.178811
73,19829.8954077
74,54557.9129283
75,-98784.1658213
76,-37859.7026411
77,-44259.8275538
78,47927.2043893
79,-26131.676459
80,129400.808619
81,198151.588498
82,-28864.6410759
83,-172709.967366
84,-3378.14394789
85,184158.39275
86,-72742.086581
87,110557.395787
88,111575.189997
89,-196337.763664
90,-221460.498386
91,72393.709393
92,-159366.274742
93,23974.9418217
94,8792.95491359
95,-81910.0156348
96,-44102.9283673
97,33826.0481
98,-220969.568957
99,75583.5076324
100,-184607.918452
101,74516.4796113
102,66807.4170523
103,90688.0353164
104,273621.789745
105,52344.5904053
106,106761.754247
107,27187.2616041
108,247793.951874
109,-282081.406706
110,243115.965015
111,265263.382821
112,466072.502075
113,51559.0163949
114,-134002.897032
115,130747.808651
116,-53078.0153732
117,5046.02405515
118,-70122.1801033
119,-7604.74798655
120,-91192.3935197
121,74776.3607003
122,-108589.619348
123,-32652.004944
124,31876.9756615
125,50860.1705193
126,-52382.5805798
127,-99838.6084477
128,-10493.8111427
129,103004.037936
130,131066.471122
131,85000.2538792
132,30065.0824514
133,76856.2857266
134,-44937.93869
135,-124506.8088
136,-5591.81299901
137,28325.1980049
138,-110709.463701
139,-149289.91488
140,4957.23504299
141,10307.3808873
142,-50047.6685344
143,143160.433394
144,27882.0248595
145,38016.9969439
146,-122478.351236
147,-1789.07119721
148,-96138.7894397
149,36662.2947897
150,-110456.311894
151,-110391.395237
152,-42905.0246858
153,-91369.7783942
154,-13812.3636698
155,79922.4966573
156,57791.4841979
157,-54680.9655079
158,14821.2711849
159,155268.962573
160,-69107.928477
161,4050.28852728
162,-294945.904185
163,-133834.270867
164,18832.0095338
165,-294874.839519
166,-229527.345225
167,-236904.198582
168,160821.73528
169,114840.156437
170,44042.2522747
171,-132846.20723
172,-67069.9231492
173,-72193.7935565
174,-7175.44711538
175,-32407.5825431
176,-121190.183011
177,51192.691538
178,-128314.863702
179,-356912.722308
180,-256709.501352
181,154662.953611
182,208873.35953
183,-44359.6606031
184,-131444.672356
185,-131875.238486
186,-287622.66559
187,-27106.1104576
188,119258.193053
189,73213.3332417
190,-147775.42054
191,-9697.75475109
192,174869.118911
193,167820.834274
194,-100394.8787
