1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
48829.3580247,5894.50308642,-27091.1234568,-11271.1111111,-3020.88580247,33502.5263689,19056.8747875,23221.2655103,-22953.117284,18153.0432099,-26731.574483,-15310.9659223,15786.6052201,-11335.3057202,23671.4264604,-13329.1022217,-24358.9665773,-32379.4492834,-37601.8804356,3153.66928961,-10915.398954,20653.359294,10404.0257833,-24695.3559733,15640.9320419,-23176.6855694,28207.9010973,30617.0390464,-24500.0607864,180.901986852,18902.8389484,43043.661144,8534.44945688,3485.29670442,10304.9088044,-6702.84755109,-57252.7551336
48829.3580247,-10490.4969136,-4469.09876543,20930.1944444,1219.16358025,-4124.22289707,-62373.0603776,7841.64438574,-4507.44753083,-12378.7839507,-32591.7959071,12004.3977183,-26607.8981075,23237.9142185,11281.3786329,13902.8367783,-25719.3830939,24861.7595722,8506.61426246,-1755.27653257,32899.4886392,-19270.4528474,715.128336565,-1939.07287494,-47955.6480542,2691.35634913,10137.3511921,-25254.1751027,10569.189361,23098.0706207,-39661.3975619,-21075.1985581,12666.3455097,-30492.6568711,25187.9409929,53061.5276143,27024.4057133
48829.3580247,4595.99382716,-27091.1234568,15032.537037,4557.17901235,-34177.525254,6364.93157645,-12077.6285447,-466.561728361,-14331.271605,-22385.8495233,29823.9290936,19029.7259853,4217.85830176,-28076.5466849,-24994.0338391,-16044.2540514,-16383.3109607,37893.7872343,19604.3587783,29190.8848197,24727.3119576,-8185.95786157,-3445.32071497,35345.7137617,23997.7089259,-23850.8841425,-29408.0927917,-23384.8662796,-5673.74891996,-12717.3796833,2108.46016833,43286.6853079,42031.489538,9120.9402456,-36965.1156584,-35368.3818954
48829.3580247,5894.50308642,-4469.09876543,-11271.1111111,-7446.24382716,-34320.7080546,23101.6730888,-21108.8817008,-14871.345679,-9794.39506173,-889.211071014,8697.22375333,-24346.4478675,-23133.7477304,17458.9176024,42554.4319799,-4583.1881753,10167.6888363,-47467.213624,8877.19749618,53661.1426833,14610.2894501,-15225.6304496,-25678.4894283,-28682.7967888,13652.4422399,-22851.5578099,15350.8070488,43586.34606,-18495.3005142,19433.3320705,-19501.6982991,32526.6802313,-20936.7963837,36532.4748692,-18177.6288686,7745.98268913
48829.3580247,-10490.4969136,-27091.1234568,20930.1944444,-1536.29320988,-19214.830358,32534.9321099,-29234.4906408,-33317.0154321,11024.9320988,21839.6034094,-16459.5353868,11536.4690145,-10134.9330402,2490.00749191,-25182.5281554,-731.374883318,-2159.91014051,28137.396135,-19084.0620078,7030.64679868,16967.1374313,-19554.8010188,-16450.7431266,-13886.7891879,-22613.4806768,11788.4246314,16219.1040315,13429.6357958,7600.70063556,8421.57636247,21279.946047,26251.5030931,-21866.4537286,-228.879291635,-11541.7416259,-5532.08527389
48829.3580247,4595.99382716,-4469.09876543,15032.537037,6227.08024691,-9317.49881986,-28349.788407,-12056.9349953,-37357.9012346,7326.47530868,35165.5290199,-4069.68080791,-12525.1815453,-33981.4490467,-6869.69616397,3546.81187733,-9147.10025268,-10543.7756328,-17062.2167071,7652.87632691,13229.9134279,25410.0806156,-20651.307707,2577.6629282,27472.9225566,-51237.4450818,31281.0419628,-7939.32273734,-30997.2472826,32496.4261558,-14406.9743023,-10559.8135868,49446.5838853,40376.8232922,-19408.7058278,-3157.44144772,-6559.53614095
48829.3580247,5894.50308642,-27091.1234568,-11271.1111111,-3020.88580247,818.181685735,-42158.5478763,-2112.38380943,-22953.117284,18153.0432099,32853.2170661,25390.0296706,-3186.98747743,-16710.9718725,-14416.7665499,-23928.5208369,-27227.6098763,22950.3380111,-2742.99665329,37787.1084995,-22274.7741986,26420.0175509,-18382.8956246,-13258.5794441,-50689.8397461,-44078.3667365,13971.2151352,3946.18545368,1748.08180871,-3924.7913046,18554.9330759,26184.5394032,17883.5202823,-9357.74749624,-2292.0689811,41400.4142259,18295.3999482
48829.3580247,-10490.4969136,-4469.09876543,20930.1944444,1219.16358025,23339.053255,29838.1282677,21392.846255,-4507.44753083,-12378.7839507,15984.6240098,23231.42517,3324.59896825,47737.9841193,41475.0278038,42221.0065955,-46165.9389959,-28491.8399179,42425.9363211,-5387.10080359,-78113.4650051,2029.49173469,-13023.1687472,-26787.1162408,27702.747951,-6710.17535992,-7806.74873305,4793.98406316,-34833.3325094,-26569.6677186,10168.4893509,-28938.5600059,7308.75585184,-31228.0510962,-50181.4078733,11328.0239292,-9198.43952824
48829.3580247,4595.99382716,-27091.1234568,15032.537037,4557.17901235,43495.0240739,21984.8568306,24134.56354,-466.561728361,-14331.271605,-7547.24798445,-6977.96078405,-18251.3745648,20102.6507705,-47013.7485925,-14790.902178,-55113.62965,28199.3516227,-54161.6664172,-39867.7591813,-9153.06207212,32509.876809,-5218.5892372,-6252.46234601,-14238.9021205,26654.8273132,-4239.38027895,-30704.6650897,30241.9735847,34491.0616127,-36121.6712683,-2204.56684507,18545.0108012,23135.2424009,6341.21229661,-14069.1027795,24964.9286225
48829.3580247,5894.50308642,-4469.09876543,-11271.1111111,-7446.24382716,33502.5263689,19056.8747875,23221.2655103,-14871.345679,-9794.39506173,-26731.574483,-15310.9659223,15786.6052201,-11335.3057202,23671.4264604,-13329.1022217,-46496.5066432,-27769.8893689,22204.9330491,7273.00516894,-13260.97151,-13797.570696,4089.49543314,144.463994974,-28373.1538726,26739.2986406,8475.89569026,-20366.2910292,31235.7071395,29321.9204061,-12821.0798541,-3339.69993957,-20751.870441,26643.3944793,-4927.4744404,-20691.067624,1064.04475034
