x,y,pop
9755935.45465,18181485.3606,55395.0
9640945.42197,17942539.9929,200111.0
9884324.48832,18100294.922,26887.0
9704655.54346,18237954.5191,22506.0
9762386.61613,18360691.9953,57719.0
9852355.25244,18129903.1199,10764.0
9751386.10795,18084944.7646,20296.0
9839565.70446,18335583.2077,115916.0
9886049.86298,18227881.5483,34076.0
9863714.70124,18381273.9306,26037.0
9748480.77033,18223165.3445,43931.0
9583508.50674,18116530.5322,13323.0
9631874.79432,18075741.9722,24945.0
9840810.75362,18271791.5704,13552.0
9874029.3854,18322928.7933,15080.0
9823317.63317,18039442.4325,50909.0
9634703.48926,18448766.5231,54543.0
9723358.90779,18043569.0013,12670.0
9797646.48238,18231367.5505,10886.0
9773930.2059,18019096.6952,37914.0
9788069.93989,18078418.659,13977.0
9730232.57055,18383707.1919,81289.0
9861278.89541,18043253.01,49484.0
9706540.99527,18156145.3544,41711.0
9846394.56234,18424040.1898,71065.0
9808884.76574,18189368.7999,80977.0
9706287.0452,18009364.377,37733.0
9819652.1485,18371545.9461,103531.0
9639955.95291,18332931.7464,16874.0
9630343.21542,18422586.4968,31601.0
9842549.13716,18005636.4784,26712.0
9613872.32133,18224383.711,8553.0
9648915.04899,18209365.8372,15184.0
9900882.87105,18054239.2465,17190.0
9898717.70218,18011649.1495,104193.0
9823346.13777,18464261.4038,52665.0
9726207.18396,18306889.1783,660793.0
9602500.8145,18335275.4588,14086.0
9646974.37474,18481538.0205,93096.0
9685949.47287,18427234.1273,33477.0
9894303.60605,18189537.01,154255.0
9718508.35064,18472532.8565,90787.0
9755066.75398,18131077.0054,10580.0
9856862.38558,18162923.6547,19425.0
9762667.76469,18464825.6774,350299.0
9638385.72352,18142455.776,20110.0
9628201.53567,18381091.9171,30271.0
9787466.07704,18409752.4966,94636.0
9608489.5808,17957913.8948,415123.0
9677969.92984,18063504.688,21947.0
9790551.80448,18162968.1403,226189.0
9732841.49377,18421157.7949,119607.0
9687419.54955,18197061.5243,9826.0
9599989.47356,18278352.8809,20365.0
9829704.04282,18088324.7946,33389.0
9877408.53886,18274645.0411,22539.0
9905980.78501,18150960.0091,59608.0
9752588.22258,18272790.5064,206655.0
9786816.16589,18330204.643,86697.0
9593783.32834,18182345.8915,13166.0
9810910.8284,18296005.7811,81322.0
9842615.65486,18224074.8806,41165.0
9666672.80873,18274852.9236,202212.0
9688562.5652,18339228.0777,65471.0
9591883.27942,18043868.365,16834.0
9686076.5524,18111787.4608,11098.0
9679719.74448,18383625.5306,24150.0
1787630.33568,21504754.6203,3360.0
37498762.5636,20895042.5825,5750.0
3145656.87381,22728595.5924,301010.0
1906314.78603,22637179.2349,17868.0
2416267.78465,22210563.3179,957.0
3029867.62564,23142954.8433,1921.0
2277684.17693,22448967.2277,4988.0
3471630.20241,23570757.4816,99357.0
4666159.41236,22280594.4448,2566.0
4792790.27228,21980729.8695,2082.0
4762636.55372,22123505.6769,32406.0
2947840.29983,22489866.5359,57477.0
5118819.45025,21585138.4067,13787.0
2801336.01191,21940807.5583,13986.0
2491564.82751,22128630.4088,1631.0
3189074.49953,22976972.8427,97882.0
1523005.19499,23484707.0035,9817.0
2735306.0005,24833867.9414,9703.0
2091699.02857,24182254.1642,7717.0
4915636.02852,21833404.4704,3160.0
4916551.78059,21569168.9308,6396.0
4666728.34453,21879308.2009,8900.0
4669207.16849,22357320.7973,1036.0
3789777.34649,23347337.5568,6931.0
3678906.58377,22738536.6148,9488.0
1696410.09874,22945527.0447,8010.0
4984026.66844,21757986.0331,2364.0
4248215.25008,22394606.0389,635.0
2881389.50493,23803968.7347,5547.0
7368703.70104,18521068.59,71828.0
7333227.78288,18099375.0111,127448.0
7137140.17798,18613783.9375,137682.0
7230088.28686,18335621.6628,53119.0
7327962.64472,18221604.8591,37957.0
7389971.17325,18270408.4983,9346.0
6894346.96056,18340728.3977,20231.0
7053924.05989,18285103.9045,4087191.0
6914338.51756,18586137.0866,203361.0
7277142.33886,18516893.1188,108101.0
7141340.99116,18131379.9515,1004516.0
7163492.14776,18217734.7888,401918.0
7225662.38347,18057382.9448,46695.0
7047616.4245,18438552.8216,218844.0
6846547.35916,18199919.427,203247.0
9261920.76967,18403508.1904,18594.0
9223290.30761,18263289.2941,20948.0
9159033.46831,18658500.807,40857.0
8958151.45866,18666741.495,242321.0
9082343.37807,18658610.8815,37196.0
9177398.68532,18297692.8945,11148.0
9141286.94113,18311008.5652,5202.0
9037326.49591,18665840.5983,27744.0
9267892.5774,18273206.8046,11180.0
9069753.80113,18373696.8071,22576.0
9361298.71382,18668735.7944,15118.0
9191763.64535,18561467.3337,25634.0
9177013.05821,18352343.4468,8449.0
9066047.50306,18265736.4031,23933.0
9148837.54635,18504974.652,21083.0
9336707.38374,18600695.6923,102518.0
8958002.89619,18567941.8229,61697.0
9370654.24118,18525665.8712,49548.0
9323029.38666,18532007.9521,17227.0
9123419.01862,18362211.316,7755.0
9267019.77031,18338420.1286,12264.0
9224697.00126,18313016.4069,18622.0
9161396.68563,18512433.3449,120768.0
8997915.34427,18559042.7356,17805.0
9214770.41015,18670994.7574,12125.0
9071332.53593,18436270.1611,97322.0
9151086.4736,18401882.0337,18144.0
9343627.28289,18633868.3473,43694.0
9018134.1962,18328482.855,22327.0
9100932.1493,18404189.8491,33368.0
8988710.605,18376246.2138,13500.0
9241711.66657,18585691.8096,36959.0
9206580.50987,18632762.8652,13486.0
9278963.87688,18567528.6806,17534.0
9202886.61464,18401095.576,72297.0
9042999.62183,18565342.4936,26005.0
9028137.61807,18264274.3194,7111.0
9282223.34863,18623014.7733,16931.0
9322930.76994,18466098.1521,9860.0
9218926.02139,18358796.3303,13970.0
8964473.10602,18328727.4264,12532.0
9014962.99676,18522460.8211,21958.0
9209368.97654,18460725.2966,71557.0
9011246.29158,18618493.3744,15740.0
9385740.15499,18522830.094,16367.0
8994258.77252,18276081.8173,43428.0
9394857.71854,18590384.5092,44235.0
9275597.68006,18452648.5637,7582.0
9022539.35852,18432843.6776,9082.0
9058616.72583,18321755.4459,8723.0
9066792.40516,18611479.7013,7904.0
9097273.6445,18312565.2246,24828.0
9103525.85892,18488763.6144,10245.0
9316957.46801,18422811.4261,19930.0
9023367.62194,18384976.6012,11024.0
9333823.72759,18567005.7822,24246.0
8961007.01772,18430015.8735,20225.0
9085333.1846,18551710.5458,63201.0
9239428.08031,18469513.5273,8304.0
9163649.27001,18462451.7476,392702.0
9295477.35023,18666172.3883,17571.0
9126666.46369,18443025.2547,115719.0
8981543.30723,18474148.6878,10693.0
9222591.34932,18525674.8917,7929.0
8958319.88448,18516266.8374,126776.0
8960570.62985,18365198.5336,17426.0
9248005.31088,18639383.3828,16906.0
9328117.86526,18495618.6405,26899.0
9176771.40649,18600292.8796,12494.0
9130551.78277,18261975.8985,40227.0
8949664.06773,18549515.8994,16851.0
8962223.89664,18617777.2208,220792.0
9224605.90775,18525120.0613,78592.0
9276221.76153,18515548.2902,6910.0
9045789.50956,18492456.5777,21951.0
6070900.71625,18831996.9319,1610921.0
6286632.96421,18962171.5534,1116.0
6207576.53242,18943433.9604,36742.0
6103636.87007,19105280.7489,224241.0
6217289.0569,18917682.261,44624.0
6037274.66095,19036944.8998,21419.0
6068978.90227,18870911.8489,1111339.0
5860445.44506,19391153.5117,27212.0
6214210.42427,18984658.8413,183087.0
6299760.97705,18716668.4293,965974.0
6020879.30196,19097053.3361,27955.0
5861856.73623,19234805.8241,134809.0
6754214.42876,18245363.8497,179091.0
6540230.9192,18694530.0287,18410.0
6399552.04575,18533857.9422,874589.0
6290694.14873,18632145.8372,150269.0
5979105.70621,19024017.2122,64184.0
6192958.91798,19258067.2392,31749.0
6452955.92579,18373636.3216,10116705.0
6292975.67655,18774472.6695,154548.0
5995582.76515,18889128.4631,260750.0
6279406.7242,18826869.9191,17682.0
5912756.82989,19060024.425,87869.0
6218733.33524,18791709.1528,266353.0
6191642.16846,19365830.6895,9023.0
6380111.49061,18877523.6695,13997.0
6075607.85179,18697639.3383,431344.0
6030527.49257,18923181.8412,141667.0
6184810.20726,19064939.8042,98893.0
6491850.22258,18335405.6752,3145515.0
6189399.75087,19030836.5937,371694.0
6185127.03881,19144879.6416,18606.0
6541412.57489,18360986.4652,2329271.0
6117828.17376,18958463.8024,1482026.0
6152548.85147,18703025.0788,58267.0
6552529.90177,18380528.013,2112619.0
6565799.3573,18206407.0751,3263431.0
6016553.01839,18854478.0933,852469.0
6135868.85399,18875390.0789,715597.0
6200417.59377,18529784.4447,279083.0
6025561.33924,18817218.9448,758581.0
6270821.48977,18457192.5657,440668.0
6065045.94665,18798431.3266,1894605.0
6057287.48145,18748671.2726,271804.0
6060579.56422,19261924.7788,179804.0
6213901.11592,19096189.6378,3003.0
6005764.63334,19380115.7149,43628.0
6069102.0948,18913169.213,431131.0
5971824.57813,18951708.3692,500292.0
6159611.82741,18824225.6577,531997.0
6092013.13723,19010629.1736,95847.0
6039302.10286,19169721.731,63067.0
5937977.53903,19235574.323,13170.0
6389232.62824,18654558.3058,458198.0
6270182.86343,18891255.3831,53831.0
6342987.05875,18410264.3061,846178.0
6070194.56912,18979439.9253,207590.0
6127686.33063,19055477.5408,73966.0
7912937.82787,19135114.2838,480718.0
7745811.48168,18813660.1315,16177.0
7903249.68067,19103889.8913,618821.0
7618894.22786,18778141.4627,12244.0
8089842.81918,18793260.8816,3645.0
8035577.47955,18876029.3545,5630.0
7808406.17262,19154682.0454,313333.0
7830538.63615,19144183.2945,62138.0
7713116.84135,18982500.2805,18363.0
8085592.1334,18994486.9404,1871.0
7769432.8926,19108474.7995,9187.0
7714888.77631,18776251.9489,8265.0
7792977.82801,18783021.9551,3568.0
7959313.51636,18928821.1409,5360.0
7799650.84055,18897939.4988,4361.0
7516002.82008,18982621.3577,29870.0
7838273.53907,19117125.8057,663862.0
7475184.14933,18850936.3025,1978.0
7842224.15333,19063319.7501,314638.0
7657237.87805,19100421.4891,52921.0
7932084.4032,19059515.6788,24195.0
7886271.37754,18994221.3897,663519.0
7791445.87295,18946117.6155,46502.0
7535996.15339,19090943.9229,57461.0
7784167.20036,19133379.5399,5851.0
7717902.91833,19166152.2608,14546.0
7635500.37251,18956349.0472,15725.0
7593172.17003,18859027.4403,786.0
7834391.80396,18844187.8528,6462.0
7696166.28005,19242164.8064,1396.0
7809905.97642,19094166.1605,558503.0
8070433.03605,18942370.9853,1402.0
8085280.67258,19058729.5793,8072.0
