x,y,pop
0,0,0.0
1,0,18478.0
2,0,0.0
3,0,8553.0
4,0,25010.0
5,0,0.0
6,0,55395.0
7,0,80977.0
8,0,19425.0
9,0,213863.0
10,0,200887.0
11,0,13960.0
12,0,14188.0
13,0,11483.0
14,0,37494.0
15,0,7995.0
16,0,36273.0
17,0,42337.0
0,1,18694.0
1,1,49414.0
2,1,11115.0
3,1,20365.0
4,1,0.0
5,1,22506.0
6,1,43931.0
7,1,10886.0
8,1,41165.0
9,1,34076.0
10,1,32876.0
11,1,6390.0
12,1,8442.0
13,1,39309.0
14,1,12795.0
15,1,47851.0
16,1,6778.0
17,1,21786.0
0,2,21666.0
1,2,9972.0
2,2,20225.0
3,2,59730.0
4,2,0.0
5,2,202212.0
6,2,0.0
7,2,206655.0
8,2,0.0
9,2,13552.0
10,2,241119.0
11,2,21198.0
12,2,44040.0
13,2,45258.0
14,2,191435.0
15,2,9326.0
16,2,9701.0
17,2,22755.0
0,3,12276.0
1,3,14745.0
2,3,17313.0
3,3,36003.0
4,3,14086.0
5,3,16874.0
6,3,726264.0
7,3,0.0
8,3,168019.0
9,3,0.0
10,3,0.0
11,3,147174.0
12,3,109664.0
13,3,87356.0
14,3,42219.0
15,3,45909.0
16,3,20635.0
17,3,16272.0
0,4,34444.0
1,4,52930.0
2,4,30950.0
3,4,85246.0
4,4,23527.0
5,4,30271.0
6,4,24150.0
7,4,81289.0
8,4,57719.0
9,4,115916.0
10,4,15080.0
11,4,142734.0
12,4,138776.0
13,4,481411.0
14,4,87754.0
15,4,39148.0
16,4,24999.0
17,4,29943.0
0,5,199117.0
1,5,36234.0
2,5,28097.0
3,5,22039.0
4,5,44848.0
5,5,31601.0
6,5,33477.0
7,5,119607.0
8,5,0.0
9,5,198167.0
10,5,26037.0
11,5,41133.0
12,5,148987.0
13,5,2488518.0
14,5,965537.0
15,5,35093.0
16,5,16366.0
17,5,9940.0
0,6,65915.0
1,6,938803.0
2,6,8296.0
3,6,0.0
4,6,37380.0
5,6,54543.0
6,6,0.0
7,6,0.0
8,6,0.0
9,6,0.0
10,6,71065.0
11,6,121002.0
12,6,101736.0
13,6,230985.0
14,6,204302.0
15,6,325871.0
16,6,149250.0
17,6,19438.0
0,7,0.0
1,7,61623.0
2,7,39011.0
3,7,25965.0
4,7,26267.0
5,7,25870.0
6,7,93096.0
7,7,0.0
8,7,90787.0
9,7,350299.0
10,7,52665.0
11,7,16389.0
12,7,227807.0
13,7,29997.0
14,7,51786.0
15,7,59146.0
16,7,66039.0
17,7,25377.0
0,8,148467.0
1,8,44235.0
2,8,27382.0
3,8,18185.0
4,8,127125.0
5,8,0.0
6,8,16913.0
7,8,42274.0
8,8,28853.0
9,8,33637.0
10,8,47721.0
11,8,28407.0
12,8,65621.0
13,8,39410.0
14,8,23753.0
15,8,21984.0
16,8,71093.0
17,8,75192.0
0,9,43694.0
1,9,0.0
2,9,0.0
3,9,52603.0
4,9,49472.0
5,9,28009.0
6,9,19488.0
7,9,36290.0
8,9,85515.0
9,9,31269.0
10,9,46627.0
11,9,67048.0
12,9,365924.0
13,9,102975.0
14,9,16730.0
15,9,27141.0
16,9,10581.0
17,9,33875.0
0,10,0.0
1,10,15118.0
2,10,48994.0
3,10,7631.0
4,10,30941.0
5,10,62743.0
6,10,16145.0
7,10,18135.0
8,10,0.0
9,10,205226.0
10,10,288906.0
11,10,53726.0
12,10,5633.0
13,10,46572.0
14,10,86314.0
15,10,45233.0
16,10,0.0
17,10,14274.0
0,11,20227.0
1,11,42972.0
2,11,0.0
3,11,18272.0
4,11,6265.0
5,11,0.0
6,11,32204.0
7,11,8267.0
8,11,50575.0
9,11,39764.0
10,11,668347.0
11,11,125376.0
12,11,19268.0
13,11,100466.0
14,11,57985.0
15,11,103519.0
16,11,126339.0
17,11,95110.0
0,12,0.0
1,12,13452.0
2,12,0.0
3,12,29867.0
4,12,0.0
5,12,9712.0
6,12,106853.0
7,12,13279.0
8,12,204103.0
9,12,0.0
10,12,68079.0
11,12,180708.0
12,12,42012.0
13,12,22028.0
14,12,17855.0
15,12,21660.0
16,12,524172.0
17,12,0.0
0,13,0.0
1,13,6565.0
2,13,0.0
3,13,12394.0
4,13,124438.0
5,13,14055.0
6,13,80221.0
7,13,8430.0
8,13,0.0
9,13,86770.0
10,13,26867.0
11,13,17826.0
12,13,20384.0
13,13,18469.0
14,13,15289.0
15,13,0.0
16,13,39918.0
17,13,50705.0
0,14,0.0
1,14,10267.0
2,14,78328.0
3,14,0.0
4,14,0.0
5,14,17447.0
6,14,16877.0
7,14,9359.0
8,14,21949.0
9,14,46376.0
10,14,31207.0
11,14,133335.0
12,14,0.0
13,14,53138.0
14,14,6745.0
15,14,38260.0
16,14,17863.0
17,14,35503.0
0,15,24650.0
1,15,25077.0
2,15,0.0
3,15,0.0
4,15,37116.0
5,15,59677.0
6,15,105579.0
7,15,28741.0
8,15,20456.0
9,15,13236.0
10,15,9478.0
11,15,23977.0
12,15,38207.0
13,15,18597.0
14,15,55504.0
15,15,15891.0
16,15,63825.0
17,15,60015.0
0,16,28569.0
1,16,102084.0
2,16,0.0
3,16,222716.0
4,16,66591.0
5,16,21672.0
6,16,39411.0
7,16,8296.0
8,16,14374.0
9,16,72007.0
10,16,98275.0
11,16,8753.0
12,16,19888.0
13,16,108266.0
14,16,14180.0
15,16,20007.0
16,16,24445.0
17,16,16826.0
0,17,44750.0
1,17,0.0
2,17,33253.0
3,17,0.0
4,17,1585024.0
5,17,14337.0
6,17,0.0
7,17,38534.0
8,17,16543.0
9,17,0.0
10,17,276914.0
11,17,20801.0
12,17,19454.0
13,17,29139.0
14,17,77955.0
15,17,56771.0
16,17,51025.0
17,17,155013.0
