,D,norm
0,1,2.79729007177e+12
1,3,2987804999.49
2,4,81450822487.9
3,9,2.24042461306e+11
4,12,2.58482921345e+11
5,27(Ⅰ),7.22081844293e+11
6,27(Ⅱ),2.39685178082e+11
7,27(Ⅲ),1.72074697087e+11
8,36(Ⅰ),1.89267679352e+11
9,36(Ⅱ),2.18122595149e+11
10,81(Ⅰ),9.39423190285e+11
11,81(Ⅱ),4.76084731334e+11
12,81(Ⅲ),2.44391408125e+11
13,81(Ⅳ),2.1846366467e+11
14,81(Ⅴ),3.06579671383e+11
15,81(Ⅵ),2.18830783605e+11
16,108(Ⅰ),2.25222518885e+11
17,108(Ⅱ),2.57604746337e+11
18,108(Ⅲ),1.744116195e+11
19,108(Ⅳ),3.09223087571e+11
20,108(Ⅴ),2.50258544863e+11
21,108(Ⅵ),3.25352190608e+11
22,324(Ⅰ),6.62846406824e+11
23,324(Ⅱ),4.06137051117e+11
24,324(Ⅲ),1.96168105276e+11
25,324(Ⅳ),1.09449406801e+12
26,324(Ⅴ),4.48203366954e+11
27,324(Ⅵ),5.70666980145e+11
28,324(Ⅶ),3.88304623373e+11
29,324(Ⅷ),4.60462529822e+11
30,324(Ⅸ),5.61883913466e+11
31,324(Ⅹ),3.51573448727e+11
32,324(ⅩⅠ),3.02837519717e+11
33,324(ⅩⅡ),3.63829425517e+11
34,324(ⅩⅢ),2.34649883117e+11
35,324(ⅩⅣ),3.575489337e+11
36,324(ⅩⅤ),3.14182666798e+11
