x,y,pop
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
0,1,3250518.0
1,1,290062.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,129344.0
7,1,44895.0
8,1,0.0
9,1,0.0
10,1,0.0
11,1,0.0
12,1,0.0
13,1,28212.0
14,1,214914.0
15,1,0.0
16,1,0.0
17,1,0.0
0,2,194897.0
1,2,1507715.0
2,2,286298.0
3,2,524429.0
4,2,788462.0
5,2,723614.0
6,2,641470.0
7,2,491375.0
8,2,1583373.0
9,2,105653.0
10,2,0.0
11,2,0.0
12,2,1502968.0
13,2,696875.0
14,2,4910873.0
15,2,969801.0
16,2,108891.0
17,2,125555.0
0,3,0.0
1,3,157490.0
2,3,298321.0
3,3,354790.0
4,3,233190.0
5,3,969241.0
6,3,899178.0
7,3,2148836.0
8,3,706965.0
9,3,959710.0
10,3,746371.0
11,3,5670889.0
12,3,16606004.0
13,3,4747202.0
14,3,1593942.0
15,3,1158103.0
16,3,442636.0
17,3,208646.0
0,4,11815.0
1,4,622250.0
2,4,479455.0
3,4,399050.0
4,4,710581.0
5,4,672910.0
6,4,2242161.0
7,4,1889458.0
8,4,479139.0
9,4,654336.0
10,4,7165837.0
11,4,1805190.0
12,4,2634920.0
13,4,833587.0
14,4,894050.0
15,4,483552.0
16,4,208496.0
17,4,37778.0
0,5,0.0
1,5,465565.0
2,5,359408.0
3,5,603687.0
4,5,2969475.0
5,5,1379911.0
6,5,1067758.0
7,5,530667.0
8,5,532935.0
9,5,359201.0
10,5,480451.0
11,5,847674.0
12,5,905046.0
13,5,517271.0
14,5,476632.0
15,5,187537.0
16,5,263439.0
17,5,189432.0
0,6,0.0
1,6,963626.0
2,6,115513.0
3,6,553755.0
4,6,1649608.0
5,6,2042411.0
6,6,526266.0
7,6,751721.0
8,6,508802.0
9,6,331798.0
10,6,428352.0
11,6,1053561.0
12,6,675709.0
13,6,281643.0
14,6,779305.0
15,6,353784.0
16,6,281765.0
17,6,115011.0
0,7,1234769.0
1,7,695333.0
2,7,155346.0
3,7,377054.0
4,7,1262155.0
5,7,933248.0
6,7,1257292.0
7,7,346771.0
8,7,287993.0
9,7,524218.0
10,7,360489.0
11,7,1789303.0
12,7,824811.0
13,7,217111.0
14,7,1989319.0
15,7,312528.0
16,7,191861.0
17,7,1339005.0
0,8,831514.0
1,8,760680.0
2,8,527539.0
3,8,291338.0
4,8,224866.0
5,8,427688.0
6,8,1658367.0
7,8,480062.0
8,8,779827.0
9,8,379165.0
10,8,462288.0
11,8,2184893.0
12,8,3009552.0
13,8,826076.0
14,8,1834014.0
15,8,4211981.0
16,8,321650.0
17,8,104231.0
0,9,297271.0
1,9,358084.0
2,9,355656.0
3,9,177181.0
4,9,353822.0
5,9,241771.0
6,9,354789.0
7,9,579337.0
8,9,1188754.0
9,9,889453.0
10,9,2399930.0
11,9,722186.0
12,9,713577.0
13,9,105672.0
14,9,703709.0
15,9,2505404.0
16,9,273226.0
17,9,0.0
0,10,223070.0
1,10,210711.0
2,10,287867.0
3,10,151424.0
4,10,138593.0
5,10,1351826.0
6,10,360625.0
7,10,315823.0
8,10,549124.0
9,10,508947.0
10,10,1065624.0
11,10,1680648.0
12,10,1505611.0
13,10,4771306.0
14,10,419735.0
15,10,653567.0
16,10,0.0
17,10,42740.0
0,11,865409.0
1,11,301427.0
2,11,1001125.0
3,11,151964.0
4,11,742567.0
5,11,365186.0
6,11,276323.0
7,11,258986.0
8,11,354480.0
9,11,169048.0
