,D,norm
0,1,1.52199270214e+14
1,3,2.55294370214e+11
2,4,4.96452702386e+12
3,9,5.57177661792e+12
4,12,1.35691042405e+13
5,27(Ⅰ),1.12066753397e+13
6,27(Ⅱ),1.62975804561e+13
7,27(Ⅲ),3.14868361401e+12
8,36(Ⅰ),2.21478458437e+13
9,36(Ⅱ),6.74186234383e+12
10,81(Ⅰ),4.802472797e+13
11,81(Ⅱ),1.47210913065e+13
12,81(Ⅲ),2.76095506669e+12
13,81(Ⅳ),2.0631430564e+13
14,81(Ⅴ),8.26626662215e+12
15,81(Ⅵ),1.09475297029e+13
16,108(Ⅰ),6.68208783532e+12
17,108(Ⅱ),2.18392224248e+12
18,108(Ⅲ),1.19666175855e+13
19,108(Ⅳ),2.37205368263e+13
20,108(Ⅴ),2.14034254982e+13
21,108(Ⅵ),1.42134010766e+13
22,324(Ⅰ),4.62861754558e+13
23,324(Ⅱ),1.19210612586e+13
24,324(Ⅲ),1.21508098427e+13
25,324(Ⅳ),2.5605577693e+13
26,324(Ⅴ),3.85620476001e+13
27,324(Ⅵ),2.3597403846e+13
28,324(Ⅶ),2.24574359281e+13
29,324(Ⅷ),1.78468767016e+13
30,324(Ⅸ),2.25749271947e+13
31,324(Ⅹ),1.522075888e+13
32,324(ⅩⅠ),1.38700083429e+13
33,324(ⅩⅡ),1.07190950306e+13
34,324(ⅩⅢ),2.96512621847e+13
35,324(ⅩⅣ),1.37653152159e+13
36,324(ⅩⅤ),5.67123805657e+12
