x,y,pop
0,0,847987.0
1,0,1544063.0
2,0,3070144.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
0,1,0.0
1,1,2254396.0
2,1,1569770.0
3,1,592268.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
8,1,233854.0
9,1,44895.0
10,1,0.0
11,1,0.0
12,1,0.0
13,1,0.0
14,1,0.0
15,1,10856.0
16,1,0.0
17,1,0.0
0,2,0.0
1,2,0.0
2,2,39613.0
3,2,1390729.0
4,2,351638.0
5,2,658041.0
6,2,826233.0
7,2,786674.0
8,2,671720.0
9,2,501507.0
10,2,1593704.0
11,2,105653.0
12,2,0.0
13,2,0.0
14,2,0.0
15,2,2115313.0
16,2,1966530.0
17,2,0.0
0,3,0.0
1,3,0.0
2,3,0.0
3,3,452970.0
4,3,466813.0
5,3,330190.0
6,3,600521.0
7,3,1267229.0
8,3,1334582.0
9,3,2150518.0
10,3,706965.0
11,3,992288.0
12,3,966526.0
13,3,5738292.0
14,3,16934889.0
15,3,4395122.0
16,3,3852843.0
17,3,1239595.0
0,4,0.0
1,4,0.0
2,4,0.0
3,4,347949.0
4,4,470435.0
5,4,389753.0
6,4,429642.0
7,4,524110.0
8,4,2708025.0
9,4,1518772.0
10,4,488944.0
11,4,886550.0
12,4,7220022.0
13,4,3606508.0
14,4,1912649.0
15,4,985257.0
16,4,863023.0
17,4,221575.0
0,5,0.0
1,5,23447.0
2,5,0.0
3,5,1323560.0
4,5,217386.0
5,5,1095626.0
6,5,5057071.0
7,5,1671719.0
8,5,833370.0
9,5,737490.0
10,5,634878.0
11,5,339099.0
12,5,681714.0
13,5,996131.0
14,5,639458.0
15,5,638354.0
16,5,626660.0
17,5,108367.0
0,6,0.0
1,6,0.0
2,6,1321622.0
3,6,343119.0
4,6,170458.0
5,6,377935.0
6,6,1312932.0
7,6,1127612.0
8,6,1115653.0
9,6,560697.0
10,6,358742.0
11,6,462248.0
12,6,870168.0
13,6,988802.0
14,6,360315.0
15,6,368814.0
16,6,1191995.0
17,6,63744.0
0,7,0.0
1,7,0.0
2,7,1141272.0
3,7,445735.0
4,7,468253.0
5,7,373247.0
6,7,511462.0
7,7,738394.0
8,7,674090.0
9,7,314101.0
10,7,437820.0
11,7,518526.0
12,7,568524.0
13,7,2434849.0
14,7,431401.0
15,7,1223778.0
16,7,1048828.0
17,7,339580.0
0,8,0.0
1,8,0.0
2,8,696148.0
3,8,290855.0
4,8,638742.0
5,8,235850.0
6,8,367974.0
7,8,327737.0
8,8,1679073.0
9,8,388742.0
10,8,1752895.0
11,8,1631886.0
12,8,2343015.0
