,name,pop,
0,"Algoma, Ontario",117133,
1,"Brant, Ontario",143506,
2,"Bruce, Ontario",68036,
3,"Chatham-Kent, Ontario",105672,
4,"Cochrane, Ontario",82303,
5,"Dufferin, Ontario",60073,
6,"Durham, Ontario",653567,
7,"Elgin, Ontario",90506,
8,"Essex, Ontario",401824,
9,"Frontenac, Ontario",157056,
10,"Greater Sudbury / Grand Sudbury, Ontario",165279,
11,"Grey, Ontario",95478,
12,"Haldimand-Norfolk, Ontario",111351,
13,"Haliburton, Ontario",17907,
14,"Halton, Ontario",551027,
15,"Hamilton, Ontario",551751,
16,"Hastings, Ontario",138340,
17,"Huron, Ontario",58975,
18,"Kawartha Lakes, Ontario",75804,
19,"Kenora, Ontario",70267,
20,"Lambton, Ontario",129917,
21,"Lanark, Ontario",67645,
22,United Counties of Leeds and Grenville,101355,Used google
23,"Lennox and Addington, Ontario",43589,
24,"Manitoulin, Ontario",13524,
25,"Middlesex, Ontario",465347,
26,"Muskoka, Ontario",62382,
27,"Niagara, Ontario",446192,
28,"Nipissing, Ontario",87427,
29,"Northumberland, Ontario",85730,
30,"Ottawa, Ontario",947031,
31,"Oxford, Ontario",110512,
32,"Parry Sound, Ontario",42740,
33,"Peel, Ontario",1416075,
34,"Perth, Ontario",78025,
35,"Peterborough, Ontario",139721,
36,"Prescott and Russell, Ontario",89248,
37,"Prince Edward, Ontario",25532,
38,"Rainy River, Ontario",20138,
39,"Renfrew, Ontario",104231,
40,"Simcoe, Ontario",479040,
41,"Stormont, Dundas and Glengarry, Ontario",115011,Used google
42,"Sudbury, Ontario",20887,
43,"Thunder Bay, Ontario",149365,
44,"Timiskaming, Ontario",33308,
45,"Toronto, Ontario",2808503,
46,"Waterloo, Ontario",538302,
47,"Wellington, Ontario",220477,
48,"York, Ontario",1121631,
