1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
735095.074074,-91625.5462963,138196.925926,-133920.138889,230116.101852,236964.259166,-278713.522812,229250.95809,-301641.935185,-124239.037037,-241395.068335,3424.83753704,-277347.380313,-52766.9141277,-107380.64748,313562.089385,127184.080143,116677.592312,-221553.589121,-277142.795951,-256278.615206,545335.522268,-386873.330249,67649.5054362,18445.9729606,660505.273119,184700.57806,-171200.529916,275805.965169,80884.5947773,-77139.191991,154000.887754,32071.5767405,47480.3747785,97777.5917597,-232691.835181,-215232.683218
735095.074074,103328.925926,-177172.790123,472374.638889,213542.160494,6597.41121975,-88500.7927584,104416.24265,-21945.2932098,83883.2839505,-95892.6494603,163446.726965,40141.8947174,241732.145489,96282.4827557,208296.149533,184540.411794,-96225.8195249,98585.2318046,-132866.003593,-177398.306439,-246171.04182,-469315.767295,166481.689247,161973.383603,709853.389975,299822.581165,59984.9862191,58519.3529158,-593725.636541,255331.553406,-161661.681233,-67644.4839765,-314079.379482,-250264.207996,-219490.104421,192187.241081
735095.074074,-11703.3796296,138196.925926,249575.972222,-264529.324074,-139033.177744,-15332.1054074,-116226.716849,52585.5277779,-85550.5740742,26537.7145626,14586.8516238,-223083.371742,457250.647736,107526.094501,-51599.1033486,226397.032215,52073.8610186,212986.81047,-77858.1231469,-144521.437397,520389.634618,-523785.045197,104842.319431,-137944.061271,501270.972196,433718.365361,335226.062664,142969.661909,-145138.562996,386711.782562,2768.13817074,-174926.384309,176717.51212,214796.185459,131826.87753,-42674.6569636
735095.074074,-91625.5462963,-177172.790123,-133920.138889,-163185.515432,-262752.28693,408642.981513,-174946.333472,-152580.29321,234953.987654,68609.4957459,-197133.529966,-45870.9657802,147236.223532,149285.309381,-291028.782913,222324.747792,-34238.2903152,-81803.0408105,-159849.439181,19133.7706091,12802.1130167,-543711.365158,27417.2641024,178028.712167,231767.856276,517673.681236,222036.242236,-300387.490948,-45079.671915,-395757.133847,-194261.731888,-27769.4794314,124456.73468,-105948.842209,28957.80801,250600.66669
735095.074074,103328.925926,138196.925926,472374.638889,34413.2222222,-366333.58795,-191115.87686,-306964.174079,-432276.935185,-37003.8518517,10636.8400982,-121803.3715,-115696.079709,-191905.611642,215888.446682,31840.5260709,156147.54757,35687.9192099,-110975.531595,-124777.104979,326154.950947,177718.191069,-526691.318911,115946.073446,-6152.21749708,104090.790006,490342.3055,21726.0762328,-117342.913426,-504950.171839,-248514.793247,342837.025121,-311230.100539,-231793.12577,44532.6040427,292017.423823,96551.259725
735095.074074,-11703.3796296,-177172.790123,249575.972222,-50356.6450618,-291064.106676,-145765.747649,-111288.812342,-506807.756173,-72043.8086418,-120254.202509,116078.899571,-161680.197062,-6021.74914473,48689.5266513,104531.472493,35692.4316614,-8367.68391526,-99367.8403387,-2683.59378641,300543.673813,296731.679232,-474777.775222,162625.395947,-39943.4355399,150770.565043,342336.603038,-128736.767057,103703.91029,-285122.227427,-120058.058666,24714.0022457,-263854.133051,108599.258627,145756.297792,-93429.3637587,245055.311073
735095.074074,-91625.5462963,138196.925926,-133920.138889,230116.101852,25788.0277635,-129929.458701,-54304.624618,-301641.935185,-124239.037037,-262818.258547,123364.386847,-5433.21163308,2122.41551592,-211682.060444,254847.644928,-108082.139099,-51873.39564,164565.312517,41255.3408204,97265.6367727,-221293.14426,-394232.273622,57885.0280298,196008.64374,224008.786072,133057.752701,-430784.99565,-67814.1948386,-95949.0346774,426753.593952,-145050.672547,30387.502094,59276.4955464,-131617.910929,-115002.349644,137299.713106
735095.074074,103328.925926,-177172.790123,472374.638889,213542.160494,359736.17673,279616.669618,202547.931429,-21945.2932098,83883.2839505,-350348.021774,-111987.661046,-253097.372735,-306559.011934,-8693.58302383,-139908.266154,-232507.974635,92475.1784387,164173.425826,91346.6653293,24494.5412911,369785.385972,-294769.790329,47581.6535621,-131699.696567,153693.961823,-42943.0877945,-526183.027843,285765.883421,-132310.906751,-70140.1878374,-354225.710093,-393989.4833,-168436.804393,88857.2097466,-229526.004733,178145.907754
735095.074074,-11703.3796296,138196.925926,249575.972222,-264529.324074,430097.28442,161097.853056,227515.529191,52585.5277779,-85550.5740742,-341887.34319,-201010.056776,56112.0110774,-291088.145426,-289915.569023,-430541.729996,-300204.285978,-85363.7837517,-207372.893234,180127.664243,-110748.674533,-433216.24897,-188386.968738,155900.34588,134426.530265,-84775.7211968,-134456.215353,420.466442711,3803.71409437,51087.4750069,146807.118214,431809.379045,-28752.4402705,200304.668967,-22530.7613524,96566.5266878,60504.0489741
735095.074074,-91625.5462963,-177172.790123,-133920.138889,-163185.515432,236964.259166,-278713.522812,229250.95809,-152580.29321,234953.987654,-241395.068335,3424.83753704,-277347.380313,-52766.9141277,-107380.64748,313562.089385,-294055.027566,68641.9427924,-90906.0541154,154296.854512,-294365.541696,213849.353851,-87915.1471755,128585.033291,54405.8361067,-353871.511107,-184075.114434,565441.507284,-117220.950031,-20854.1307476,23309.0259522,138972.258588,148385.539791,-82880.103488,-182608.776155,54521.5052983,81180.1101593
