,naiseki
0,13231711.3333
1,-1166202.81209
2,845311.357641
3,1721825.88889
4,-350782.777778
5,1116501.55556
6,-1441333.1109
7,1773150.31132
8,2494802.00672
9,745520.778515
10,-2757993.98604
11,135921.165207
12,1753171.52261
13,-1600022.14538
14,749784.643086
15,1471263.22014
16,425943.643736
17,-2068011.17726
18,2163375.38826
19,-925236.339238
20,1643829.98903
21,-2013610.65645
22,-791142.75529
23,818517.372026
24,-2581661.46859
25,-1375841.50466
26,2485.27491254
27,-841509.646695
28,-968267.802113
29,-1740331.8528
30,-85666.0941915
31,560243.729661
32,157676.769425
33,149764.416032
34,2845877.65182
35,-1596540.03086
36,-1419016.03521
37,3006288.63149
38,-2890652.56077
39,732846.166007
40,470393.554512
41,-556708.257581
42,-132740.481271
43,31092.9382577
44,471304.543749
45,-1788555.2884
46,-64109.8756
47,-948424.669604
48,837326.112513
49,720191.829827
50,-1710138.96809
51,2183095.9621
52,-982946.111682
53,-38353.9062673
54,-3865991.97166
55,-681210.645256
56,-1848110.53744
57,-3892732.07951
58,2641644.89334
59,-3116697.2991
60,-178894.772922
61,736321.658259
62,-298445.612968
63,3781685.33516
64,520931.451134
65,-1618847.42119
66,-435219.137988
67,294221.006495
68,-1394350.4707
69,-1881956.75223
70,-1700486.23187
71,591376.598509
72,-2083090.42594
73,2978920.86803
74,-531913.352433
75,535657.257492
76,622170.782314
77,1720982.95522
78,869011.314925
79,-773382.856103
80,664575.310823
81,2736245.10725
82,-212366.800126
83,-699856.251228
84,-1288432.08055
85,-435411.863122
86,1034784.39178
87,2857007.59758
88,526881.84009
89,371622.514633
90,568127.581733
91,1506273.16125
92,-2324472.78813
93,-785213.938302
94,116378.543054
95,-952386.464956
96,968248.818606
97,1211261.50523
98,-1324542.42762
99,2638356.50673
100,1209734.44212
101,-351798.731979
102,208578.891638
103,-40802.7881614
104,2957917.20875
105,695803.860831
106,-28943.0984053
107,-325397.032939
108,2191816.60877
109,-336071.841487
110,488932.657289
111,562457.124915
112,-1061960.20656
113,-880253.530768
114,-1130719.19497
115,-1263210.69661
116,1436416.19659
117,1215092.32049
118,1179366.29963
119,-46903.2173611
120,-842060.481726
121,-1097030.97295
122,10624.6601954
123,557156.943143
124,-1988480.99322
125,1330400.56789
126,306221.467184
127,-343040.751854
128,1533217.46988
129,-1545870.52097
130,-423583.344002
131,-916688.120693
132,-1088008.25128
133,235642.541715
134,-3655561.91577
135,893015.982866
136,-199737.33274
137,246692.766083
138,-162787.685763
139,2515135.62016
140,-1475032.51804
141,-2031167.50668
142,238370.892486
143,1070486.36392
144,535054.026468
145,-1531261.76496
146,-2029245.43825
147,1317077.58877
148,-368253.517232
149,-886521.86109
150,-716599.761008
151,-1042796.16174
152,-124415.135265
153,1665927.34487
154,2695698.84607
155,-284109.845693
156,1281625.59079
157,332695.785124
158,1668954.3635
159,301506.454661
160,2135724.12063
161,-218173.994788
162,-214066.672876
163,-4610885.65693
164,-3021535.36814
165,-4173235.64957
166,-1688491.554
167,-1207404.20575
168,-1133660.12596
169,-83277.4135451
170,1248828.95733
171,336792.873937
172,745868.801305
173,-898459.614081
174,-883275.823834
175,926114.69723
176,463626.073919
177,-1163321.42252
178,654428.656104
179,-1287138.02575
180,1908770.21666
181,-1222551.77281
182,194201.207426
183,2916051.05263
184,1314868.50616
185,-630868.264347
186,42635.0954718
187,1023313.9156
188,4257383.98683
189,1559853.96092
190,689000.624816
191,-468703.470162
192,-1706961.3249
193,-10719.3893633
194,3405574.96916
195,637143.606553
196,-148543.179093
197,596045.143863
198,771293.504787
199,-664308.542722
200,-123033.012955
201,4147034.41176
202,152523.605234
203,-745299.445966
204,-1807263.98778
205,-1531860.78175
206,1182729.87946
