,D,norm
0,1,1.75078184809e+14
1,3,2.07458029028e+12
2,4,4.33430867239e+12
3,9,1.96263468372e+13
4,12,1.28185719443e+13
5,27(Ⅰ),1.35889378101e+13
6,27(Ⅱ),1.32323579409e+13
7,27(Ⅲ),1.10164627395e+13
8,36(Ⅰ),2.04755077543e+13
9,36(Ⅱ),1.42211928698e+13
10,81(Ⅰ),5.06709072664e+13
11,81(Ⅱ),1.78564232322e+13
12,81(Ⅲ),9.00333585715e+12
13,81(Ⅳ),2.69488723557e+13
14,81(Ⅴ),2.10305660346e+13
15,81(Ⅵ),2.20925258563e+13
16,108(Ⅰ),7.37502324857e+12
17,108(Ⅱ),7.80707277955e+12
18,108(Ⅲ),7.94710188463e+12
19,108(Ⅳ),2.14723121329e+13
20,108(Ⅴ),2.32616386164e+13
21,108(Ⅵ),2.09777256313e+13
22,324(Ⅰ),5.21604914935e+13
23,324(Ⅱ),4.3286735603e+12
24,324(Ⅲ),5.29113164515e+12
25,324(Ⅳ),3.81078350991e+13
26,324(Ⅴ),3.41230253649e+13
27,324(Ⅵ),1.73664967557e+13
28,324(Ⅶ),1.90670146822e+13
29,324(Ⅷ),2.18764696802e+13
30,324(Ⅸ),2.66962672666e+13
31,324(Ⅹ),1.68335604215e+13
32,324(ⅩⅠ),2.10797962416e+13
33,324(ⅩⅡ),1.71287205677e+13
34,324(ⅩⅢ),9.48030171057e+12
35,324(ⅩⅣ),1.52782472522e+13
36,324(ⅩⅤ),1.55838649658e+13
