,name,pop,lat,lon,
0,"Algoma, Ontario",117133,44.28926955,-79.8536857468,canada
1,"Brant, Ontario",143506,43.11565075,-80.1127999215,
2,"Bruce, Ontario",68036,43.37174,-80.9656287,
3,"Chatham-Kent, Ontario",105672,42.3285132,-81.9760919493,
4,"Cochrane, Ontario",82303,48.9846232,-80.9710862944,
5,"Dufferin, Ontario",60073,43.6602329,-79.4354578,
6,"Durham, Ontario",653567,44.1749404,-80.8138847,
7,"Elgin, Ontario",90506,44.6078306,-76.2214376,
8,"Essex, Ontario",401824,42.2508902,-82.9608333966,
9,"Frontenac, Ontario",157056,45.3607836,-75.7188215942,
10,"Greater Sudbury / Grand Sudbury, Ontario",165279,46.3074538,-81.3561757751,
11,"Grey, Ontario",95478,48.4256235,-88.6347877808,
12,"Haldimand-Norfolk, Ontario",111351,43.1703733,-80.257254088,
13,"Haliburton, Ontario",17907,45.046651,-78.5085191,
14,"Halton, Ontario",551027,43.63086795,-79.9562768196,
15,"Hamilton, Ontario",551751,43.254687,-79.8678196,
16,"Hastings, Ontario",138340,44.3097023,-77.9578217,
17,"Huron, Ontario",58975,43.00874455,-81.278558453,
18,"Kawartha Lakes, Ontario",75804,44.5931583,-78.8282374,
19,"Kenora, Ontario",70267,49.7601947,-94.4818206,
20,"Lambton, Ontario",129917,42.9348103,-82.3866999458,
21,"Lanark, Ontario",67645,45.0172712,-76.3653463,
22,United Counties of Leeds and Grenville,101355,44.652966,-75.9327,
23,"Lennox and Addington, Ontario",43589,44.6228365,-77.1362824069,
24,"Manitoulin, Ontario",13524,45.6802192,-82.196488,
25,"Middlesex, Ontario",465347,42.8370378,-81.4165070008,
26,"Muskoka, Ontario",62382,45.0622331,-79.3098086,
27,"Niagara, Ontario",446192,43.05023,-79.1203799,
28,"Nipissing, Ontario",87427,46.2460108,-80.0247175,
29,"Northumberland, Ontario",85730,43.97026535,-78.1991362487,
30,"Ottawa, Ontario",947031,45.4210328,-75.6900219,
31,"Oxford, Ontario",110512,43.77613095,-79.2584433953,
32,"Parry Sound, Ontario",42740,45.3402359,-80.0370222,
33,"Peel, Ontario",1416075,43.73424205,-79.7992119889,
34,"Perth, Ontario",78025,44.898868,-76.2469425,
35,"Peterborough, Ontario",139721,44.2876446,-78.3272997,
36,"Prescott and Russell, Ontario",89248,45.3831378,-75.1864947,
37,"Prince Edward, Ontario",25532,43.6610887,-79.5107935916,
38,"Rainy River, Ontario",20138,48.7219319,-94.5637053,
39,"Renfrew, Ontario",104231,45.4786097,-76.6729387,
40,"Simcoe, Ontario",479040,42.8358725,-80.3059588,
41,"Stormont, Dundas and Glengarry, Ontario",115011,45.122755,-74.87333,
42,"Sudbury, Ontario",20887,46.4910993,-80.9907389,
43,"Thunder Bay, Ontario",149365,48.4061651,-89.2591415,
44,"Timiskaming, Ontario",33308,47.6959837,-79.8567682,
45,"Toronto, Ontario",2808503,43.6529206,-79.3849008,
46,"Waterloo, Ontario",538302,43.4655524,-80.5217786,
47,"Wellington, Ontario",220477,43.9521503,-77.3491071,
48,"York, Ontario",1121631,43.6896191,-79.479188,canada
49,"Autauga, Alabama",55395,32.5165255,-86.6319403,usa
50,"Baldwin, Alabama",200111,30.5677527,-87.7324392,
51,"Barbour, Alabama",26887,31.8589311,-85.4032078,
52,"Bibb, Alabama",22506,32.971079,-87.1227088,
53,"Blount, Alabama",57719,33.9510169,-86.5702002,
54,"Bullock, Alabama",10764,32.09929,-85.7091657,
55,"Butler, Alabama",20296,31.7340713,-86.6754793,
56,"Calhoun, Alabama",115916,33.7514505,-85.8315666,
57,"Chambers, Alabama",34076,32.8901658,-85.3866953,
58,"Cherokee, Alabama",26037,34.1142554,-85.6004514,
59,"Chilton, Alabama",43931,32.8522565,-86.7032845,
60,"Choctaw, Alabama",13323,31.9908095,-88.2821326,
61,"Clarke, Alabama",24945,31.659134,-87.8192486,
62,"Clay, Alabama",13552,33.2423393,-85.819651,
63,"Cleburne, Alabama",15080,33.6506958,-85.5017359,
64,"Coffee, Alabama",50909,31.3629619,-85.9870669,
65,"Colbert, Alabama",54543,34.6473396,-87.7921769,
66,"Conecuh, Alabama",12670,31.3966783,-86.9437104,
67,"Coosa, Alabama",10886,32.9181762,-86.2327497,
68,"Covington, Alabama",37914,31.196549,-86.4597236,
69,"Crenshaw, Alabama",13977,31.6809362,-86.3244009,
70,"Cullman, Alabama",81289,34.1335332,-86.8779268,
71,"Dale, Alabama",49484,31.3940969,-85.623763,
72,"Dallas, Alabama",41711,32.3117968,-87.1046643,
73,"DeKalb, Alabama",71065,34.4524349,-85.7662118,
74,"Elmore, Alabama",80977,32.5801231,-86.125195,
75,"Escambia, Alabama",37733,31.1168422,-87.1070947,
76,"Etowah, Alabama",103531,34.0371404,-86.022147,
77,"Fayette, Alabama",16874,33.7303493,-87.7419088,
78,"Franklin, Alabama",31601,34.440962,-87.8339064,
79,"Geneva, Alabama",26712,31.0862933,-85.803014,
80,"Greene, Alabama",8553,32.8620514,-87.9915392,
81,"Hale, Alabama",15184,32.7412417,-87.6561668,
82,"Henry, Alabama",17190,31.4838041,-85.2447377,
83,"Houston, Alabama",104193,31.1355603,-85.2654592,
84,"Jackson, Alabama",52665,34.7692447,-85.9867941,
85,"Jefferson, Alabama",660793,33.5228184,-86.9164513,
86,"Lamar, Alabama",14086,33.7490016,-88.1003689,
87,"Lauderdale, Alabama",93096,34.9049555,-87.6747398,
88,"Lawrence, Alabama",33477,34.4776367,-87.3017331,
89,"Lee, Alabama",154255,32.5814796,-85.3077038,
90,"Limestone, Alabama",90787,34.8342463,-86.9901321,
91,"Lowndes, Alabama",10580,32.1088066,-86.6402541,
92,"Macon, Alabama",19425,32.366606,-85.6660307,
93,"Madison, Alabama",350299,34.7736807,-86.5675095,
94,"Marengo, Alabama",20110,32.201002,-87.7569365,
95,"Marion, Alabama",30271,34.1128132,-87.8544031,
96,"Marshall, Alabama",94636,34.3396046,-86.3301801,
97,"Mobile, Alabama",415123,30.6943566,-88.0430541,
98,"Monroe, Alabama",21947,31.5593935,-87.3781004,
99,"Montgomery, Alabama",226189,32.3669656,-86.3006485,
100,"Morgan, Alabama",119607,34.4296848,-86.8529584,
101,"Perry, Alabama",9826,32.6421387,-87.2876639,
102,"Pickens, Alabama",20365,33.2948421,-88.1244034,
103,"Pike, Alabama",33389,31.7615793,-85.9259465,
104,"Randolph, Alabama",22539,33.2651763,-85.4693961,
105,"Russell, Alabama",59608,32.2698458,-85.1959487,
106,"Shelby, Alabama",206655,33.2503347,-86.6639746,
107,"St. Clair, Alabama",86697,33.7086407,-86.3364,
108,"Sumter, Alabama",13166,32.5234698,-88.1837986,
109,"Talladega, Alabama",81322,33.4359416,-86.1058048,
110,"Tallapoosa, Alabama",41165,32.8595687,-85.8023774,
111,"Tuscaloosa, Alabama",202212,33.2668398,-87.4862182,
112,"Walker, Alabama",65471,33.7804491,-87.2767248,
113,"Washington, Alabama",16834,31.3991238,-88.2019828,
114,"Wilcox, Alabama",11098,31.9523021,-87.3005169,
115,"Winston, Alabama",24150,34.1328863,-87.361354,
116,"Aleutians East, Alaska",3360,55.0512443,-162.8916892,
117,"Aleutians West, Alaska",5750,51.5672222,178.8776,
118,"Anchorage, Alaska",301010,61.2163129,-149.8948522,
119,"Bethel, Alaska",17868,60.7922222,-161.7558333,
120,"Bristol Bay, Alaska",957,58.7370341,-156.8753867,
121,"Denali, Alaska",1921,63.0686667,-151.0029999,
122,"Dillingham, Alaska",4988,59.9011107,-158.2016852,
123,"Fairbanks North Star, Alaska",99357,64.8649039,-146.7751619,
124,"Haines, Alaska",2566,59.0831232,-135.3430573,
125,"Hoonah-Angoon, Alaska",2082,57.57666,-134.1311512,
126,"Juneau, Alaska",32406,58.3019496,-134.4197339,
127,"Kenai Peninsula, Alaska",57477,60.0968272,-151.788033,
128,"Ketchikan Gateway, Alaska",13787,55.4895146,-131.0109264,
129,"Kodiak Island, Alaska",13986,57.37122705,-153.19013546,
130,"Lake and Peninsula, Alaska",1631,58.3277109,-156.154765,
131,"Matanuska-Susitna, Alaska",97882,62.3402481,-149.4793288,
132,"Nome, Alaska",9817,64.51282,-165.424253714,
133,"North Slope, Alaska",9703,69.5335129,-153.8220681,
134,"Northwest Arctic, Alaska",7717,67.2385127,-159.9816347,
135,"Petersburg, Alaska",3160,56.8127965,-132.95547,
136,"Prince of Wales-Hyder, Alaska",6396,55.4028302,-132.9467059,
137,"Sitka, Alaska",8900,57.0524973,-135.3376124,
138,"Skagway, Alaska",1036,59.4583333,-135.3138891,
139,"Southeast Fairbanks, Alaska",6931,63.9412119,-143.7303712,
140,"Valdez-Cordova, Alaska",9488,61.2620896,-144.7914471,
141,"Wade Hampton, Alaska",8010,62.2002165,-163.764702,
142,"Wrangell, Alaska",2364,56.4156225,-132.300945236,
143,"Yakutat, Alaska",635,59.6391781,-139.3429439,
