1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
109098.638889,30205.8703704,-21481.6882716,-61997.287037,-78184.3024691,-36281.0772723,3083.13566611,53884.469384,-14901.2006173,61072.9691358,38052.2728389,31766.5432718,-27343.4179625,-18193.9687093,11645.5021996,101429.318362,32045.380338,-74751.1331814,-72153.4786381,-57635.3611519,67302.7944592,104397.937063,-55389.6565189,18055.1983233,-20237.34736,-2782.82306659,21475.2289715,73663.6751705,2356.46805538,-3000.58737705,-39026.0153592,-32108.4366378,11773.4344014,2363.43075339,-46075.3549708,-17503.8856236,20605.7545716
109098.638889,-18312.8518518,42253.5833333,-22443.8703704,-79043.037037,7285.76963646,6703.45139751,-41014.8877006,11967.8518519,30588.5740741,65958.8283201,55914.5270727,-24953.5128001,110614.55485,-85562.0724135,-101056.825029,33199.4259117,39364.949086,18090.7175949,-58844.8759411,74619.9165913,-67999.0221316,-55177.4629284,113067.15807,59725.5363401,-111617.290654,87858.3052258,-12976.7431247,2178.24023329,-103264.90026,-48727.8847649,141708.33972,4621.27277624,-1545.82621963,99975.1030326,-80023.2750641,-22734.405716
109098.638889,-11893.0185185,-21481.6882716,19632.6018519,3984.54938273,-5792.06925629,-43732.2622043,20463.3592383,-19185.2376543,-18123.845679,52104.9884669,62273.6695008,-21077.704264,128943.80189,-70808.2640339,-48869.4915597,27792.8933192,24481.3291398,40076.0275409,-3026.34831453,-94011.1032071,75426.5070772,-50139.9129729,-22704.1818504,-42794.6736952,-104035.297711,95868.0317144,-30286.8491388,72565.8924078,-30293.3734873,47428.8219703,-65121.8067817,33095.3133962,-18521.7825015,-28360.4771015,98759.6785355,11598.2838832
109098.638889,30205.8703704,42253.5833333,-61997.287037,112584.240741,-45937.683694,4375.29514627,-1718.91700784,-77207.3796296,-103121.666667,2973.11891495,40334.1926882,-30751.7467883,-11901.785429,-89059.4771922,86653.2811397,16973.6165249,-28891.8517439,2490.85558928,-36174.6378871,10870.6788115,57687.9775942,-40884.6095235,-70563.2500836,34312.5170145,-11753.8846638,80266.6377614,10525.1027275,-52619.9300803,48438.0815598,122293.648077,-67992.3837988,-48465.6400139,17583.3732689,89753.6402931,-74860.8516,-50912.3676055
109098.638889,-18312.8518518,-21481.6882716,-22443.8703704,74199.7530864,-21694.7253737,38863.557359,-21047.998652,-104076.432099,48737.3395062,-58447.4325325,26355.5499252,-16446.3025779,-41394.60252,41433.7342607,-788.946555576,3506.42236557,-13510.8309684,-11059.4617675,-72209.6838955,72809.3553788,-24081.5233351,-28527.8787698,81829.3698035,18697.6571144,70919.6010622,53420.3632475,-971.651869886,-71553.22134,-70145.4107718,-118713.564907,-2280.98809901,15314.6562853,3070.5507828,-3717.66390341,81320.0478817,27654.1334839
109098.638889,-11893.0185185,42253.5833333,19632.6018519,-33541.2037037,57374.2525389,-5138.98201783,39706.34059,-72923.3425926,-19153.3703704,-103417.30724,43440.2950536,-33657.7007768,-46367.4163758,-53832.9167674,11523.4627729,-9243.43420277,12848.7649489,-56125.682598,-33861.4557705,-128350.47742,130009.118376,-14560.1248066,76763.0365703,-34486.1802822,73782.0911108,22472.7807959,20217.6623777,38392.6887913,1635.90194751,-22626.1873094,142853.930237,-25167.6506505,9749.10055484,-28860.4623395,-16601.1839144,-85758.1530829
109098.638889,30205.8703704,-21481.6882716,-61997.287037,-78184.3024691,82218.7609663,-7458.43081238,-52165.5523761,-14901.2006173,61072.9691358,-110894.601047,63352.4075316,-15616.2972254,-84600.627946,173448.001427,-64347.38274,-18530.7618651,47081.7475364,39704.4217361,-27734.0661319,-33492.7441337,-36672.0415863,-666.064904009,-73870.0642501,62611.0458208,5999.22142532,27184.1626172,96724.3131558,36292.9703251,113965.816082,7999.13232365,-87369.7251556,-63672.9382677,-52984.4055924,-12874.1825638,-48412.7072544,61260.5929046
109098.638889,-18312.8518518,42253.5833333,-22443.8703704,-79043.037037,14408.9557372,-45567.0087565,62062.8863527,11967.8518519,30588.5740741,-77380.6050807,53183.0664937,-32311.6465982,-26096.0970468,21793.5121363,10347.0200956,-23126.4855847,-79943.8559788,45958.323045,-52355.9205053,55123.0804179,51968.8030503,11478.4722592,-16489.4041094,-32966.6977795,-67236.8433893,84755.9962612,42105.8977996,60478.3682728,-13465.960565,52370.1510423,-43706.7970827,22750.4738485,40214.3107905,-59833.2451356,26282.3929762,-110967.031856
109098.638889,-11893.0185185,-21481.6882716,19632.6018519,3984.54938273,-51582.1832826,48871.2442221,-60169.6998284,-19185.2376543,-18123.845679,-18556.8905202,29739.1789372,-18976.0569355,-11003.8587127,50941.9803837,5109.5635142,-23516.84028,38016.3121203,-35176.888507,4818.21066135,29948.6538683,29413.1910259,20408.676267,114215.602577,16369.6748592,-95649.5817241,122395.487169,-126896.226828,-63392.6770554,15987.5783428,-63062.4078871,9703.97280986,-66886.1905339,60877.2973763,-40697.0213202,-30560.9270082,96692.8262881
109098.638889,30205.8703704,42253.5833333,-61997.287037,112584.240741,-36281.0772723,3083.13566611,53884.469384,-77207.3796296,-103121.666667,38052.2728389,31766.5432718,-27343.4179625,-18193.9687093,11645.5021996,101429.318362,-21357.8402004,9732.30980476,-16701.2381229,59813.9517438,-2802.09123449,-55108.2864352,25047.4327201,11441.5699905,36359.7102524,-87947.8714829,49768.3184265,-146360.202637,-82030.7922852,128054.881668,43868.3304347,96066.3664632,-18641.1621062,-138772.126969,48024.1229174,22657.3286546,-114743.489381
