,naiseki
0,1963775.5
1,384457.96387
2,-47175.9477009
3,-38827.7222222
4,186947.055556
5,-534789.722222
6,-400993.538096
7,179526.845525
8,-274959.414673
9,267160.402935
10,-113143.684653
11,488724.506887
12,-591172.931742
13,-400604.113391
14,-622870.643125
15,-24567.4295406
16,218919.866618
17,-90802.7208476
18,-93230.9617128
19,-375003.688462
20,-247272.403241
21,35353.5581665
22,-121279.35887
23,-602103.559706
24,395411.6237
25,173024.314769
26,-44620.0857945
27,-397692.626666
28,-311549.627443
29,137708.540833
30,427281.535789
31,-235812.796944
32,258238.331041
33,622771.055318
34,317.459807605
35,-16252.7106962
36,-62827.8124383
37,1096885.24909
38,-586175.415283
39,-918175.308399
40,459341.907643
41,473064.918961
42,-1794.08703871
43,-175623.787743
44,336243.691576
45,383394.474747
46,334666.018496
47,433179.333149
48,-265802.185439
49,604051.04275
50,319691.853893
51,-446294.581645
52,54326.6997289
53,-205615.884485
54,723996.790141
55,172520.619069
56,-296429.950124
57,420545.262098
58,56759.5229332
59,-664232.817173
60,118319.455749
61,90682.7818221
62,574679.017775
63,99845.8045667
64,-288676.386603
65,-78465.8616459
66,-489531.480368
67,-42079.7609837
68,-312731.247687
69,123404.667911
70,454237.835338
71,69142.6243868
72,-120628.403983
73,292176.634886
74,-65114.3208041
75,336284.269531
76,-523696.407574
77,149676.866204
78,-208941.006068
79,9452.53994544
80,649727.852433
81,499570.112473
82,37080.8702781
83,-79992.1371234
84,223268.461194
85,416257.853995
86,-217095.2362
87,-380401.167611
88,11672.8268535
89,747840.142973
90,184169.406704
91,-290441.345754
92,64560.4493396
93,-676562.511416
94,-118352.863529
95,124224.306844
96,378324.536818
97,144713.681272
98,-88134.0598029
99,-180556.093537
100,463097.271086
101,486096.475894
102,146639.528242
103,-289876.043493
104,421995.094247
105,-519940.283207
106,-30937.9117485
107,-76969.1206576
108,-63664.4027474
109,135354.037814
110,403520.417167
111,-107528.142516
112,68015.0889499
113,-64686.8706605
114,-311599.590872
115,291447.448827
116,-226049.74803
117,-186220.926902
118,-413777.25823
119,-247877.665934
120,-363801.892756
121,-256023.032002
122,10905.9950539
123,239620.653054
124,-565467.954859
125,69718.2041728
126,-376847.116827
127,-281415.941913
128,-282367.295145
129,-176779.797355
130,-149466.897928
131,-157122.361491
132,390711.582456
133,-88095.1071261
134,128735.859537
135,-426798.467861
136,-444344.516812
137,299074.134763
138,684992.531048
139,-38396.5163981
140,203907.998684
141,-29560.3946904
142,15844.2176892
143,-439656.426982
144,297580.221399
145,226124.475427
146,206571.963089
147,97981.8454286
148,-552272.209522
149,181175.302428
150,370583.119347
151,-131402.924811
152,-80328.5350144
153,-59720.7408821
154,110156.581648
155,-414201.167595
156,573591.308174
157,-86568.3983535
158,151245.497987
159,613228.763563
160,203520.834163
161,306862.757814
162,235711.400755
163,390549.613798
164,-193096.72984
165,602970.267636
166,-747609.902093
167,472914.568341
168,-239661.028972
169,835146.697387
170,187716.28408
171,-367508.292895
172,281749.901954
173,-442973.162833
174,-174768.310896
175,425636.399987
176,102602.08917
177,-316846.307235
178,-185413.158201
179,-168128.731408
180,-343103.582839
181,-805614.274881
182,601514.379159
183,-352141.95983
184,89377.137302
185,107279.787814
186,-234303.02156
187,-475758.491246
188,424291.181612
189,-23511.8643795
190,-573195.648775
191,756711.03737
192,-137938.793561
193,326787.418733
194,280061.497946
195,793562.189939
196,175419.637741
197,-91038.7727142
198,-65250.8431717
199,712129.665353
200,-256927.979942
201,257802.218092
202,277971.521587
203,233134.3821
204,771477.635752
205,-122926.383266
206,463237.649817
207,-202263.463954
208,750602.032471
209,404198.515526
210,288926.070315
211,96777.710472
212,-925875.517677
213,597084.966272
214,-410782.354355
215,116816.419304
216,-575923.302802
217,67006.5005535
218,197424.316824
219,-126226.27905
220,57563.8476749
221,278081.927298
222,68879.008258
223,423282.991379
224,75744.8139955
225,84394.40697
226,206304.257799
227,134638.394002
228,289278.863446
229,-126044.831701
230,-355514.827124
231,23197.4902729
232,367267.062663
233,-251878.907055
234,-486730.66191
235,-63415.1740505
236,-281065.272272
237,61804.9148935
238,428573.592923
239,477063.582733
240,-465147.030471
241,-621289.79645
242,-172319.591223
243,-282143.453101
244,-398161.731584
245,-169106.545499
246,247086.973601
247,-353954.492667
248,-137156.738202
249,603100.463859
250,428978.036023
251,-439327.734818
252,-105621.203975
253,298451.079289
254,219152.050325
255,290000.722893
256,-363862.715924
257,-241097.202737
258,-195702.136839
259,608226.157999
260,187873.722687
261,-12413.2589382
262,-150513.395313
263,357302.257137
264,-267350.233548
265,-222776.98879
266,392837.730113
267,-205941.435326
268,-139715.995957
269,653359.429013
270,223644.282065
271,374745.660623
272,-116279.584717
273,-57195.0698946
274,56715.1574999
275,-142916.328127
276,-514202.887818
277,-72102.8940039
278,-315204.768334
279,-66761.6247726
280,551475.715158
281,320988.655285
282,-353896.739145
283,94085.9827617
284,773935.664524
285,-261069.762435
286,-112025.421959
287,93431.6674471
288,127211.341423
289,12040.5889411
290,207538.034675
291,151134.275136
292,-233176.356559
293,-262874.055283
294,-418440.731276
295,560065.97112
296,-195136.151405
297,415960.105319
298,-74439.6638756
299,93427.5225227
300,-220188.601942
301,-642583.424303
302,-54970.486952
303,-263972.077365
304,-274595.299056
305,-2149.42616654
306,230720.722362
307,-244353.570842
308,-211146.036079
309,145242.314919
310,307391.609679
311,-505569.563678
312,61075.8474915
313,-48671.8355042
314,153059.277902
315,-92894.4964556
316,429472.735491
317,75710.8521735
318,-660164.723333
319,163602.619924
320,-121085.954117
321,-176946.012101
322,399911.254768
323,-352321.672545
