,D,norm
0,1,2.13786280229e+12
1,3,65319093600.3
2,4,25749196260.2
3,9,2.12445935505e+11
4,12,3.20198575657e+11
5,27(Ⅰ),2.92129872758e+11
6,27(Ⅱ),2.06276691175e+11
7,27(Ⅲ),2.40452282836e+11
8,36(Ⅰ),3.99300071471e+11
9,36(Ⅱ),4.80946759363e+11
10,81(Ⅰ),4.50316804682e+11
11,81(Ⅱ),2.79691335082e+11
12,81(Ⅲ),2.79969330487e+11
13,81(Ⅳ),3.73219242672e+11
14,81(Ⅴ),4.75795836413e+11
15,81(Ⅵ),2.28573591623e+11
16,108(Ⅰ),5.63161869726e+11
17,108(Ⅱ),1.87046625806e+11
18,108(Ⅲ),1.60738306638e+11
19,108(Ⅳ),2.69346213701e+11
20,108(Ⅴ),2.67172783142e+11
21,108(Ⅵ),2.31318678682e+11
22,324(Ⅰ),9.28354344582e+11
23,324(Ⅱ),88240940656.2
24,324(Ⅲ),2.70219644351e+11
25,324(Ⅳ),1.06850008343e+12
26,324(Ⅴ),5.50440933305e+11
27,324(Ⅵ),4.92864382808e+11
28,324(Ⅶ),5.836065079e+11
29,324(Ⅷ),4.53549361363e+11
30,324(Ⅸ),5.40313416749e+11
31,324(Ⅹ),4.5372558212e+11
32,324(ⅩⅠ),3.80210928459e+11
33,324(ⅩⅡ),3.8446772402e+11
34,324(ⅩⅢ),5.13154759675e+11
35,324(ⅩⅣ),4.16631071501e+11
36,324(ⅩⅤ),5.69570714596e+11
