vector name,bangou,num
"1,1_1",1,0
"2,1_1",1,1
"2,1_2",2,2
"2,2_1",3,3
"3,1_1",1,4
"3,1_2",2,5
"3,1_3",3,6
"3,1_4",4,7
"3,3_1",5,8
"3,3_2",6,9
"3,3_3",7,10
"3,3_4",8,11
"6,1_1",1,12
"6,1_2",2,13
"6,1_3",3,14
"6,1_4",4,15
"6,6_1",5,16
"6,6_2",6,17
"6,6_3",7,18
"6,6_4",8,19
"2,3_1",1,20
"2,3_2",2,21
"2,3_3",3,22
"2,3_4",4,23
"2,6_1",1,24
"2,6_2",2,25
"2,6_3",3,26
"2,6_4",4,27
"3,6_1",1,28
"3,6_2",2,29
"3,6_3",3,30
"3,6_4",4,31
"3,6_5",5,32
"3,6_6",6,33
"3,6_7",7,34
"3,6_8",8,35
