toshi_bango,jinko1,mono center,jinko3,jinko4,jinko5,jinko6,jinko7,jinko8,jinko9,3system,4system,obli hex
0,0,1,1,0.23570226,0.39367329,-0.23570226,0.23570226,0.06204799,1,0.5,0.8,1
1,0,0,0,0,0.01687113,-0.14013173,0,0.00043718,1,0,0,0
2,1,0,0,-0.23570226,0.16426351,0.27532067,-0.23570226,0.04337276,0,0.5,0.8,0
3,0,0,0,0,0.01551525,-0.18371348,0,-0.00027555,0,0,0,0
4,0,0,1,-0.23570226,0.06931465,0.30406312,-0.23570226,-0.33732242,0,0.5,0.8,0
5,1,0,0,0,0.01135966,0.23631528,0,-0.0001465,0,0,0,0
6,0,0,0,-0.23570226,0.22940978,-0.36543581,-0.23570226,0.01867523,0,0,0,0
7,1,0,0,0,0.02480824,-0.12634854,0,0.00027027,0,0.5,0,0
8,0,0,0,-0.23570226,0.32435864,-0.12688218,-0.23570226,0.39937041,0,0,0,0
9,0,0,0,0,0.00135588,-0.15177619,0,0.00071273,0,0.5,0,0
10,1,0,0,0.23570226,-0.01035253,-0.25951228,0.23570226,0.35063676,0,0,0,1
11,0,0,0,0,-0.00793711,-0.18873738,0,0.00016692,0,0.5,0,0
12,1,0,0,0.23570226,-0.22940978,0.30904402,0.23570226,-0.01867523,0,0.5,0.8,0
13,0,0,0,0,0.00415558,0.16666667,0,-0.00012905,0,0,0,0
14,0,0,1,0.23570226,0.17461605,0.25422144,0.23570226,-0.307264,0,0.5,0.8,1
15,1,0,0,0,-0.00135588,-0.34832801,0,-0.00071273,0,0,0,0
16,0,0,0,0.23570226,-0.32435864,-0.13781876,0.23570226,-0.39937041,0,0.5,0.8,0
17,0,0,0,0,-0.01344857,0.13542826,0,-0.00041677,0,0,0,0
18,0,0,0,0.23570226,-0.10530139,0.22927216,0.23570226,-0.03005842,0,0,0,1
19,0,0,0,0,-0.00415558,0,0,0.00012905,0,0.5,0,0
20,1,0,0,0.23570226,-0.16426351,-0.08627978,0.23570226,-0.04337276,0,0,0,0
21,0,0,0,0,0.00793711,0.12092747,0,-0.00016692,0,0.5,0,0
22,0,0,0,0.23570226,0.33471117,-0.16122366,0.23570226,0.04873365,0,0,0,0
23,1,0,0,0,0.01344857,0.23886306,0,0.00041677,0,0.5,0,0
24,0,0,1,0.23570226,-0.06931465,-0.06211691,0.23570226,0.33732242,0,0.5,0.8,0
25,1,0,0,0,-0.01551525,-0.28604537,0,0.00027555,0,0,0,0
26,0,0,0,-0.23570226,-0.17461605,-0.20841442,-0.23570226,0.307264,0,0.5,0.8,0
27,0,0,0,0,-0.01209269,-0.19833181,0,0.00029596,0,0,0,0
28,1,0,1,-0.23570226,-0.33471117,-0.0395698,-0.23570226,-0.04873365,0,0.5,0.8,1
29,0,0,0,0,-0.02480824,-0.06758368,0,-0.00027027,0,0,0,0
30,1,0,0,-0.23570226,-0.39367329,-0.15970168,-0.23570226,-0.06204799,0,0,0,0
31,0,0,0,0,-0.01135966,-0.23600883,0,0.0001465,0,0.5,0,0
32,0,0,0,-0.23570226,0.10530139,0,-0.23570226,0.03005842,0,0,0,1
33,1,0,0,0,0.01209269,0,0,-0.00029596,0,0.5,0,0
34,0,0,0,-0.23570226,0.01035253,0,-0.23570226,-0.35063676,0,0,0,0
35,0,0,0,0,-0.01687113,0,0,-0.00043718,0,0.5,0,0
